7-2全国按户口登记地、年龄、性别分的户口登记地在外乡镇街道的人口-年龄,单位：人-户口登记地-合计-合计,户口登记地-男,户口登记地-女,户口登记地-省内-省内-小计,户口登记地-省内-男,户口登记地-省内-女,户口登记地-省内-其中市辖区内人户分离-小计,户口登记地-省内-男.1,户口登记地-省内-女.1,户口登记地-省外-小计,户口登记地-男.1,户口登记地-女.1
总  计,260937942,136974792,123963150,175061605,88617297,86444308,39906796,19467585,20439211,85876337,48357495,37518842
0-4岁,8888180,4839752,4048428,6209749,3356587,2853162,1572748,827350,745398,2678431,1483165,1195266
0,689114,373352,315762,471492,253433,218059,133636,70037,63599,217622,119919,97703
1,1950415,1066386,884029,1323038,718720,604318,337843,178146,159697,627377,347666,279711
2,2069172,1127439,941733,1440992,779290,661702,373774,196756,177018,628180,348149,280031
3,2100591,1139895,960696,1493927,805725,688202,387980,204058,183922,606664,334170,272494
4,2078888,1132680,946208,1480300,799419,680881,339515,178353,161162,598588,333261,265327
5-9岁,9590654,5270025,4320629,7141990,3878183,3263807,1654853,875157,779696,2448664,1391842,1056822
5,2013071,1101337,911734,1468333,794790,673543,343328,181115,162213,544738,306547,238191
6,2008470,1102672,905798,1482280,804989,677291,333588,176595,156993,526190,297683,228507
7,1798582,991816,806766,1331893,724984,606909,287030,151785,135245,466689,266832,199857
8,1850635,1018057,832578,1400486,760989,639497,342199,181110,161089,450149,257068,193081
9,1919896,1056143,863753,1458998,792431,666567,348708,184552,164156,460898,263712,197186
10-14岁,9520017,5182420,4337597,7589930,4086733,3503197,1858533,981833,876700,1930087,1095687,834400
10,1960619,1079131,881488,1514523,824327,690196,379311,201365,177946,446096,254804,191292
11,1789298,979992,809306,1396671,756158,640513,348249,183969,164280,392627,223834,168793
12,1907807,1043105,864702,1509569,816486,693083,367302,194736,172566,398238,226619,171619
13,1836160,998883,837277,1488347,802273,686074,371772,196505,175267,347813,196610,151203
14,2026133,1081309,944824,1680820,887489,793331,391899,205258,186641,345313,193820,151493
15-19岁,28305855,14217904,14087951,21739186,10744376,10994810,2925621,1469527,1456094,6566669,3473528,3093141
15,3242205,1677117,1565088,2791385,1422064,1369321,502477,256698,245779,450820,255053,195767
16,4961582,2500142,2461440,4276162,2121892,2154270,643707,321386,322321,685420,378250,307170
17,6510909,3262522,3248387,5299556,2618173,2681383,669085,336541,332544,1211353,644349,567004
18,6526160,3277276,3248884,4739492,2345313,2394179,554759,281750,273009,1786668,931963,854705
19,7064999,3500847,3564152,4632591,2236934,2395657,555593,273152,282441,2432408,1263913,1168495
20-24岁,41415114,20510340,20904774,24730396,11589995,13140401,3391247,1633920,1757327,16684718,8920345,7764373
20,9769583,4799705,4969878,6206354,2936129,3270225,773966,377980,395986,3563229,1863576,1699653
21,9094522,4500724,4593798,5625456,2664019,2961437,759659,372863,386796,3469066,1836705,1632361
