姓名,神经质,外向性,开放性,宜人性,严谨性
A001,33,45,42,46,47
A002,28,30,34,44,29
A003,18,47,27,47,48
A004,24,58,45,60,58
A005,26,46,40,38,47
A006,23,41,34,42,50
A007,31,39,37,43,44
A008,25,44,41,44,48
A009,30,41,39,44,46
A010,29,27,32,44,29
A013,21,42,44,51,56
A014,30,41,36,34,38
A015,25,39,35,47,49
A016,12,58,49,55,60
A018,16,41,48,41,57
A019,31,36,40,39,34
A020,34,42,41,38,40
A023,27,28,32,43,29
A024,30,32,34,41,40
A025,34,46,52,42,54
A026,19,34,37,45,39
A027,27,29,32,45,29
A028,22,50,44,46,55
A029,33,45,36,40,45
A030,13,53,49,48,58
A031,27,30,34,45,29
A032,16,51,48,54,60
A034,16,46,46,48,50
A036,32,47,34,32,46
A037,26,44,43,45,42
A038,16,50,36,54,56
A039,17,49,38,46,52
A040,12,48,52,44,60
A042,30,35,38,40,45
A043,31,35,37,43,42
A044,16,50,42,51,57
A045,30,51,47,42,57
A046,20,44,44,47,48
A047,36,38,38,43,47
A048,26,48,40,44,51
A049,25,48,37,45,50
A050,37,35,38,38,37
A052,22,48,44,42,48
A053,18,43,35,41,50
A054,12,53,37,48,57
A055,24,37,40,42,44
A056,33,40,43,39,43
A057,27,49,43,49,55
A058,33,32,38,39,35
A059,20,48,42,42,49
A060,26,43,46,49,52
A061,27,45,43,45,45
A063,39,40,40,32,38
A064,15,45,42,42,49
A065,35,30,37,42,40
A066,37,39,42,38,40
A067,18,53,32,52,53
A068,16,54,47,52,60
A069,14,47,39,45,58
B001,36,36,36,36,36
B002,31,40,36,41,39
B003,16,55,52,53,52
B004,19,52,40,56,52
B005,33,34,41,39,35
B006,28,42,34,44,40
B007,31,47,42,45,45
B008,35,46,40,33,39
B009,22,43,31,51,48
B010,25,42,42,38,46
B011,28,41,35,41,44
B012,31,36,42,35,42
B013,33,41,40,39,36
B014,38,41,40,42,43
B015,35,35,30,42,39
B016,27,43,35,43,49
B017,27,38,34,45,33
B018,27,42,36,43,43
B019,34,36,36,43,42
B020,43,41,29,39,36
B022,26,42,31,39,47
B023,20,44,46,43,48
B024,17,53,42,43,54
B026,18,48,39,40,50
B027,43,34,46,47,40
B029,25,36,41,38,41
B031,21,47,40,49,51
B032,37,23,36,33,40
B033,38,43,42,41,38
B034,27,30,32,46,32
B036,21,49,42,48,50
B037,37,38,38,37,41
B038,16,41,42,51,52
B039,44,41,38,37,41
B040,24,48,47,51,60
B041,22,42,45,40,49
B042,35,38,33,37,35
B043,18,41,37,47,47
B045,30,30,34,45,31
B046,28,34,33,42,29
B048,37,36,35,36,39
B049,32,35,43,42,52
B050,27,45,36,43,58
B052,31,42,40,40,38
B053,35,45,41,36,37
B054,32,37,35,39,32
B055,34,45,43,52,46
B056,32,42,42,38,44
B057,29,33,34,44,32
B058,37,37,35,36,38
B059,12,59,46,49,56
B060,33,49,47,41,50
B061,32,41,38,39,36
B062,34,40,37,43,35
B063,31,46,40,41,45
B064,30,41,40,40,48
B065,24,50,43,44,55
B066,12,53,52,50,60
B067,27,28,32,44,28
B068,23,46,38,39,45
B069,28,44,40,38,46
B070,33,26,39,38,27
B071,30,33,35,45,32
B072,22,50,45,43,52
B073,39,39,40,37,39
B074,34,26,39,36,26
B075,23,36,32,45,32
B076,32,50,46,46,45
B077,26,34,44,43,46
B078,32,32,38,39,44
B079,19,34,37,55,48
