8-3各地区按家庭户类别和住房间数分的家庭户户数-地区-地区,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-家庭户-户数,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-五间及以上
,,,,,,,,,,,,,,,,,,,,,,,,,,
全    国,465241711.0,45993399.0,68608225.0,59902907.0,22603875.0,24424128.0,8818230.0,48503073.0,63712154.0,24959777.0,30458098.0,933878.0,10109080.0,21715143.0,12097329.0,19879342.0,14398.0,158714.0,582077.0,545728.0,1219633.0,16.0,104.0,380.0,487.0,1536.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
北    京,7770769.0,1756666.0,1651252.0,765686.0,160947.0,159715.0,290640.0,1207859.0,679831.0,130401.0,122611.0,40649.0,346689.0,269945.0,68687.0,103482.0,242.0,3025.0,4717.0,2264.0,5452.0,0.0,1.0,3.0,0.0,5.0
天    津,4587490.0,537598.0,1215950.0,469481.0,112588.0,88077.0,194304.0,939286.0,433408.0,106638.0,84848.0,21657.0,174394.0,115281.0,37402.0,46600.0,189.0,2471.0,3090.0,1568.0,2654.0,1.0,0.0,2.0,0.0,3.0
河    北,24554501.0,990374.0,3873483.0,3446920.0,1460414.0,1388042.0,245477.0,2973757.0,3422426.0,1526284.0,1790991.0,22047.0,556251.0,1037418.0,629275.0,1054053.0,345.0,9621.0,32389.0,30888.0,63954.0,0.0,6.0,16.0,17.0,53.0
山    西,12064669.0,1019468.0,2073336.0,1700102.0,415613.0,649903.0,363084.0,1699595.0,1906356.0,443015.0,626661.0,17409.0,218161.0,388925.0,169802.0,331554.0,218.0,3152.0,10015.0,8169.0,20097.0,0.0,1.0,4.0,6.0,23.0
内 蒙 古,8817048.0,1042248.0,2508597.0,1012998.0,155693.0,71911.0,333309.0,1959343.0,961608.0,131370.0,57551.0,19681.0,267548.0,210417.0,46330.0,25633.0,216.0,3894.0,5537.0,1721.0,1436.0,0.0,1.0,3.0,2.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
辽    宁,16571689.0,1580480.0,5224659.0,1818743.0,471282.0,166835.0,485930.0,3536568.0,1382392.0,351199.0,124480.0,55463.0,678507.0,420176.0,168849.0,77700.0,484.0,9780.0,9771.0,5175.0,3210.0,0.0,3.0,1.0,0.0,2.0
吉    林,8724943.0,770696.0,2834167.0,907730.0,158924.0,36930.0,248363.0,2049339.0,716384.0,131697.0,28315.0,25992.0,440609.0,267724.0,69656.0,15922.0,277.0,8384.0,9373.0,3442.0,1006.0,0.0,4.0,2.0,6.0,1.0
黑 龙 江,11685918.0,1136070.0,4253566.0,1115137.0,131307.0,46214.0,382894.0,2717697.0,874375.0,107512.0,33946.0,41356.0,483335.0,283983.0,44906.0,13443.0,527.0,8207.0,8981.0,1856.0,592.0,1.0,8.0,3.0,2.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
上    海,9095041.0,2677896.0,1670382.0,659873.0,132382.0,132707.0,510387.0,1368705.0,761412.0,118819.0,74050.0,67300.0,401019.0,369029.0,71275.0,57774.0,724.0,4738.0,8368.0,3404.0,4765.0,0.0,5.0,8.0,8.0,11.0
江    苏,28069197.0,2298090.0,4230464.0,4412343.0,1277030.0,1363509.0,345302.0,2687395.0,4528661.0,1183459.0,1236047.0,31895.0,678881.0,1934124.0,745386.0,913863.0,581.0,11369.0,65831.0,49943.0,74796.0,1.0,6.0,48.0,47.0,126.0
浙    江,22921213.0,5593708.0,2947909.0,2439323.0,961393.0,1021917.0,761632.0,1925586.0,2674580.0,946363.0,924596.0,54586.0,379205.0,953644.0,536444.0,689205.0,874.0,4755.0,23683.0,27936.0,53766.0,1.0,4.0,11.0,16.0,76.0
安    徽,20750408.0,1159496.0,3026681.0,3203274.0,1136734.0,1041464.0,250201.0,2015575.0,3441825.0,1212822.0,1289896.0,19920.0,401511.0,1132239.0,591621.0,724435.0,279.0,6107.0,27605.0,27634.0,41012.0,0.0,4.0,17.0,14.0,42.0
福    建,13350262.0,2046608.0,1137007.0,1311180.0,635872.0,959275.0,334389.0,1023548.0,1775454.0,778353.0,1100572.0,25597.0,219626.0,666585.0,425058.0,834747.0,285.0,2201.0,12730.0,14899.0,46202.0,0.0,0.0,9.0,10.0,55.0
江    西,13331484.0,384538.0,1190387.0,1483523.0,809316.0,1370610.0,88617.0,878280.0,1908429.0,873672.0,1782030.0,9405.0,193165.0,673151.0,433225.0,1159266.0,119.0,2571.0,14163.0,16297.0,60632.0,0.0,3.0,10.0,16.0,59.0
山    东,33915789.0,1150481.0,4465582.0,5273519.0,2875475.0,2143027.0,164436.0,3281101.0,5766328.0,2558943.0,2231527.0,19758.0,631222.0,1505275.0,794802.0,941926.0,241.0,8563.0,33006.0,26926.0,43559.0,1.0,5.0,21.0,31.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
河    南,30557811.0,918424.0,2632044.0,4232509.0,1890601.0,3032389.0,156523.0,1594951.0,4376551.0,2180672.0,4170849.0,15975.0,337313.0,1348825.0,968892.0,2497354.0,226.0,5138.0,31460.0,36609.0,130304.0,0.0,2.0,22.0,31.0,147.0
湖    北,18760549.0,855964.0,2357840.0,2893489.0,1125974.0,972212.0,181487.0,1631309.0,3054655.0,1224533.0,1147013.0,22101.0,412267.0,1174044.0,717191.0,864251.0,356.0,6969.0,28744.0,34985.0,55078.0,0.0,2.0,12.0,18.0,55.0
湖    南,21561143.0,820719.0,2342612.0,3054514.0,1506641.0,1666370.0,137961.0,1272462.0,3167952.0,1763264.0,2155779.0,15544.0,248499.0,1030339.0,833054.0,1389256.0,244.0,4327.0,27029.0,35636.0,88843.0,1.0,6.0,15.0,27.0,49.0
广    东,38953156.0,10715560.0,3474158.0,3365084.0,1169597.0,1373564.0,1348649.0,2899405.0,4670246.0,1906782.0,2160445.0,218140.0,802911.0,1768155.0,1083790.0,1814587.0,4674.0,14897.0,35341.0,35896.0,91111.0,5.0,12.0,27.0,40.0,80.0
广    西,15517021.0,1182017.0,1379041.0,1474536.0,871390.0,1341782.0,245478.0,1051505.0,1780662.0,1206923.0,2166192.0,25117.0,209437.0,570361.0,523101.0,1388135.0,392.0,2793.0,10733.0,16752.0,70566.0,0.0,3.0,9.0,18.0,78.0
海    南,2747332.0,387824.0,266729.0,237268.0,83577.0,65549.0,152659.0,320500.0,405041.0,171013.0,156564.0,25433.0,86131.0,157928.0,96578.0,116817.0,675.0,2017.0,4254.0,4164.0,6594.0,1.0,0.0,5.0,8.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
重    庆,11415050.0,817011.0,1777359.0,1956406.0,656442.0,564975.0,149770.0,1037346.0,1740292.0,555261.0,474194.0,19702.0,283543.0,756917.0,279438.0,284413.0,228.0,5396.0,25581.0,12748.0,17982.0,1.0,1.0,15.0,7.0,22.0
