6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-受教育程度-受教育程度-受教育程度,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-活产子女总数-合计-合计,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-活产子女总数-男-男,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-活产子女总数-女-女,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-存活子女总数-合计-合计,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-存活子女总数-男-男,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-存活子女总数-女-女,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-存活子女数-占活产子女-数的百分比,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女平-均活产-子女数,6-13全国按受教育程度分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女平-均存活-子女数
,,,,,,,,,,
总  计,46789337.0,61997759.0,33580566.0,28417193.0,60474058.0,32645604.0,27828454.0,98.0,1.0,1.0
未上过学,926652.0,2054584.0,1119220.0,935364.0,1978870.0,1071850.0,907020.0,96.0,2.0,2.0
学前教育,31824.0,57491.0,31813.0,25678.0,55587.0,30621.0,24966.0,97.0,2.0,2.0
小  学,7958864.0,15703601.0,8580378.0,7123223.0,15251409.0,8296653.0,6954756.0,97.0,2.0,2.0
初  中,18219818.0,28245063.0,15304921.0,12940142.0,27594536.0,14905784.0,12688752.0,98.0,2.0,2.0
高  中,8962313.0,8442838.0,4552430.0,3890408.0,8254937.0,4440003.0,3814934.0,98.0,1.0,1.0
大学专科,5362227.0,4189036.0,2238446.0,1950590.0,4098934.0,2185455.0,1913479.0,98.0,1.0,1.0
大学本科,4766962.0,2984438.0,1585310.0,1399128.0,2924799.0,1550492.0,1374307.0,98.0,1.0,1.0
硕士研究生,507936.0,287581.0,150779.0,136802.0,282472.0,147837.0,134635.0,98.0,1.0,1.0
博士研究生,52741.0,33127.0,17269.0,15858.0,32514.0,16909.0,15605.0,98.0,1.0,1.0
