AnnualSalespersonPerformanceCalculationTable-TaxRateLevelTable,AnnualSalespersonPerformanceCalculationTable-TaxRateLevelTable.1,AnnualSalespersonPerformanceCalculationTable-TaxRateLevelTable.2,AnnualSalespersonPerformanceCalculationTable-TaxRateLevelTable.3,AnnualSalespersonPerformanceCalculationTable-Date,AnnualSalespersonPerformanceCalculationTable-Month,AnnualSalespersonPerformanceCalculationTable-SalespersonName,AnnualSalespersonPerformanceCalculationTable-SalesQuantity,AnnualSalespersonPerformanceCalculationTable-SalesUnitPrice,AnnualSalespersonPerformanceCalculationTable-SalesAmount,AnnualSalespersonPerformanceCalculationTable
Level,Starting Point,End Point,Tax Rate (%),2020/1/1,,XM1,3,2300,,
1,0,3000,3%,2020/2/1,,XM2,2,3200,,
2,3000,12000,10%,2020/3/1,,XM3,4,1500,,
3,12000,25000,20%,2020/4/1,,XM4,5,1560,,
4,25000,35000,25%,2020/5/1,,XM5,6,3200,,
5,35000,55000,30%,2020/6/1,,XM6,7,2300,,
6,55000,80000,35%,2020/7/1,,XM7,3,3200,,
7,80000,,45%,2020/8/1,,XM8,2,1500,,
,,,,2020/9/1,,XM9,4,1560,,
Month,Total Sales Volume,Total sales revenue,Tax Rate (%),2020/10/1,,XM10,5,3200,,
January,,5000,10%,2020/11/1,,XM11,6,2300,,
February,,,10%,2020/12/1,,XM12,7,3200,,
March,,,20%,2020/1/1,,XM13,3,1500,,
April,,,25%,2020/2/1,,XM14,2,1560,,
May,,,30%,2020/3/1,,XM15,4,3200,,
June,,,30%,2020/4/1,,XM16,5,2300,,
July,,,10%,2020/5/1,,XM17,6,3200,,
August,,,3%,2020/6/1,,XM18,7,1500,,
September,,,10%,2020/4/1,,XM19,4,1560,,
October,,,20%,2020/5/1,,XM20,5,3200,,
November,,,20%,2020/6/1,,XM21,3,1560,,
December,,,35%,2020/6/1,,XM22,2,2600,,
