Table2-1abPopulationandProportionbyEthnicityandGenderinHunanProvince(UrbanAreas)-EthnicGroup,Table2-1abPopulationandProportionbyEthnicityandGenderinHunanProvince(UrbanAreas)-Total,Table2-1abPopulationandProportionbyEthnicityandGenderinHunanProvince(UrbanAreas)-Male,Table2-1abPopulationandProportionbyEthnicityandGenderinHunanProvince(UrbanAreas)-Female,Table2-1abPopulationandProportionbyEthnicityandGenderinHunanProvince(UrbanAreas)-Unit:person;%-Proportionoftotalpopulation
A,1,2,3,4
Total,230986,116731,114255,100
Han nationality,218168,110342,107826,94
Tujia nationality,5521,2724,2797,2
Miao ethnic group,3398,1696,1702,1
Dong nationality,1872,948,924,1
Yao nationality,856,446,410,0
Hui nationality,600,301,299,0
Bai nationality,195,94,101,0
Dongxiang Ethnic Group,3,2,1,0
Mongolian,52,18,34,0
Zhuang ethnic group,51,25,26,0
Other ethnic groups,270,135,135,0
