3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item.1,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Year-endnumberofpeople-(thousandpeople)-Year-end-Figures-(1000-persons),3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-FEMALE-Female,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Totalwages-(billionyuan)-Total-Wages-(100million-yuan),3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-AVERAGEWAGE-(Yuan)-Average-Wage-(yuan)
,,,,,
TOTAL FOR THE WHOLE COUNTRY,National Total,178881.0,65176.0,120074.8,67569.0
"Agriculture, Forestry, Animal Husbandry, and Fishery","Agriculture, Forestry, Animal Husbandry and Fishery",2632.0,935.0,882.1,33612.0
Agriculture,Farming,1553.0,610.0,466.2,29796.0
Forestry,Forestry,622.0,174.0,213.4,35234.0
Animal husbandry,Animal Husbandry,150.0,57.0,48.4,32250.0
Fishing,Fishery,32.0,8.0,14.3,45016.0
"Agriculture, Forestry, Animal Husbandry, and Fisheries Services",Service in Support of Agriculture,274.0,85.0,139.9,51331.0
MINING AND QUARRYING,Mining,4909.0,929.0,3038.1,60544.0
COAL MINING AND WASHING INDUSTRY,Mining and Washing of Coal,3307.0,511.0,1891.8,55575.0
OIL AND NATURAL GAS EXTRACTION INDUSTRY,Extraction of Petroleum and Natural Gas,689.0,222.0,611.3,87400.0
FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Ferrous Metal Ores,209.0,35.0,113.7,53665.0
NON-FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-Ferrous Metal Ores,239.0,46.0,121.8,50528.0
NON-METALLIC MINERAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-metal Ores,180.0,40.0,87.0,48051.0
MINING SUPPORT ACTIVITIES,Support Activities for Mining,283.0,74.0,211.6,75899.0
OTHER MINING INDUSTRIES,Mining of Other Ores,2.0,,0.9,51293.0
MANUFACTURING,Manufacturing,48938.0,19253.0,29088.9,59470.0
Processing of Agricultural and sideline Food Products,Processing of Food from Agricultural Products,1795.0,754.0,819.9,46312.0
FOOD MANUFACTURING INDUSTRY,Manufacture of Foods,1238.0,602.0,643.4,52823.0
"ALCOHOLIC BEVERAGES, DRINKS AND REFINED TEA MANUFACTURING","Manufacture of Liquor, Beverages and Refined Tea",993.0,376.0,536.1,53441.0
Tobacco Product Manufacturing,Manufacture of Tobacco,211.0,70.0,293.8,142109.0
TEXTILE INDUSTRY,Manufacture of Textile,1949.0,1155.0,903.1,46579.0
"TEXTILE, APPAREL, AND ACCESSORY INDUSTRY","Manufacture of Textile, Wearing Apparel and Accessories",2381.0,1624.0,1125.5,46940.0
"Leather, Fur, Feather and Their Products and","Manufacture of Leather, Fur, Feather and Related Products",1533.0,910.0,691.1,44525.0
SHOEMAKING INDUSTRY,and Footwear,,,,
"Wood processing and wood, bamboo, rattan, and palm","Processing of Timber, Manufacture of Wood, Bamboo, Rattan,",391.0,154.0,167.5,43576.0
CROSSLAND INDUSTRY,Palm and Straw Products,,,,
Furniture Manufacturing Industry,Manufacture of Furniture,557.0,196.0,284.0,51654.0
PAPERMAKING AND PAPER PRODUCTS INDUSTRY,Manufacture of Paper and Paper Products,655.0,239.0,349.0,52672.0
PRINTING AND RECORDING MEDIA REPRODUCTION INDUSTRY,Printing and Reproduction of Recording Media,587.0,252.0,319.3,54208.0
"Cultural and educational, handicrafts, sports, and entertainment products","Manufacture of Articles for Culture, Education, Arts and Crafts,",1269.0,728.0,605.8,46747.0
MANUFACTURING INDUSTRY,Sport and Entertainment Activities,,,,
"PETROLEUM REFINING, COKE OVEN AND NUCLEAR FUEL","Processing of Petroleum, Coking and Processing of Nuclear Fuel",643.0,173.0,466.4,71710.0
Processing Industry,,,,,
CHEMICAL RAW MATERIALS AND CHEMICAL PRODUCTS MANUFACTURING,Manufacture of Raw Chemical Materials and Chemical Products,2613.0,792.0,1631.5,62324.0
PHARMACEUTICAL MANUFACTURING,Manufacture of Medicines,1623.0,761.0,1021.0,63351.0
CHEMICAL FIBER MANUFACTURING INDUSTRY,Manufacture of Chemical Fibres,254.0,96.0,142.8,56433.0
RUBBER AND PLASTICS MANUFACTURING INDUSTRY,Manufacture of Rubber and Plastics Products,1806.0,746.0,963.4,53442.0
NON-METALLIC MINERAL PRODUCTS INDUSTRY,Manufacture of Non-metallic Mineral Products,2392.0,697.0,1174.8,49047.0
IRON AND STEEL SMELTING AND ROLLING INDUSTRY,Smelting and Pressing of Ferrous Metals,1994.0,377.0,1195.0,58357.0
NON-FERROUS METAL SMELTING AND ROLLING MANUFACTURING INDUSTRY,Smelting and Pressing of Non-ferrous Metals,1217.0,269.0,682.3,55685.0
METAL PRODUCTS INDUSTRY,Manufacture of Metal Products,1731.0,543.0,950.4,54882.0
GENERAL MACHINERY MANUFACTURING INDUSTRY,Manufacture of General Purpose Machinery,2574.0,724.0,1632.1,63342.0
SPECIALTY EQUIPMENT MANUFACTURING,Manufacture of Special Purpose Machinery,1993.0,555.0,1280.2,64133.0
AUTOMOBILE MANUFACTURING INDUSTRY,Manufacture of Automobiles,3411.0,900.0,2540.3,75807.0
"RAILWAY, SHIPBUILDING, AEROSPACE AND OTHERS","Manufacture of Railway, Ship, Aerospace and Other Transport",1127.0,297.0,814.3,71549.0
TRANSPORT EQUIPMENT MANUFACTURING INDUSTRY,Equipments,,,,
ELECTRICAL MACHINERY AND EQUIPMENT MANUFACTURING INDUSTRY,Manufacture of Electrical Machinery and Apparatus,3803.0,1568.0,2350.3,61729.0
"COMPUTERS, COMMUNICATIONS, AND OTHER ELECTRONICS","Manufacture of Computers, Communication and",7064.0,3238.0,4747.8,67763.0
EQUIPMENT MANUFACTURING INDUSTRY,Other Electronic Equipment,,,,
INSTRUMENT AND METER MANUFACTURING INDUSTRY,Manufacture of Measuring Instruments and Machinery,711.0,305.0,482.8,67818.0
OTHER MANUFACTURING,Other Manufacture,216.0,107.0,119.2,55220.0
COMPREHENSIVE UTILIZATION INDUSTRY OF SCRAP RESOURCES,Utilization of Waste Resources,78.0,22.0,39.7,51060.0
"Metal Products, Machinery, and Equipment Repair Industry","Repair Service of Metal Products, Machinery and Equipment",129.0,24.0,116.1,91073.0
"ELECTRICITY, HEAT, GAS, AND WATER","Production and Supply of Electricity, Heat,",3876.0,1059.0,3235.7,83863.0
PRODUCTION AND SUPPLY INDUSTRY,Gas and Water,,,,
"ELECTRICITY, HEAT PRODUCTION AND SUPPLY INDUSTRY",Production and Supply of Electric Power and Heat Power,3022.0,758.0,2696.3,89576.0
GAS PRODUCTION AND SUPPLY INDUSTRY,Production and Supply of Gas,273.0,88.0,195.4,72095.0
