Home Province,Subject Category (Admission Batch),Major,Average Score,Highest Score,Control line,Admission Line Difference
Anhui,Sci (1),Biological Science,654,654,490,164
Anhui,Sci (1),Physics and Engineering Sciences,650,660,490,160
Anhui,Sci (1),Business Administration and Management,647,649,490,157
Anhui,Sci (1),Mathematics,645,645,490,155
Anhui,Sci (1),Economics and Business Administration,644,644,490,154
Anhui,Sci (1),Chemistry,644,647,490,154
Anhui,Sci (1),Geology,641,641,490,151
Anhui,Art(1),Business Administration and Management,647,649,540,107
Anhui,Art(1),Economics and Business Administration,643,643,540,103
Anhui,Art(1),International Politics,635,636,540,95
Anhui,Art(1),Law,634,635,540,94
Anhui,Art(1),Sociology,634,635,540,94
Anhui,Art(1),Chinese Language and Literature,634,635,540,94
Anhui,Art(1),English,634,634,540,94
Beijing,Sci (1),Business Administration and Management,708,717,550,158
Beijing,Sci (1),Physics and Engineering Sciences,704,712,550,154
Beijing,Sci (1),Mathematics,701,708,550,151
Beijing,Sci (1),Economics and Business Administration,699,705,550,149
Beijing,Sci (1),Astronomy,698,704,550,148
Beijing,Sci (1),Law,694,697,550,144
Beijing,Sci (1),Chemistry,694,701,550,144
Beijing,Sci (1),Geophysics,694,694,550,144
Beijing,Sci (1),Psychology,694,720,550,144
Beijing,Sci (1),Environmental Science,694,705,550,144
Beijing,Sci (1),Biological Science,693,702,550,143
Beijing,Sci (1),Geology,693,705,550,143
Beijing,Sci (1),Electronics and Information Engineering,688,699,550,138
Beijing,Sci (1),International Politics,686,688,550,136
Beijing,Sci (1),Public Administration,684,693,550,134
Beijing,Sci (1),Chinese Language and Literature,684,694,550,134
Beijing,Sci (1),Journalism and Communication Studies,684,689,550,134
Beijing,Sci (1),Mechanical Engineering,684,698,550,134
Beijing,Sci (1),Information Management and Information System,676,678,550,126
Beijing,Sci (1),Environmental Science and Engineering,676,676,550,126
Beijing,Sci (1),Archaeology,675,683,550,125
Beijing,Sci (1),Philosophy and Related Disciplines,666,666,550,116
Beijing,Sci (1),Business Administration and Management,708,717,550,158
Beijing,Sci (1),Physics and Engineering Sciences,704,712,550,154
Beijing,Sci (1),Mathematics,701,708,550,151
Beijing,Sci (1),Economics and Business Administration,699,705,550,149
Beijing,Sci (1),Astronomy,698,704,550,148
Beijing,Sci (1),Law,694,697,550,144
Beijing,Sci (1),Chemistry,694,701,550,144
Beijing,Sci (1),Geophysics,694,694,550,144
Beijing,Sci (1),Psychology,694,720,550,144
Beijing,Sci (1),Environmental Science,694,705,550,144
Beijing,Art(1),Business Administration and Management,677,685,549,128
Beijing,Art(1),Philosophy and Related Disciplines,669,681,549,120
Beijing,Art(1),Economics and Business Administration,666,669,549,117
Beijing,Art(1),Law,666,678,549,117
Beijing,Art(1),Chinese Language and Literature,664,678,549,115
Beijing,Art(1),International Politics,659,669,549,110
Beijing,Art(1),Public Administration,655,658,549,106
Beijing,Art(1),Sociology,654,657,549,105
Beijing,Art(1),English,652,663,549,103
Beijing,Art(1),Art Theory,651,651,549,102
Beijing,Art(1),Archaeology,651,661,549,102
Beijing,Art(1),Journalism and Communication Studies,650,669,549,101
Beijing,Art(1),Information Management and Information System,648,660,549,99
Beijing,Art(1),History and Science Class,645,655,549,96
Beijing,Art(1),Business Administration and Management,677,685,549,128
Beijing,Art(1),Philosophy and Related Disciplines,669,681,549,120
Beijing,Art(1),Economics and Business Administration,666,669,549,117
Beijing,Art(1),Law,666,678,549,117
Beijing,Art(1),Chinese Language and Literature,664,678,549,115
Beijing,Art(1),International Politics,659,669,549,110
Beijing,Art(1),Public Administration,655,658,549,106
Beijing,Art(1),Sociology,654,657,549,105
Beijing,Art(1),English,652,663,549,103
Beijing,Art(1),Art Theory,651,651,549,102
