School,College,MajorName,06AdmissionRatio,09AdmissionRatio-Numberofapplicants,AdmittedNumber,AdmissionRatio,RecommendedAdmissionNumber
Peking University,School of Mathematical Sciences,Basic Mathematics,8.84%,161,11,6.83%,12
Peking University,School of Mathematical Sciences,Computational Mathematics,0.00%,20,1,5.00%,10
Peking University,School of Mathematical Sciences,Probability Theory and Mathematical Statistics,8.70%,46,2,4.35%,10
Peking University,School of Mathematical Sciences,Applied Mathematics,6.67%,153,7,4.58%,17
Peking University,School of Mathematical Sciences,Signal and Information Processing,25.00%,32,7,21.88%,23
Peking University,School of Engineering,General Mechanics and Fundamental Mechanics,50.00%,0,0,0.00%,5
Peking University,School of Engineering,Solid Mechanics,100.00%,1,1,100.00%,4
Peking University,School of Engineering,Fluid Mechanics,111.11%,4,6,150.00%,18
Peking University,School of Engineering,Engineering Mechanics,0.00%,3,1,33.33%,10
Peking University,School of Engineering,Control Theory and Control Engineering,12.50%,29,8,27.59%,6
Peking University,School of Engineering,Environmental Science,0.00%,0,0,0.00%,0
Peking University,School of Engineering,Biomedical Engineering,13.04%,33,13,39.39%,8
Peking University,School of Engineering,Management Science and Engineering,0.00%,0,0,0.00%,0
Peking University,Physics School,Theoretical Physics,9.42%,95,15,15.79%,5
Peking University,Physics School,Particle Physics and Nuclear Physics,36.84%,23,4,17.39%,4
Peking University,Physics School,Condensed Matter Physics,21.88%,98,19,19.39%,12
Peking University,Physics School,Optics,14.81%,43,7,16.28%,4
Peking University,Physics School,Astrophysics,22.22%,14,1,7.14%,0
Peking University,Physics School,Meteorology,26.32%,13,8,61.54%,4
Peking University,Physics School,Atmospheric Physics and Atmospheric Environment,37.50%,16,5,31.25%,5
Peking University,Physics School,Nuclear Technology and Application,66.67%,10,3,30.00%,6
Peking University,School of Chemistry and Molecular Engineering,Inorganic Chemistry,17.65%,5,4,80.00%,10
Peking University,School of Chemistry and Molecular Engineering,Analytical Chemistry,12.50%,13,2,15.38%,6
Peking University,School of Chemistry and Molecular Engineering,Organic Chemistry,21.43%,39,8,20.51%,10
Peking University,School of Chemistry and Molecular Engineering,Physical Chemistry,37.50%,20,11,55.00%,13
Peking University,School of Chemistry and Molecular Engineering,Polymer Chemistry and Physics,33.33%,18,5,27.78%,6
Peking University,School of Chemistry and Molecular Engineering,Chemistry (Chemical Biology),12.50%,2,1,50.00%,5
Peking University,School of Chemistry and Molecular Engineering,Chemistry (Applied Chemistry),40.00%,5,1,20.00%,4
Peking University,School of Chemistry and Molecular Engineering,Applied Chemistry,0.00%,0,0,0.00%,0
Peking University,School of Life Sciences,Inorganic Chemistry,0.00%,5,4,80.00%,10
Peking University,School of Life Sciences,Botany,12.50%,26,3,11.54%,6
Peking University,School of Life Sciences,Zoology,25.00%,4,0,0.00%,2
Peking University,School of Life Sciences,Physiology,13.04%,10,2,20.00%,4
Peking University,School of Life Sciences,Microbiology,14.29%,7,0,0.00%,0
Peking University,School of Life Sciences,Genetics,6.67%,6,2,33.33%,2
Peking University,School of Life Sciences,Cell Biology,5.92%,143,5,3.50%,9
Peking University,School of Life Sciences,Biochemistry and Molecular Biology,13.58%,88,14,15.91%,10
Peking University,School of Life Sciences,Biophysics,50.00%,8,0,0.00%,0
Peking University,School of Life Sciences,Ecology,7.14%,9,0,0.00%,2
Peking University,School of Life Sciences,Biology (Bioinformatics),4.65%,39,1,2.56%,3
Peking University,School of Life Sciences,Biology (Biotechnology),16.67%,29,11,37.93%,8
Peking University,School of Earth and Space Sciences,Cartography and Geographic Information System,16.98%,51,9,17.65%,4
Peking University,School of Earth and Space Sciences,Solid Earth Physics,20.00%,9,3,33.33%,7
Peking University,School of Earth and Space Sciences,Space Physics,150.00%,5,0,0.00%,2
Peking University,School of Earth and Space Sciences,"Mineralogy, Petrology, Ore Deposits",33.33%,18,5,27.78%,6
Peking University,School of Earth and Space Sciences,Geochemistry,42.86%,5,3,60.00%,4
Peking University,School of Earth and Space Sciences,Paleontology and Stratigraphy,27.27%,3,3,100.00%,4
Peking University,School of Earth and Space Sciences,Structural Geology,51.85%,26,11,42.31%,6
Peking University,School of Earth and Space Sciences,Geology,75.00%,5,2,40.00%,3
Peking University,School of Earth and Space Sciences,Photogrammetry and Remote Sensing,21.43%,28,6,21.43%,3
Peking University,School of Environmental Studies,Environmental and Resource Protection Law,0.00%,0,0,0.00%,0
Peking University,School of Environmental Studies,History and Geography,0.00%,0,0,0.00%,0
Peking University,School of Environmental Studies,Physical Geography,7.14%,32,6,18.75%,9
Peking University,School of Environmental Studies,Human Geography,30.00%,19,3,15.79%,4
Peking University,School of Environmental Studies,Geography (Historical Geography),20.83%,31,4,12.90%,1
Peking University,School of Environmental Studies,Geography (Geomorphology and Environmental Change),25.00%,5,2,40.00%,1
Peking University,School of Environmental Studies,Geography (Urban and Regional Planning),22.92%,102,19,18.63%,13
Peking University,School of Environmental Studies,Geography (Landscape Architecture),20.00%,96,13,13.54%,17
Peking University,School of Environmental Studies,Atmospheric Physics and Atmospheric Environment,100.00%,0,0,0.00%,0
Peking University,School of Environmental Studies,Quaternary Geology,200.00%,4,3,75.00%,1
Peking University,School of Environmental Studies,Ecology,27.27%,17,8,47.06%,6
Peking University,School of Environmental Studies,Architectural Design and Its Theory,11.43%,30,4,13.33%,2
Peking University,School of Environmental Studies,Environmental Science,24.70%,163,32,19.63%,37
Peking University,School of Environmental Studies,Environmental Engineering,33.33%,10,9,90.00%,10
Peking University,Department of Psychology,Basic Psychology,4.43%,214,8,3.74%,11
Peking University,Department of Psychology,Developmental and Educational Psychology,3.08%,34,1,2.94%,2
Peking University,Department of Psychology,Applied Psychology,11.37%,321,29,9.03%,16
Peking University,School of Software,Electronics and Communication Engineering,101.04%,109,63,57.80%,1
Peking University,School of Software,Master of Software Engineering,40.43%,889,275,30.93%,75
Peking University,School of Journalism and Communication,Journalism,3.23%,76,4,5.26%,7
Peking University,School of Journalism and Communication,Communication Studies,11.85%,573,66,11.52%,35
Peking University,Department of Chinese Language and Literature,Comparative Literature and Cultural Studies,13.89%,29,4,13.79%,3
Peking University,Department of Chinese Language and Literature,Linguistics and Applied Linguistics,11.76%,22,2,9.09%,4
Peking University,Department of Chinese Language and Literature,Chinese Language and Literature,13.51%,77,10,12.99%,7
Peking University,Department of Chinese Language and Literature,Chinese Classical Literature,17.95%,46,3,6.52%,4
Peking University,Department of Chinese Language and Literature,Chinese Ancient Literature,4.02%,217,7,3.23%,5
Peking University,Department of Chinese Language and Literature,Modern and Contemporary Chinese Literature,5.35%,177,10,5.65%,9
Peking University,Department of Chinese Language and Literature,Comparative Literature and World Literature,7.14%,57,3,5.26%,3
Peking University,History Department,History Theory and History of Historiography,33.33%,6,1,16.67%,0
Peking University,History Department,History and Geography,12.50%,6,0,0.00%,1
Peking University,History Department,History of Literary Documents,33.33%,7,0,0.00%,0
Peking University,History Department,Specialized History,15.38%,17,1,5.88%,2
Peking University,History Department,Ancient Chinese History,5.30%,116,9,7.76%,6
Peking University,History Department,Modern and Contemporary Chinese History,7.89%,76,6,7.89%,4
Peking University,History Department,World History,9.88%,81,8,9.88%,7
Peking University,Archaeology Department,Archaeology and Museum Studies,7.44%,89,7,7.87%,18
Peking University,Philosophy Department,Philosophy,8.89%,0,0,0.00%,0
Peking University,Philosophy Department,Marxist Philosophy,12.50%,38,4,10.53%,3
Peking University,Philosophy Department,Chinese Philosophy,5.33%,89,5,5.62%,3
Peking University,Philosophy Department,Foreign Philosophy,6.52%,86,5,5.81%,4
Peking University,Philosophy Department,Logic,8.30%,6,1,16.67%,1
Peking University,Philosophy Department,Ethics,13.33%,15,3,20.00%,2
Peking University,Philosophy Department,Aesthetics,6.00%,41,3,7.32%,3
Peking University,Philosophy Department,Religious Studies,12.50%,43,4,9.30%,2
Peking University,Philosophy Department,Philosophy of Science and Technology,27.78%,38,7,18.42%,3
Peking University,Philosophy Department,History of Science and Technology,30.00%,12,1,8.33%,1
Peking University,School of International Relations,Comparative Political Systems,18.18%,14,2,14.29%,2
Peking University,School of International Relations,Science Socialism and International Communist Movement,50.00%,10,3,30.00%,3
Peking University,School of International Relations,History of the Communist Party of China,19.05%,19,3,15.79%,4
Peking University,School of International Relations,International Politics,5.88%,113,8,7.08%,8
Peking University,School of International Relations,International Relations,10.69%,287,28,9.76%,8
Peking University,School of International Relations,International Relations,7.94%,66,6,9.09%,6
Peking University,School of International Relations,Political Science (International Political Economy),9.52%,20,2,10.00%,2
Peking University,School of Economics,Political Economy,5.75%,72,7,9.72%,6
Peking University,School of Economics,History of Economic Thought,43.75%,19,5,26.32%,1
Peking University,School of Economics,Economic History,14.29%,4,0,0.00%,2
Peking University,School of Economics,Western Economics,9.57%,111,8,7.21%,3
Peking University,School of Economics,World Economy,3.05%,111,7,6.31%,8
Peking University,School of Economics,Public Finance,2.08%,52,5,9.62%,5
Peking University,School of Economics,Finance,3.35%,737,38,5.16%,16
Peking University,Guanghua School of Management,National Economics,5.77%,85,8,9.41%,6
Peking University,Guanghua School of Management,Finance,5.42%,699,28,4.01%,30
Peking University,Guanghua School of Management,Industrial Economics,3.23%,38,1,2.63%,0
Peking University,Guanghua School of Management,Statistics,11.94%,26,2,7.69%,4
Peking University,Guanghua School of Management,Master of Software Engineering,10.03%,0,0,0.00%,0
Peking University,Guanghua School of Management,Management Science and Engineering,7.64%,109,9,8.26%,8
Peking University,Guanghua School of Management,Accounting,4.50%,107,4,3.74%,7
Peking University,Guanghua School of Management,Enterprise Management,1.76%,520,15,2.88%,18
Peking University,Guanghua School of Management,MBA (Master of Business Administration),17.94%,1566,320,20.43%,0
Peking University,Law School,Law,27.06%,1338,73,5.46%,0
Peking University,Law School,Theoretical Jurisprudence,26.02%,0,7,0.00%,1
Peking University,Law School,Legal History,16.03%,0,2,0.00%,0
Peking University,Law School,Constitutional Law and Administrative Law,20.33%,0,10,0.00%,3
Peking University,Law School,Criminal Law,13.33%,0,9,0.00%,7
Peking University,Law School,Civil and Commercial Law,14.45%,0,12,0.00%,6
Peking University,Law School,Procedural Law,21.06%,0,5,0.00%,5
Peking University,Law School,Economic Law,19.07%,0,8,0.00%,6
Peking University,Law School,Environmental and Resource Protection Law,23.10%,0,0,0.00%,2
Peking University,Law School,International Law,25.52%,0,8,0.00%,2
Peking University,Law School,Law (Intellectual Property Law),11.25%,0,2,0.00%,3
