Name,Model,unit,Value
Monel Sheet,8.0,kg/m2,7.0999
Monel Sheet,0.01,kg/m2,8.8999
Monel Sheet,0.012,kg/m2,0.107
Monel Sheet,1.49,kg/m2,0.134
Monel Sheet,0.02,kg/m2,0.1779
Monel Sheet,2.99,kg/m2,0.267
Monel Sheet,4.0,kg/m2,0.3559
Monel Sheet,5.0,kg/m2,0.45
Monel Sheet,5.99,kg/m2,0.53
Monel Sheet,7.0,kg/m2,0.62
Monel Sheet,8.0,kg/m2,0.7099
Monel Sheet,8.99,kg/m2,0.8
Monel Sheet,0.1,kg/m2,0.89
Monel Sheet,0.12,kg/m2,1.07
Monel Sheet,0.14,kg/m2,0.34
Monel Sheet,0.17,kg/m2,1.6
Monel Sheet,0.2,kg/m2,1.78
Monel Sheet,0.22,kg/m2,1.96
Monel Sheet,0.25,kg/m2,2.23
Monel Sheet,0.29,kg/m2,2.6699
Monel Sheet,0.35,kg/m2,3.12
Monel Sheet,0.4,kg/m2,3.56
Monel Sheet,0.45,kg/m2,4.0099
Monel Sheet,0.5,kg/m2,4.45
Monel Sheet,0.55,kg/m2,4.9
Monel Sheet,0.59,kg/m2,5.3399
Monel Sheet,0.65,kg/m2,5.79
Monel Sheet,0.7,kg/m2,6.23
Monel Sheet,0.75,kg/m2,6.6799
Monel Sheet,0.8,kg/m2,7.12
Monel Sheet,0.84,kg/m2,7.57
Monel Sheet,0.9,kg/m2,8.0099
Monel Sheet,0.95,kg/m2,8.4499
Monel Sheet,1.0,kg/m2,8.9
Monel Sheet,1.1,kg/m2,9.79
Monel Sheet,1.2,kg/m2,10.68
Monel Sheet,1.3,kg/m2,11.57
Monel Sheet,1.35,kg/m2,12.02
Monel Sheet,1.4,kg/m2,12.46
Monel Sheet,1.5,kg/m2,13.35
Monel Sheet,1.6,kg/m2,14.24
Monel Sheet,1.65,kg/m2,14.69
Monel Sheet,1.8,kg/m2,16.02
Monel Sheet,2.0,kg/m2,17.8
Monel Sheet,2.2,kg/m2,19.58
Monel Sheet,2.25,kg/m2,20.03
Monel Sheet,2.5,kg/m2,22.25
Monel Sheet,2.75,kg/m2,24.48
Monel Sheet,2.8,kg/m2,24.92
Monel Sheet,3.0,kg/m2,26.699
Monel Sheet,3.5,kg/m2,31.15
Monel Sheet,4.0,kg/m2,35.6
Monel Sheet,4.5,kg/m2,40.05
Monel Sheet,5.0,kg/m2,44.5
Monel Sheet,5.5,kg/m2,48.95
Monel Sheet,6.0,kg/m2,53.399
Monel Sheet,6.5,kg/m2,57.85
Monel Sheet,7.0,kg/m2,62.3
Monel Sheet,7.5,kg/m2,66.75
Monel Sheet,8.0,kg/m2,71.2
Monel Sheet,9.0,kg/m2,81.1
Monel Sheet,10.0,kg/m2,89.0
Monel Sheet,11.0,kg/m2,97.9
Monel Sheet,12.0,kg/m2,106.8
Monel Sheet,13.0,kg/m2,115.7
Monel Sheet,14.0,kg/m2,124.6
Monel Sheet,15.0,kg/m2,133.5
Monel Sheet,16.0,kg/m2,142.4
Monel Sheet,17.0,kg/m2,151.3
Monel Sheet,18.0,kg/m2,160.2
Monel Sheet,19.0,kg/m2,169.09
Monel Sheet,20.0,kg/m2,178.0
Monel Sheet,21.0,kg/m2,186.9
Monel Sheet,22.0,kg/m2,195.8
Monel Sheet,23.0,kg/m2,204.7
Monel Sheet,24.0,kg/m2,213.59
Monel Sheet,25.0,kg/m2,222.5
Monel Sheet,26.0,kg/m2,231.4
Monel Sheet,28.0,kg/m2,249.2
Monel Sheet,30.0,kg/m2,267.0
