Name,Model,unit,Value
Pure Copper Sheet,8.0,kg/m2,7.0999
Pure Copper Sheet,0.01,kg/m2,8.8999
Pure Copper Sheet,0.012,kg/m2,0.107
Pure Copper Sheet,1.49,kg/m2,0.134
Pure Copper Sheet,0.02,kg/m2,0.1779
Pure Copper Sheet,2.99,kg/m2,0.267
Pure Copper Sheet,4.0,kg/m2,0.3559
Pure Copper Sheet,5.0,kg/m2,0.445
Pure Copper Sheet,5.99,kg/m2,0.534
Pure Copper Sheet,7.0,kg/m2,0.623
Pure Copper Sheet,8.0,kg/m2,0.7119
Pure Copper Sheet,8.99,kg/m2,0.801
Pure Copper Sheet,0.1,kg/m2,0.89
Pure Copper Sheet,0.12,kg/m2,1.07
Pure Copper Sheet,0.14,kg/m2,1.34
Pure Copper Sheet,0.17,kg/m2,1.6
Pure Copper Sheet,0.2,kg/m2,1.78
Pure Copper Sheet,0.22,kg/m2,1.96
Pure Copper Sheet,0.25,kg/m2,2.23
Pure Copper Sheet,0.29,kg/m2,2.6699
Pure Copper Sheet,0.35,kg/m2,3.12
Pure Copper Sheet,0.4,kg/m2,3.56
Pure Copper Sheet,0.45,kg/m2,4.0099
Pure Copper Sheet,0.5,kg/m2,4.45
Pure Copper Sheet,0.55,kg/m2,4.9
Pure Copper Sheet,0.59,kg/m2,5.3399
Pure Copper Sheet,0.65,kg/m2,5.79
Pure Copper Sheet,0.7,kg/m2,6.23
Pure Copper Sheet,0.75,kg/m2,6.6799
Pure Copper Sheet,0.8,kg/m2,7.12
Pure Copper Sheet,0.84,kg/m2,7.57
Pure Copper Sheet,0.9,kg/m2,8.0099
Pure Copper Sheet,1.0,kg/m2,8.9
Pure Copper Sheet,1.1,kg/m2,9.79
Pure Copper Sheet,1.2,kg/m2,10.68
Pure Copper Sheet,1.3,kg/m2,11.57
Pure Copper Sheet,1.35,kg/m2,12.02
Pure Copper Sheet,1.4,kg/m2,12.46
Pure Copper Sheet,1.5,kg/m2,13.35
Pure Copper Sheet,1.6,kg/m2,14.24
Pure Copper Sheet,1.65,kg/m2,14.69
Pure Copper Sheet,1.8,kg/m2,16.02
Pure Copper Sheet,2.0,kg/m2,17.8
Pure Copper Sheet,2.2,kg/m2,19.58
Pure Copper Sheet,2.25,kg/m2,20.03
Pure Copper Sheet,2.5,kg/m2,22.25
Pure Copper Sheet,2.75,kg/m2,24.48
Pure Copper Sheet,2.8,kg/m2,24.92
Pure Copper Sheet,3.0,kg/m2,26.699
Pure Copper Sheet,3.5,kg/m2,31.15
Pure Copper Sheet,4.0,kg/m2,35.6
Pure Copper Sheet,4.5,kg/m2,40.05
Pure Copper Sheet,5.0,kg/m2,44.5
Pure Copper Sheet,5.5,kg/m2,48.95
Pure Copper Sheet,6.0,kg/m2,53.399
Pure Copper Sheet,6.5,kg/m2,57.85
Pure Copper Sheet,7.0,kg/m2,62.3
Pure Copper Sheet,7.5,kg/m2,66.75
Pure Copper Sheet,8.0,kg/m2,71.2
Pure Copper Sheet,9.0,kg/m2,80.1
Pure Copper Sheet,10.0,kg/m2,89.0
Pure Copper Sheet,11.0,kg/m2,97.9
Pure Copper Sheet,12.0,kg/m2,106.8
Pure Copper Sheet,13.0,kg/m2,115.7
Pure Copper Sheet,14.0,kg/m2,124.6
Pure Copper Sheet,15.0,kg/m2,133.5
Pure Copper Sheet,16.0,kg/m2,142.4
Pure Copper Sheet,17.0,kg/m2,151.3
Pure Copper Sheet,18.0,kg/m2,160.2
Pure Copper Sheet,19.0,kg/m2,169.09
Pure Copper Sheet,20.0,kg/m2,178.0
Pure Copper Sheet,21.0,kg/m2,186.9
Pure Copper Sheet,22.0,kg/m2,195.8
Pure Copper Sheet,23.0,kg/m2,204.7
Pure Copper Sheet,24.0,kg/m2,213.59
Pure Copper Sheet,25.0,kg/m2,222.5
Pure Copper Sheet,26.0,kg/m2,231.4
Pure Copper Sheet,27.0,kg/m2,240.3
Pure Copper Sheet,28.0,kg/m2,249.2
Pure Copper Sheet,30.0,kg/m2,267.0
