Table5-4-Age-Age,Employedpopulation-（1）,"EmploymentPopulationinHunanProvinceClassifiedbyAge,Gender,andOccupation-Governmentagencies,partyandmassorganizations,enterprise,andinstitutionheads-（2）",Professionalandtechnicalpersonnel-（3）,clericalstaffandrelatedpersonnel-（4）,Commercialandserviceindustrypersonnel-（5）,"Agriculture,forestry,animalhusbandry,fishery,andwaterconservancyproductionpersonnel-（6）","Unit:Person-Production,transportationequipmentoperatorsandrelatedpersonnel-（7）",Otheroccupationalcategoriesthataredifficulttoclassify-（8）
Total,340307,3834,20591,10842,43499,215830,44688,1023
16-19,13078,32,347,176,2490,6995,2995,43
20-24,26661,123,1753,880,5245,13251,5326,83
25-29,29409,276,2709,1539,5458,13891,5433,103
30-34,43640,493,3269,1795,7180,23194,7544,165
35-39,56107,732,3418,1847,8244,32820,8883,163
40-44,50005,810,3227,1879,6645,30448,6823,173
45-49,34621,535,2129,1149,3649,23536,3519,104
50-54,36880,479,1995,975,2581,28164,2602,84
55-59,24603,235,1012,461,1185,20597,1054,59
60-64,12676,64,368,83,485,11338,314,24
65-69,8208,35,245,37,206,7530,137,18
70 and above,4419,20,119,21,131,4066,58,4
Male total,189488,2908,10971,7451,22011,113844,31630,673
16-19,6819,22,166,111,966,3850,1680,24
20-24,13516,71,726,504,2283,6477,3409,46
25-29,15602,175,1215,990,2580,6819,3760,63
30-34,23319,345,1607,1178,3541,11319,5221,108
35-39,29738,545,1787,1195,4153,15742,6211,105
40-44,26839,632,1723,1280,3348,14744,5004,108
45-49,19363,422,1209,830,2091,11914,2828,69
50-54,21691,401,1262,809,1664,15302,2183,70
55-59,15328,205,763,437,816,12167,897,43
60-64,8316,48,250,75,335,7314,275,19
65-69,5770,26,175,27,148,5265,114,15
70 and above,3187,16,88,15,86,2931,48,3
Female total,150819,926,9620,3391,21488,101986,13058,350
16-19,6259,10,181,65,1524,3145,1315,19
20-24,13145,52,1027,376,2962,6774,1917,37
25-29,13807,101,1494,549,2878,7072,1673,40
30-34,20321,148,1662,617,3639,11875,2323,57
35-39,26369,187,1631,652,4091,17078,2672,58
40-44,23166,178,1504,599,3297,15704,1819,65
45-49,15258,113,920,319,1558,11622,691,35
50-54,15189,78,733,166,917,12862,419,14
55-59,9275,30,249,24,369,8430,157,16
60-64,4360,16,118,8,150,4024,39,5
65-69,2438,9,70,10,58,2265,23,3
70 and above,1232,4,31,6,45,1135,10,1
