4-1各地区分性别、年龄的就业人口-地区-性别,4-1各地区分性别、年龄的就业人口-单位：人-合计-合计,4-1各地区分性别、年龄的就业人口-单位：人-16-19岁-16-19岁,4-1各地区分性别、年龄的就业人口-单位：人-20-24岁-20-24岁,4-1各地区分性别、年龄的就业人口-单位：人-25-29岁-25-29岁,4-1各地区分性别、年龄的就业人口-单位：人-30-34岁-30-34岁,4-1各地区分性别、年龄的就业人口-单位：人-35-39岁-35-39岁,4-1各地区分性别、年龄的就业人口-单位：人-40-44岁-40-44岁,4-1各地区分性别、年龄的就业人口-单位：人-45-49岁-45-49岁,4-1各地区分性别、年龄的就业人口-单位：人-50-54岁-50-54岁,4-1各地区分性别、年龄的就业人口-单位：人-55-59岁-55-59岁,4-1各地区分性别、年龄的就业人口-单位：人-60-64岁-60-64岁,4-1各地区分性别、年龄的就业人口-单位：人-65-69岁-65-69岁,4-1各地区分性别、年龄的就业人口-单位：人-70-74岁-70-74岁,4-1各地区分性别、年龄的就业人口-单位：人-75岁及-以上
,,,,,,,,,,,,,,
全    国,65631786.0,770958.0,3861073.0,6981094.0,10009284.0,8097572.0,7565087.0,8940917.0,8132752.0,5495186.0,2483449.0,1995170.0,861236.0,438008.0
,,,,,,,,,,,,,,
北    京,1015007.0,6760.0,60517.0,140709.0,201948.0,177447.0,129632.0,122464.0,95748.0,61123.0,12168.0,4965.0,1144.0,382.0
天    津,504665.0,3676.0,25535.0,57317.0,95349.0,85458.0,65217.0,63245.0,51993.0,36961.0,10763.0,6410.0,2060.0,681.0
河    北,3332630.0,34593.0,135935.0,306995.0,546354.0,464925.0,374398.0,388839.0,406670.0,298874.0,172611.0,129619.0,53307.0,19510.0
山    西,1452063.0,8272.0,73021.0,163053.0,209224.0,183818.0,164182.0,208006.0,179014.0,127440.0,67563.0,44125.0,17577.0,6768.0
内 蒙 古,1049550.0,4271.0,41476.0,99978.0,153799.0,144086.0,129746.0,161902.0,137066.0,95412.0,46104.0,25541.0,7599.0,2570.0
,,,,,,,,,,,,,,
辽    宁,1799414.0,11215.0,69173.0,146902.0,252821.0,226622.0,236756.0,259102.0,235261.0,181550.0,86362.0,60640.0,23636.0,9374.0
吉    林,1008886.0,6099.0,33880.0,80862.0,139500.0,117478.0,129738.0,149658.0,144164.0,103847.0,50951.0,35074.0,13029.0,4606.0
黑 龙 江,1283401.0,7374.0,44141.0,98268.0,171983.0,164454.0,175246.0,218172.0,178588.0,121372.0,53919.0,33481.0,11640.0,4763.0
,,,,,,,,,,,,,,
上    海,1264922.0,12461.0,92921.0,187804.0,241284.0,204023.0,162239.0,149361.0,119207.0,75911.0,12733.0,5526.0,1142.0,310.0
江    苏,4062749.0,29540.0,198883.0,446924.0,667568.0,487468.0,461618.0,515711.0,524641.0,345136.0,157413.0,134129.0,59545.0,34173.0
浙    江,3642236.0,48572.0,251886.0,425229.0,563500.0,461207.0,435378.0,491959.0,428745.0,282527.0,120739.0,81919.0,35149.0,15426.0
安    徽,2766699.0,28128.0,146756.0,305293.0,378167.0,281116.0,302538.0,381026.0,387918.0,259530.0,89463.0,114233.0,59306.0,33225.0
福    建,2052886.0,25407.0,114935.0,219657.0,319076.0,273339.0,250859.0,288483.0,238133.0,157015.0,79759.0,54322.0,20880.0,11021.0
江    西,2260971.0,37068.0,152136.0,222111.0,309566.0,254682.0,298794.0,325764.0,270561.0,183436.0,98131.0,66609.0,28324.0,13789.0
山    东,4764872.0,43195.0,219139.0,338882.0,743956.0,575013.0,528273.0,625131.0,638362.0,452068.0,244803.0,212737.0,96790.0,46523.0
,,,,,,,,,,,,,,
河    南,4225042.0,63024.0,231828.0,402294.0,672267.0,458463.0,445176.0,530912.0,532262.0,373233.0,194316.0,189684.0,85874.0,45709.0
湖    北,3046668.0,18690.0,128666.0,325631.0,459442.0,346553.0,329870.0,398389.0,410150.0,306496.0,140741.0,107197.0,49319.0,25524.0
湖    南,3041080.0,44485.0,170597.0,258107.0,462475.0,372365.0,331128.0,421207.0,416188.0,284432.0,119797.0,96658.0,42572.0,21069.0
