5-1CategoriesofHouseholdsofDifferentSizesNationwide-HouseholdSize-HouseholdSize,5-1CategoriesofHouseholdsofDifferentSizesNationwide-Familyhousehold-NumberofHouseholds,5-1CategoriesofHouseholdsofDifferentSizesNationwide-One-generationhousehold-One-generationhousehold,5-1CategoriesofHouseholdsofDifferentSizesNationwide-Two-generationhousehold-Two-generationhousehold,5-1CategoriesofHouseholdsofDifferentSizesNationwide-Three-generationhouseholds-Three-generationhouseholds,5-1CategoriesofHouseholdsofDifferentSizesNationwide-Four-generationhouseholds-Four-generationhouseholds,5-1CategoriesofHouseholdsofDifferentSizesNationwide-Unit:Household-Fivegenerationsandabove-abovehouseholds
,,,,,,
Total,494157423.0,244615023.0,181471659.0,65528182.0,2540015.0,2544.0
One-person household,125490007.0,125490007.0,0.0,0.0,0.0,0.0
Two-person household,146690059.0,110685779.0,36004280.0,0.0,0.0,0.0
Three-person household,103700982.0,5134646.0,93163291.0,5403045.0,0.0,0.0
Four-person household,65100986.0,1834602.0,42919633.0,20215417.0,131334.0,0.0
Five-person household,30513352.0,701437.0,7315318.0,21906684.0,589759.0,154.0
Six-person household,15125667.0,293766.0,1453830.0,12552955.0,824670.0,446.0
Seven-person household,4589308.0,139356.0,386946.0,3439349.0,622936.0,721.0
Eight-person household,1557638.0,89363.0,130530.0,1102904.0,234231.0,610.0
Nine-person household,655060.0,53700.0,48137.0,476038.0,76840.0,345.0
Households with ten or more people,734364.0,192367.0,49694.0,431790.0,60245.0,268.0
