1-1-8全国按乡村类型和年龄分的住户农业从业人员数量-名称,单位：人-合计,20岁以下,21-30岁,31-40岁,41-50岁,51-60岁,60岁以上
,,,,,,,
合        计,342463995.0,18224674.0,51179041.0,82761216.0,78985149.0,72829640.0,38484275.0
一、按社区类型分,,,,,,,
村委会,333684993.0,17918082.0,50063091.0,80489195.0,76755652.0,70866357.0,37592616.0
居委会,6075378.0,210503.0,748431.0,1428398.0,1488033.0,1480721.0,719292.0
农场,1966458.0,79105.0,292933.0,663539.0,536048.0,302534.0,92299.0
二、按地势分,,,,,,,
平原,135485165.0,7565969.0,21589380.0,32472344.0,31726935.0,29006280.0,13124257.0
丘陵,110167471.0,4728072.0,13944012.0,25932031.0,26075227.0,25277331.0,14210798.0
山区,95985895.0,5909454.0,15558369.0,24152557.0,20953059.0,18350178.0,11062278.0
三、按贫困村类型分,,,,,,,
非贫困村,270346671.0,13580988.0,39170960.0,65019864.0,63290084.0,58872468.0,30412307.0
贫困村,71291023.0,4622457.0,11920647.0,17536874.0,15464933.0,13761150.0,7984962.0
省定贫困村,48410554.0,3255603.0,8312123.0,11950353.0,10379989.0,9194660.0,5317826.0
省以下定贫困村,22880469.0,1366854.0,3608524.0,5586521.0,5084944.0,4566490.0,2667136.0
四、按是否少数民族聚居村分,,,,,,,
是,46039392.0,3965145.0,9700193.0,11571011.0,9044056.0,7433751.0,4325236.0
否,295597825.0,14238284.0,41391252.0,70985522.0,69710869.0,65199856.0,34072042.0
五、按所在乡镇类型分,,,,,,,
乡,108757710.0,7015052.0,18379355.0,26884131.0,23775396.0,21358575.0,11345201.0
镇,220718427.0,10754602.0,31243205.0,52692265.0,51844225.0,48381356.0,25802774.0
街道,10265970.0,341984.0,1161884.0,2334838.0,2650357.0,2614122.0,1162785.0
农场,2629682.0,109812.0,384520.0,826021.0,692549.0,454717.0,162063.0
六、按所在乡镇是否县政府驻地分,,,,,,,
是,23302896.0,1224045.0,3636521.0,5685956.0,5443535.0,4921828.0,2391011.0
否,319068893.0,16997405.0,47532443.0,77051299.0,73518992.0,67886942.0,36081812.0
七、按所在乡镇是否民族乡镇分,,,,,,,
是,19729492.0,1609852.0,4027503.0,4936017.0,3994716.0,3304065.0,1857339.0
否,322642297.0,16611598.0,47141461.0,77801238.0,74967811.0,69504705.0,36615484.0
八、按所在乡镇是否老区分,,,,,,,
是,78271253.0,3625173.0,10855986.0,18326512.0,18536717.0,17148655.0,9778210.0
否,264100536.0,14596277.0,40312978.0,64410743.0,60425810.0,55660115.0,28694613.0
九、按所在乡镇是否边区分,,,,,,,
是,14007787.0,918990.0,2430516.0,3467265.0,3044732.0,2601476.0,1544808.0
否,328364002.0,17302460.0,48738448.0,79269990.0,75917795.0,70207294.0,36928015.0
十、无对应乡表的分组,92206.0,3224.0,10077.0,23961.0,22622.0,20870.0,11452.0
十一、无对应村表的分组,737166.0,16984.0,74586.0,180084.0,205416.0,180028.0,80068.0
