1-11国民经济和社会发展效益指标-指标,1-11国民经济和社会发展效益指标-2000,1-11国民经济和社会发展效益指标-2005,1-11国民经济和社会发展效益指标-2014,1-11国民经济和社会发展效益指标-2015
人口出生率                                                              (‰),11,12,14,14
人口死亡率                                                              (‰),7,7,7,7
人口自然增长率                                                     (‰),5,5,7,7
就业者负担人口                                                     (人),2,2,2,2
全社会劳动生产率                                     (元／年人),9894,17188,66919,72036
人均地区生产总值                                                  (元),5425,10562,40271,42754
固定资产投资相当于生产总值                             (%),30,39,81,90
国有经济项目投产率                                              (%),62,56,66,71
国有经济固定资产交付使用率                             (%),70,56,63,70
地方财政收入相当于生产总值                             (%),5,6,8,9
公共财政支出相当于生产总值                             (%),10,13,19,20
人均耕地面积                                                      (公顷),0,0,0,0
农业从业者人均耕地面积                                (公顷),0,0,0,0
农业从业者人均农业总产值                                (元),6060,10535,29140,31539
每公顷耕地农业机械总动力                            (千瓦),6,8,14,14
每公顷耕地用电量                                     (千瓦小时),1135,1710,2982,2983
每公顷播种面积化肥施用量                            (公斤),228,252,283,283
每公顷耕地生产的农业产值                                (元),31923,53885,127728,135568
建筑业技术装备率                                         (元／人),5428,8051,9773,12487
建筑业全员劳动生产率                                 (元／人),46436,105740,284618,299671
运输业铁路网密度                    (公里／万平方公里),138,132,214,213
运输业公路网密度                    (公里／万平方公里),2873,4164,11154,11184
全省人均消费品零售额                                          (元),2114,3653,15972,17727
进出口总额相当于生产总值                                 (%),6,7,7,6
每一来湘旅游客人次支出                                 (美元),487,542,364,379
学龄儿童入学率                                                       (%),98,99,100,100
小学升学率                                                               (%),97,100,101,101
初中升学率                                                               (%),51,61,89,87
国家财政性教育经费占GDP比例                         (%),2,3,3,3
科技拨款相当于生产总值                                     (%),0,0,0,0
每百万人有艺术表演团体                                     (个),1,1,4,4
每百万人有公共图书馆                                          (个),2,2,2,2
离婚率                                                                       (‰),2,3,3,3
每万人口中医院卫生院数                                     (个),1,1,0,1
每万人口中执业(助理)医师数                              (人),14,12,20,22
每万人口中医院床位数                                         (张),14,23,37,41
医院病床使用率                                                       (%),46,68,90,86
城市用水普及率                                                       (%),98,91,97,97
城市燃气普及率                                                       (%),78,75,91,92
人均公园绿地面积                                          (平方米),5,7,10,10
每起火灾经济损失                                              (万元),1,1,1,1
每起交通事故经济损失                                     (万元),0,0,1,1
