Order Number,Product,Shop,Date,Unit Price,Quantity,Total Price,Secondary Category
dp663099170905205559101,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/5/2017,7.0,1,7.0,Dairy Products
dp663099170906093111741,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/6/2017,0.8,1,0.8,Puffed Food
dp663099170906102942214,Sizhou Su Yishao Barbecue Flavor,Tianhe District Convenience Store,9/6/2017,9.0,1,9.0,Puffed Food
dp663099170906103327320,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/6/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170906103409381,Japanese-style fish cake,Tianhe District Convenience Store,9/6/2017,4.0,1,4.0,Puffed Food
dp663099170906103457348,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/6/2017,0.8,1,0.8,Puffed Food
dp663099170906103658997,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/6/2017,7.0,1,7.0,Dairy Products
dp663099170906131459278,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/6/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170906144031436,Sprite,Tianhe District Convenience Store,9/6/2017,3.5,1,3.5,Carbonated beverage
dp663099170906161132813,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/6/2017,0.8,1,0.8,Puffed Food
dp663099170906173849943,Japanese-style fish cake,Tianhe District Convenience Store,9/6/2017,4.0,1,4.0,Puffed Food
dp663099170906175910466,Nestlé Coffee,Tianhe District Convenience Store,9/6/2017,7.5,1,7.5,Coffee
dp663099170906180031686,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/6/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170906180119958,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/6/2017,7.0,1,7.0,Dairy Products
dp663099170906180649947,Jinzai Small Fish,Tianhe District Convenience Store,9/6/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170906180649947,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/6/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170906180649947,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/6/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp663099170906181325882,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/6/2017,0.8,1,0.8,Puffed Food
dp663099170906181325882,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/6/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170906182409420,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/6/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170906182555638,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/6/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170906194428738,Jinzai Small Fish,Tianhe District Convenience Store,9/6/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170906194724183,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/6/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170907085618879,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/7/2017,3.5,1,3.5,Plant-based protein
dp663099170907085627798,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/7/2017,3.5,1,3.5,Plant-based protein
dp663099170907095233751,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/7/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170907102056233,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/7/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170907102056233,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/7/2017,7.0,1,7.0,Dairy Products
dp663099170907132648177,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/7/2017,4.0,2,8.0,Biscuits and Pastries
dp663099170907174601530,P盼P Hand-Torn Bread,Tianhe District Convenience Store,9/7/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170907180709582,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/7/2017,0.8,1,0.8,Puffed Food
dp663099170907181244523,Yih tea,Tianhe District Convenience Store,9/7/2017,5.5,1,5.5,Tea Beverage
