山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-(以1952年为100)-年份Year-年份Year,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-地区生产总值GrossDomesticProduct-地区生产总值GrossDomesticProduct,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-第一产业PrimaryIndustry,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-第二产业SecondaryIndustry,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-第三产业TertiaryIndustry,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-#工业Industry,山东省主要年份地区生产总值指数-IndicesofGrossDomesticProductinMajorYears-(1952=100)-#建筑业Construction
"年  份


Year","地    区
生产总值

Gross 
Domestic 
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","#工  业


Industry","#建筑业


Construction"
"年  份


Year","地    区
生产总值

Gross 
Domestic 
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","#工  业


Industry","#建筑业


Construction"
"年  份


Year","地    区
生产总值

Gross 
Domestic 
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","#工  业


Industry","#建筑业


Construction"
"年  份


Year","地    区
生产总值

Gross 
Domestic 
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","#工  业


Industry","#建筑业


Construction"
"年  份


Year","地    区
生产总值

Gross 
Domestic 
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","#工  业


Industry","#建筑业


Construction"
,,,,,,
1952,100,100,100,100,100,100
1955,127,116,155,147,157,127
1957,137,102,262,155,264,222
1962,113,70,215,184,213,238
1965,171,107,405,198,386,679
1970,252,129,753,261,747,826
1975,362,154,1365,311,1372,1222
1978,466,174,1945,380,1905,2548
1979,497,189,2068,395,2002,3066
1980,558,207,2316,470,2230,3612
1981,590,221,2389,525,2327,3370
1982,656,244,2522,668,2440,3786
1983,747,283,2713,826,2644,3803
1984,877,335,3191,952,3085,4825
1985,977,342,3780,1094,3613,6280
1986,1038,340,4185,1189,4029,6546
1987,1182,365,4898,1392,4787,6704
1988,1330,364,6008,1526,5851,8494
1989,1383,362,6431,1568,6348,7930
1990,1456,381,6891,1578,6856,7761
1991,1668,435,7852,1831,7881,8192
1992,1950,436,10095,2129,10202,9881
1993,2348,462,12928,2554,13124,12085
1994,2729,496,15179,3081,15433,13963
1995,3110,540,17316,3604,17555,16412
1996,3485,576,19712,4054,19965,18865
1997,3871,579,22218,4640,22501,21291
1998,4288,611,24899,5159,25219,23829
1999,4717,640,27902,5639,28301,26322
2000,5165,655,30913,6236,31374,28977
2001,5650,680,34004,6920,34524,31789
2002,6272,697,38736,7636,39113,37654
2003,6949,734,43968,8314,44593,41416
2004,7818,785,50992,9087,52513,42711
2005,8803,822,58393,10205,60375,47311
2006,9886,862,66431,11485,68962,52054
2007,11062,896,75125,12937,78461,55839
2008,12135,938,82158,14473,86164,58782
2009,13325,976,91377,15793,94658,72879
2010,14710,1006,102048,17417,105683,81576
2011,16284,1044,113741,19421,118589,86765
2012,17864,1091,125476,21387,131380,92815
2013,19543,1129,137729,23587,144601,101726
2014,21204,1172,149817,25748,157319,111050
2015,22858,1221,160408,28213,168215,120084
2016,24555,1268,170359,30833,178427,127264
2017,26352,1313,180537,33693,189478,132823
2018,28013,1348,188001,36697,197930,138456
2019,29484,1362,192954,39713,201840,147444
2020,30501,1398,199064,41224,208779,149686
2021,33018,1503,211564,45266,224336,151739
2022,34317,1565,219810,47046,233703,156135
2023,36365,1635,234020,49783,248311,168605
,,,,,,
,,,,,,
注:本表按可比价格计算。,,,,,,
a) Data in this table are calculated at constant prices.,,,,,,
