6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-受教育程度-受教育程度,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-15-64岁-妇女人数,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-存活0个-存活0个,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-存活1个-存活1个,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-存活2个-存活2个,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-存活3个-存活3个,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-存活4个-存活4个,6-9全国按受教育程度、存活子女数分的15-64岁妇女人数-单位：人-存活5个-及以上
,,,,,,,
总  计,46789337.0,11336803.0,15824874.0,15446775.0,3267980.0,698525.0,214380.0
未上过学,926652.0,82309.0,155697.0,393405.0,194835.0,68018.0,32388.0
学前教育,31824.0,5347.0,6817.0,13004.0,4702.0,1391.0,563.0
小  学,7958864.0,455549.0,1984766.0,3872410.0,1218314.0,317375.0,110450.0
初  中,18219818.0,2394155.0,6324123.0,7648535.0,1522126.0,267625.0,63254.0
高  中,8962313.0,3325518.0,3362552.0,1981582.0,250207.0,35633.0,6821.0
大学专科,5362227.0,2290275.0,2115714.0,893259.0,56136.0,6125.0,718.0
大学本科,4766962.0,2474901.0,1684595.0,584806.0,20295.0,2193.0,172.0
硕士研究生,507936.0,282301.0,170345.0,53913.0,1220.0,146.0,11.0
博士研究生,52741.0,26448.0,20265.0,5861.0,145.0,19.0,3.0
