博物馆,层次,年参观人次 （万 ）,珍贵文物（套/件 ）,藏品      （套/件 ）,省份,类型
孔庙和国子监博物馆,文物系统国有博物馆,26,1073,1866,北京市,文化类
首都粮食博物馆,非国有博物馆,0,0,30,北京市,行业类
中国航天博物馆,其他行业国有博物馆,0,0,180,北京市,行业类
北京税务博物馆,其他行业国有博物馆,1,0,18000,北京市,行业类
山戎文化陈列馆,文物系统国有博物馆,0,0,未知,北京市,文化类
北京历代帝王庙博物馆,文物系统国有博物馆,6,33,33,北京市,历史类
中国海关博物馆,其他行业国有博物馆,0,754,5468,北京市,行业类
铁道兵纪念馆,其他行业国有博物馆,2,0,9486,北京市,行业类
北京燕京八绝博物馆,非国有博物馆,1,0,436,北京市,艺术类
北京菜百黄金珠宝博物馆,其他行业国有博物馆,37,0,318,北京市,行业类
中国电影博物馆,其他行业国有博物馆,31,51,35496,北京市,行业类
北京自来水博物馆,非国有博物馆,1,0,2014,北京市,行业类
中国佛教图书文物馆,其他行业国有博物馆,1,49998,49998,北京市,文化类
北京大戚收音机电影机博物馆,非国有博物馆,2,0,350,北京市,文化类
北京劲飞京作红木文化博物馆,非国有博物馆,1,0,784,北京市,文化类
北京文旺阁木作博物馆,非国有博物馆,15,0,15000,北京市,文化类
中国印刷博物馆,其他行业国有博物馆,5,302821,347769,北京市,行业类
中国考古博物馆,其他行业国有博物馆,0,1425,45878,北京市,行业类
大钟寺古钟博物馆,文物系统国有博物馆,4,239,528,北京市,文化类
北京奥运博物馆,文物系统国有博物馆,2,13,48351,北京市,文化类
中国人民保险集团保险博物馆,其他行业国有博物馆,0,0,3000,北京市,行业类
北京中药炮制技术博物馆,其他行业国有博物馆,0,0,355,北京市,行业类
北京中华民族博物院,非国有博物馆,20,0,91478,北京市,文化类
中国长城博物馆,文物系统国有博物馆,1,261,2502,北京市,文化类
北京石刻艺术博物馆,文物系统国有博物馆,12,191,1551,北京市,艺术类
北京南海子麋鹿苑博物馆,其他行业国有博物馆,33,0,5780,北京市,文化类
国家自然博物馆,其他行业国有博物馆,61,0,372148,北京市,科技类
民航博物馆,其他行业国有博物馆,7,11,11657,北京市,行业类
北京市大兴区月季博物馆,其他行业国有博物馆,0,0,692,北京市,文化类
平西抗日战争纪念馆,文物系统国有博物馆,3,0,414,北京市,历史类
北京国韵百年邮票钱币博物馆,非国有博物馆,0,0,1113,北京市,文化类
中国航空博物馆,其他行业国有博物馆,230,123,27123,北京市,科技类
