MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-I.Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2000,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2010,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2012,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2013,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2014,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2015,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2016,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2017,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2018,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2019,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2020,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2021,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2022,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2023
Permanent Resident Population at Year-End (Ten Thousand People),Total Population at the Year-end                           (10 000 persons),8997,9579,9708,9746,9808,9866,9973,10033,10077,10106,10165,10170,10163,10123
By Gender,By Sexual,,,,,,,,,,,,,,
"Male (10,000 people)",Male                                                                    (10 000 persons),(4562),(4839),(4868),(4883),(4960),(4999),(5049),(5089),(5130),(5153),(5162),(5169),(5160),(5142)
"Female (10,000 people)",Female                                                                 (10 000 persons),(4413),(4697),(4712),(4729),(4787),(4823),(4872),(4919),(4966),(4995),(5011),(5023),(5019),(5005)
By Rural and Urban Areas,Agricultural and Non-agricultural Population,,,,,,,,,,,,,,
"Rural Population (in 10,000 people)",Agricultural Population                                       (10 000 persons),5564,4817,4657,4536,4436,4245,4076,3934,3884,3854,3756,3667,3603,3489
Urban Population (Ten Thousand People),Non-agricultural Population                                (10 000 persons),3433,4762,5051,5210,5372,5621,5897,6099,6193,6252,6409,6503,6559,6634
Population Density (people/square kilometer),Population Density                                                   (persons/sq.km),574,610,616,619,620,624,630,634,636,637,643,644,643,641
II. Employed Personnel and Labor Wages,Employment and Wages,,,,,,,,,,,,,,
Employment at Year-End (Ten Thousand People),Year-end Employed Persons                                   (10 000 persons),5387,5940,5892,5840,5798,5773,5728,5693,5621,5561,5510,5475,5338,5370
Primary Industry (Ten Thousand People),Primary Industry                                                 (10 000 persons),2807,2257,2068,1974,1879,1795,1707,1623,1535,1446,1372,1316,1284,1267
Second Industry                (Ten Thousand People),Secondary Industry                                             (10 000 persons),1293,1853,1915,1916,1919,1922,1907,1907,1877,1852,1840,1850,1804,1818
Tertiary Industry                (Ten Thousand People),Tertiary Industry                                                 (10 000 persons),1287,1830,1909,1951,2000,2055,2114,2163,2209,2263,2298,2309,2250,2285
"Rural Employed Personnel (10,000 people)",Rural Employed Persons                                         (10 000 persons),3394,3166,2981,2873,2771,2656,2538,2437,2338,2258,2165,2089,2041,2018
Urban Employed Personnel (Ten Thousand People),Urban Employed Persons                                        (10 000 persons),1993,2774,2911,2967,3027,3117,3191,3256,3283,3303,3345,3386,3297,3352
"Employees at Year-End (10,000 people)",Number of Staff and Workers at the Year-end     (10 000 persons),790.1,919.9,1060.2,1237.6,1210.0,1178.0,1155.5,1130.3,1065.4,1000.1,1027.8,1039.1,1022.7,1018.5
State-owned Units (Ten Thousand People),State-owned Units                                               (10 000 persons),542.1,422.4,431.8,397.6,386.2,374.6,372.1,369.6,345.4,330.6,360.8,367.3,368.2,359.0
Total Wages of Employees (100 million yuan),Total Wages Bill                                                  (100 million yuan),695.1,3166.7,4628.2,6098.9,6545.4,7054.6,7531.7,8059.3,8260.5,8688.9,9597.4,10457.7,11046.3,11574.2
State-owned Units (in 100 million yuan),State-owned Units                                            (100 million yuan),524.4,1683.5,2125.1,2184.5,2334.1,2677.1,2940.3,3191.7,3212.7,3378.2,3952.3,4291.5,4718.6,4651.9
Average Wage of Employed Personnel (Yuan),Average Wage                                                                         (yuan),8772,33321,41904,46998,51825,57270,62539,68081,73593,81446,87749,94768,102247,107131
State-owned Units (Yuan),State-owned Units                                                               (yuan),9655,38490,47894,52811,58485,69050,76903,83845,89598,98587,106784,113670,125235,126459
"Three, National Economic Accounting",National Accounts,,,,,,,,,,,,,,
