1-1-48全国按经营耕地规模和就业方式分的家庭户农业从业人员数量-名称,单位：人-合计,雇主,家庭帮工,自营,务工,公职
,,,,,,
合  计,341414551.0,1170022.0,605489.0,337325119.0,2202763.0,111158.0
0亩,6647062.0,101279.0,65004.0,6272213.0,196532.0,12034.0
0.1-0.9亩,9386614.0,43528.0,20814.0,9119359.0,193606.0,9307.0
1-1.9亩,27771777.0,99042.0,43219.0,27362811.0,257175.0,9530.0
2-2.9亩,40008253.0,128259.0,59989.0,39525513.0,282791.0,11701.0
3-3.9亩,42242852.0,126770.0,61341.0,41785495.0,257798.0,11448.0
4-4.9亩,38761732.0,111123.0,53548.0,38367153.0,219835.0,10073.0
5-5.9亩,30999795.0,84635.0,40990.0,30700834.0,165624.0,7712.0
6-6.9亩,26402265.0,66967.0,32281.0,26163555.0,133315.0,6147.0
7-7.9亩,19446377.0,47215.0,23055.0,19278026.0,93565.0,4516.0
8-8.9亩,16020736.0,38850.0,18199.0,15884375.0,75466.0,3846.0
9-9.9亩,11853926.0,27587.0,12829.0,11756314.0,54486.0,2710.0
10-10.9亩,10520392.0,27036.0,12613.0,10429280.0,48755.0,2708.0
11-11.9亩,6868906.0,16736.0,7571.0,6812179.0,30842.0,1578.0
12-12.9亩,6778590.0,17100.0,7636.0,6722571.0,29664.0,1619.0
13-13.9亩,4812813.0,12598.0,5459.0,4772765.0,20743.0,1248.0
14-14.9亩,4160914.0,10917.0,4962.0,4126270.0,17686.0,1079.0
15-15.9亩,3991665.0,11568.0,5233.0,3957457.0,16272.0,1135.0
16-16.9亩,3156480.0,8968.0,4088.0,3130104.0,12514.0,806.0
17-17.9亩,2384176.0,6967.0,3035.0,2364400.0,9163.0,611.0
18-18.9亩,2539537.0,7324.0,3497.0,2519007.0,9018.0,691.0
19-19.9亩,1764127.0,5449.0,2607.0,1749598.0,6022.0,451.0
20-24.9亩,7578153.0,27513.0,14612.0,7509715.0,24193.0,2120.0
25-29.9亩,4302077.0,17089.0,9895.0,4262056.0,11840.0,1197.0
30-34.9亩,3211104.0,16396.0,10875.0,3173945.0,8744.0,1144.0
35-39.9亩,2029119.0,10532.0,7433.0,2005611.0,4892.0,651.0
40-44.9亩,1640391.0,10781.0,8112.0,1616400.0,4445.0,653.0
45-49.9亩,1152455.0,7381.0,5639.0,1136256.0,2704.0,475.0
50-59.9亩,1546463.0,14341.0,11144.0,1515899.0,4287.0,792.0
60-99.9亩,2346496.0,27672.0,22994.0,2287585.0,6654.0,1591.0
100亩以上,1089304.0,38399.0,26815.0,1018373.0,4132.0,1585.0
