表2-3    各民族分性别、受教育程度的6岁及以上人口,表2-3    各民族分性别、受教育程度的6岁及以上人口.1,表2-3    各民族分性别、受教育程度的6岁及以上人口.2,表2-3    各民族分性别、受教育程度的6岁及以上人口.3,表2-3    各民族分性别、受教育程度的6岁及以上人口.4,表2-3    各民族分性别、受教育程度的6岁及以上人口.5,表2-3    各民族分性别、受教育程度的6岁及以上人口.6,表2-3    各民族分性别、受教育程度的6岁及以上人口.7,表2-3    各民族分性别、受教育程度的6岁及以上人口.8,表2-3    各民族分性别、受教育程度的6岁及以上人口.9,表2-3    各民族分性别、受教育程度的6岁及以上人口.10,表2-3    各民族分性别、受教育程度的6岁及以上人口.11,表2-3    各民族分性别、受教育程度的6岁及以上人口.12,表2-3    各民族分性别、受教育程度的6岁及以上人口.13,表2-3    各民族分性别、受教育程度的6岁及以上人口.14,表2-3    各民族分性别、受教育程度的6岁及以上人口.15,表2-3    各民族分性别、受教育程度的6岁及以上人口.16,表2-3    各民族分性别、受教育程度的6岁及以上人口.17,表2-3    各民族分性别、受教育程度的6岁及以上人口.18,表2-3    各民族分性别、受教育程度的6岁及以上人口.19,表2-3    各民族分性别、受教育程度的6岁及以上人口.20,表2-3    各民族分性别、受教育程度的6岁及以上人口.21,表2-3    各民族分性别、受教育程度的6岁及以上人口.22,表2-3    各民族分性别、受教育程度的6岁及以上人口.23,表2-3    各民族分性别、受教育程度的6岁及以上人口.24
单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人
民族别,6岁及以上人口,6岁及以上人口,6岁及以上人口,未上过学,未上过学,未上过学,小学,小学,小学,初中,初中,初中,高中,高中,高中,大学专科,大学专科,大学专科,大学本科,大学本科,大学本科,研究生及以上,研究生及以上,研究生及以上
民族别,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,584263,296349,287914,47325,12652,34673,197307,97952,99355,231848,123568,108280,81552,46579,34973,18448,10663,7785,7406,4657,2749,377,278,99
汉族,522708,265112,257596,39678,10495,29183,172109,85372,86737,210784,111695,99089,75737,43055,32682,17029,9817,7212,7009,4407,2602,362,271,91
土家族,25276,12815,12461,3390,995,2395,10479,5313,5166,8145,4553,3592,2526,1506,1020,577,354,223,157,92,65,2,2,0
苗族,16758,8390,8368,2126,560,1566,6685,3236,3449,5869,3304,2565,1563,977,586,405,240,165,106,70,36,4,3,1
侗族,8627,4412,4215,875,239,636,3661,1859,1802,3153,1768,1385,723,420,303,162,91,71,53,35,18,,,
瑶族,8535,4518,4017,1017,298,719,3633,1844,1789,3112,1856,1256,601,405,196,137,92,45,31,21,10,4,2,2
回族,830,417,413,34,7,27,223,109,114,294,157,137,206,111,95,58,23,35,13,10,3,2,0,2
白族,430,203,227,59,19,40,133,52,81,124,66,58,73,44,29,31,17,14,10,5,5,,,
东乡族,293,147,146,57,16,41,134,71,63,91,51,40,7,7,0,4,2,2,,,,,,
蒙古族,126,41,85,18,3,15,37,11,26,51,18,33,13,5,8,5,3,2,2,1,1,,,
壮族,118,44,74,10,2,8,27,12,15,48,12,36,19,10,9,7,3,4,6,5,1,1,0,1
其他民族,562,250,312,61,18,43,186,73,113,177,88,89,84,39,45,33,21,12,19,11,8,2,0,2
