6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Levelofeducation-Levelofeducation,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-15-64yearsold-Numberofwomen,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Survived0-Survived0,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Survived1child-Survived1child,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Survived2children-Survived2children,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Survived3-Survived3,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Survived4-Survived4,6-9NumberofWomenAged15-64intheCountryClassifiedbyEducationalAttainmentandNumberofSurvivingChildren-Unit:Person-Survived5-andabove
Total,46789337,11336803,15824874,15446775,3267980,698525,214380
Never attended school,926652,82309,155697,393405,194835,68018,32388
Preschool education,31824,5347,6817,13004,4702,1391,563
Elementary school,7958864,455549,1984766,3872410,1218314,317375,110450
Junior Middle School,18219818,2394155,6324123,7648535,1522126,267625,63254
High School,8962313,3325518,3362552,1981582,250207,35633,6821
College (Associate Degree),5362227,2290275,2115714,893259,56136,6125,718
Bachelor's degree,4766962,2474901,1684595,584806,20295,2193,172
Master's degree students,507936,282301,170345,53913,1220,146,11
Doctoral degree students,52741,26448,20265,5861,145,19,3
