3-3人均国民总收入-GNIperCapita,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
资料来源：世界银行WDI数据库。,,,,,,,
Source: World Bank WDI Database.,,,,,,,
单位：美元,(USD),,,,,,
国家和地区,Country or Area,1990.0,2000.0,2005.0,2009.0,2010.0,2011.0
,,,,,,,
世    界,World,4080.0,5278.0,7104.0,8674.0,9067.0,9491.0
高收入国家,High Income,18375.0,25324.0,34000.0,37800.0,38765.0,39783.0
经合组织高收入国家,High Income: OECD,19059.0,26218.0,35292.0,39150.0,40142.0,41144.0
非经合组织高收入国家,High Income: nonOECD,8538.0,13895.0,18474.0,22890.0,23782.0,25372.0
中等收入国家,Middle Income,892.0,1252.0,1921.0,3349.0,3722.0,4125.0
中等偏下收入国家,Lower Middle Income,520.0,575.0,897.0,1462.0,1596.0,1760.0
中等偏上收入国家,Upper Middle Income,1207.0,1881.0,2912.0,5233.0,5865.0,6530.0
中低收入国家,Low and Middle Income,820.0,1127.0,1712.0,2959.0,3283.0,3631.0
东亚和太平洋,East Asia and Pacific,425.0,902.0,1617.0,3166.0,3670.0,4243.0
欧洲和中亚,Europe and Central Asia,,1780.0,3711.0,6851.0,7260.0,7610.0
拉丁美洲和加勒比,Latin America and Caribbean,2254.0,3817.0,4415.0,7023.0,7821.0,8544.0
中东和北非国家,Middle East and North Africa,1296.0,1645.0,2195.0,3679.0,3869.0,
南   亚,South Asia,377.0,442.0,692.0,1069.0,1167.0,1299.0
撒哈拉以南非洲,Sub-Saharan Africa,587.0,491.0,768.0,1132.0,1178.0,1255.0
低收入国家,Low Income,287.0,267.0,343.0,496.0,534.0,567.0
最不发达地区,Least Developed Countries,310.0,280.0,405.0,676.0,720.0,754.0
重债穷国,Heavily Indebted Poor Countries,358.0,291.0,401.0,634.0,668.0,694.0
中    国,China,330.0,930.0,1740.0,3620.0,4240.0,4940.0
中国香港,"Hong Kong, China",12660.0,26570.0,28150.0,31410.0,32780.0,35160.0
中国澳门,"Macao, China",8530.0,14640.0,23410.0,36000.0,45460.0,
阿 富 汗,Afghanistan,,,230.0,370.0,410.0,
阿尔巴尼亚,Albania,680.0,1170.0,2580.0,3970.0,3970.0,3980.0
阿尔及利亚,Algeria,2420.0,1600.0,2720.0,4470.0,4390.0,4470.0
安 哥 拉,Angola,740.0,420.0,1270.0,3880.0,3960.0,4060.0
安提瓜和巴布达,Antigua and Barbuda,5710.0,8490.0,12000.0,13500.0,12450.0,12060.0
阿 根 廷,Argentina,3180.0,7460.0,4480.0,7580.0,8620.0,9740.0
亚美尼亚,Armenia,,660.0,1470.0,3050.0,3200.0,3360.0
澳大利亚,Australia,17420.0,21260.0,30440.0,43860.0,46200.0,
奥 地 利,Austria,20080.0,26000.0,37210.0,46630.0,46920.0,48300.0
阿塞拜疆,Azerbaijan,,610.0,1270.0,4800.0,5380.0,5290.0
巴 哈 马,Bahamas,12000.0,20350.0,24410.0,23420.0,21970.0,
巴    林,Bahrain,7260.0,10940.0,17400.0,15880.0,15920.0,
孟加拉国,Bangladesh,290.0,380.0,480.0,640.0,700.0,770.0
巴巴多斯,Barbados,6570.0,9090.0,11000.0,12660.0,,
白俄罗斯,Belarus,,1380.0,2780.0,5590.0,5990.0,5830.0
比 利 时,Belgium,18960.0,25430.0,36610.0,44700.0,45780.0,46160.0
伯 利 兹,Belize,2210.0,3110.0,3580.0,3820.0,3640.0,3690.0
贝    宁,Benin,360.0,370.0,570.0,780.0,780.0,780.0
不    丹,Bhutan,580.0,720.0,1070.0,1710.0,1870.0,2070.0
玻利维亚,Bolivia,740.0,1000.0,1030.0,1640.0,1810.0,2040.0
波    黑,Bosnia and Herzegovinian,,1510.0,3020.0,4760.0,4740.0,4780.0
博茨瓦纳,Botswana,2540.0,3120.0,5070.0,6270.0,6750.0,7480.0
巴    西,Brazil,2700.0,3860.0,3960.0,8150.0,9540.0,10720.0
文    莱,Brunei Darussalam,12790.0,14960.0,23210.0,31800.0,,
保加利亚,Bulgaria,2260.0,1620.0,3640.0,6080.0,6320.0,6550.0
布基纳法索,Burkina Faso,310.0,230.0,390.0,520.0,550.0,570.0
布 隆 迪,Burundi,210.0,130.0,140.0,210.0,230.0,250.0
柬 埔 寨,Cambodia,,290.0,460.0,700.0,750.0,830.0
喀 麦 隆,Cameroon,910.0,630.0,930.0,1210.0,1200.0,1210.0
加 拿 大,Canada,20150.0,22130.0,33110.0,41890.0,43250.0,45560.0
佛 得 角,Cape Verde,960.0,1330.0,2080.0,3180.0,3280.0,3540.0
中    非,Central African Rep.,470.0,280.0,340.0,450.0,470.0,470.0
乍    得,Chad,260.0,180.0,430.0,650.0,710.0,690.0
智    利,Chile,2250.0,4840.0,5970.0,9970.0,10750.0,12280.0
哥伦比亚,Colombia,1260.0,2350.0,2940.0,5060.0,5520.0,6110.0
科 摩 罗,Comoros,530.0,380.0,610.0,740.0,750.0,770.0
刚果(金),"Congo, Dem. Rep.",230.0,90.0,120.0,170.0,180.0,190.0
刚果(布),"Congo, Rep.",910.0,560.0,980.0,1980.0,2240.0,2270.0
哥斯达黎加,Costa Rica,2340.0,3710.0,4680.0,6200.0,6860.0,7660.0
科特迪瓦,Cote D'Ivoire,740.0,650.0,870.0,1160.0,1170.0,1100.0
克罗地亚,Croatia,,5220.0,9690.0,13810.0,13890.0,13850.0
古    巴,Cuba,2660.0,2620.0,3960.0,,,
塞浦路斯,Cyprus,9510.0,13440.0,21490.0,29710.0,29450.0,
捷    克,Czech Rep.,,5800.0,11890.0,17860.0,18490.0,18520.0
丹    麦,Denmark,24120.0,31830.0,48590.0,58330.0,59410.0,60390.0
吉 布 提,Djibouti,,750.0,990.0,1270.0,,
多米尼克,Dominica,2300.0,3500.0,5210.0,6830.0,6900.0,7090.0
多米尼加,Dominican Rep.,870.0,2620.0,2900.0,4690.0,5020.0,5240.0
厄瓜多尔,Ecuador,900.0,1330.0,2620.0,3630.0,3850.0,4140.0
埃    及,Egypt,750.0,1440.0,1250.0,2160.0,2420.0,2600.0
萨尔瓦多,El Salvador,890.0,2110.0,2820.0,3310.0,3370.0,3480.0
赤道几内亚,Equatorial Guinea,330.0,1270.0,5220.0,16710.0,13720.0,14540.0
厄立特里亚,Eritrea,,170.0,250.0,290.0,340.0,430.0
爱沙尼亚,Estonia,3190.0,4220.0,9730.0,14360.0,14180.0,15200.0
埃塞俄比亚,Ethiopia,250.0,130.0,160.0,350.0,390.0,400.0
斐    济,Fiji,1790.0,2230.0,3590.0,3890.0,3610.0,3680.0
芬    兰,Finland,25220.0,25440.0,38550.0,46620.0,47460.0,48420.0
法    国,France,20160.0,24270.0,34850.0,42380.0,42190.0,42420.0
加    蓬,Gabon,4930.0,3080.0,5110.0,7620.0,7680.0,7980.0
冈 比 亚,Gambia,300.0,630.0,390.0,590.0,610.0,610.0
格鲁吉亚,Georgia,,750.0,1360.0,2540.0,2680.0,2860.0
德    国,Germany,20630.0,25300.0,34780.0,42400.0,42970.0,43980.0
加    纳,Ghana,400.0,340.0,460.0,1190.0,1250.0,1410.0
希    腊,Greece,8590.0,12460.0,21400.0,28020.0,26890.0,25030.0
格 陵 兰,Greenland,15690.0,20290.0,29690.0,26020.0,,
格林纳达,Grenada,2250.0,4150.0,6570.0,6910.0,7010.0,7220.0
危地马拉,Guatemala,950.0,1730.0,2070.0,2660.0,2740.0,2870.0
几 内 亚,Guinea,450.0,400.0,420.0,380.0,390.0,440.0
几内亚比绍,Guinea-Bissau,220.0,180.0,410.0,550.0,580.0,600.0
圭 亚 那,Guyana,390.0,890.0,1090.0,2640.0,2900.0,
海    地,Haiti,350.0,470.0,400.0,670.0,650.0,700.0
洪都拉斯,Honduras,700.0,940.0,1400.0,1780.0,1870.0,1970.0
匈 牙 利,Hungary,2880.0,4580.0,10220.0,12980.0,12860.0,12730.0
冰    岛,Iceland,24150.0,30800.0,49620.0,39140.0,33890.0,35020.0
印    度,India,390.0,450.0,730.0,1150.0,1260.0,1410.0
印度尼西亚,Indonesia,600.0,560.0,1220.0,2160.0,2500.0,2940.0
伊    朗,Iran,2450.0,1630.0,2550.0,4520.0,,
伊 拉 克,Iraq,,,,2310.0,2380.0,2640.0
爱 尔 兰,Ireland,12200.0,23480.0,42380.0,44870.0,41720.0,38580.0
以 色 列,Israel,10860.0,17830.0,20180.0,25510.0,27270.0,28930.0
意 大 利,Italy,17900.0,21010.0,30880.0,35570.0,35530.0,35330.0
牙 买 加,Jamaica,1790.0,3310.0,3920.0,4610.0,4700.0,4980.0
日    本,Japan,27090.0,35040.0,39140.0,37580.0,42050.0,45180.0
约    旦,Jordan,1390.0,1790.0,2490.0,3900.0,4140.0,4380.0
哈萨克斯坦,Kazakhstan,,1260.0,2950.0,6780.0,7500.0,8220.0
肯 尼 亚,Kenya,380.0,420.0,520.0,780.0,810.0,820.0
基里巴斯,Kiribati,730.0,1380.0,1780.0,1840.0,2010.0,2110.0
韩    国,"Korea, Rep.",6000.0,9910.0,16900.0,19650.0,19720.0,20870.0
科 威 特,Kuwait,,18950.0,34650.0,48980.0,48900.0,
吉尔吉斯斯坦,Kyrgyzstan,,280.0,450.0,860.0,840.0,920.0
