7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.1,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.2,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.3,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.4,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.5,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.6,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.7,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.8
"年 份


Year","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption"
"年 份


Year","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源生产弹性系数
Elasticity Ratio of Energy Production","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption","能源消费弹性系数
Elasticity Ratio of Energy Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
