PlasticSteelDoorandWindowProjectQuotationTable-ProjectName:ChongqingYouyangZhonglingAgriculturalProductsMarketPhaseIIProject-SerialNumber,PlasticSteelDoorandWindowProjectQuotationTable-ProfileBrand,PlasticSteelDoorandWindowProjectQuotationTable-Specification,PlasticSteelDoorandWindowProjectQuotationTable-Grade,PlasticSteelDoorandWindowProjectQuotationTable-Unit,PlasticSteelDoorandWindowProjectQuotationTable-Usage(/㎡),PlasticSteelDoorandWindowProjectQuotationTable-Unit(RMB),PlasticSteelDoorandWindowProjectQuotationTable-Total(RMB)
1,"Haojie, Hongli, Kemeite",White 60 Series,Above the winning bid grade,kg,6.6,8.9,58.74
2,Auxiliary materials,"strip, end cap, splicing plate",Above the winning bid grade,kg,1.26,8.9,11.21
3,Profile material loss,,,kg,0.2,8.9,1.78
5,"Steel Reinforcement (Panlong, Haojie Matching Series)",Wall thickness 15mm,Qualified product,kg,4.6,6.2,28.52
6,Float hollow glass,5+9A+5 (Safety Glass),Qualified product,㎡,0.9,95.0,85.5
7,"Handle (Huahong, Lihui)",,Qualified product,㎡,0.2,3.6,0.72
8,"Moon牙 Lock (Note: ""月牙锁"" directly translates to ""Moon牙 Lock,"" but it might refer to a specific type of lock known as a ""moon lock"" or ""half-moon lock"" in English. If this is a technical term in the context of window/door hardware, it could be translated as ""half-moon lock."")",,Qualified product,㎡,0.3,2.6,0.78
9,"door hinge, window hinge",,First-grade product,㎡,0.2,5.0,1.0
10,Double pulley,,Qualified product,㎡,1.0,0.81,0.81
11,Foaming Agent (Yifeng),,Qualified product,piece,0.2,16.0,3.2
12,Sealant (Jiayuan),,Qualified product,piece,0.3,6.0,1.8
13,"Sealing strip, Wool strip (Produced in Chengdu or Chongqing)",,Qualified product,㎡,,,3.0
14,"Galvanized connecting sheet, lightning protection sheet",,Qualified product,㎡,,,1.0
15,"Self-tapping screws, shot nails, shot cartridges",,Qualified product,㎡,,,2.0
16,All material packaging and transportation costs,,,㎡,1.0,10.0,10.0
17,Glass transportation and installation loss,,,㎡,1.0,1.0,1.0
18,Secondary Transportation Fee,,,㎡,1.0,1.0,1.0
20,Fabrication and Installation Cost,,,㎡,1.0,26.2,26.2
21,Machinery Wear and On-site Temporary Facilities Fee,,,㎡,1.0,1.0,1.0
22,Safety and Civilization Construction Fee,,,,1.0,2.8,2.8
23,Total Material Cost,Total Material Cost,Total Material Cost,Total Material Cost,Total Material Cost,Total Material Cost,242.06
24,Management fee and profit = 12% × material cost,Management fee and profit = 12% × material cost,Management fee and profit = 12% × material cost,Management fee and profit = 12% × material cost,Management fee and profit = 12% × material cost,Management fee and profit = 12% × material cost,29.05
Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,Bill of quantities (excluding taxes and fees) including the cost of capital occupation for 5 months after initial acceptance of completion,271.11
Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.,Note: Safety glass shall be used at locations where safety glass installation is required by national standards.
Quotation Unit: Zhu Dewu,,Contact Number: 13709495448,,,,,
