1-1-79全国按九大农区和从业时间分的农业生产经营单位农业从业人员数量-名称,年末从业人员数(人),从业6个月以上人员数(人),Unnamed: 3,其他从业人员从业时间,Unnamed: 5
,,,女工,"从业总时间
(天)","从业折算时间
(人.年)"
,,,,,
,,,,,
合  计,6746768.0,5846672.0,1855209,178951137,596504
东北,1503418.0,1281088.0,425343,38223759,127413
长城沿线,170285.0,155019.0,47039,3454516,11515
黄淮海,881374.0,767361.0,243739,17927057,59757
黄土高原,276846.0,245812.0,78571,7532229,25107
长江中下游,1811742.0,1522691.0,418749,51495849,171653
西南,508387.0,442421.0,139245,16310425,54368
华南,1211043.0,1097494.0,392867,30597282,101991
甘新,337057.0,290717.0,97426,12012726,40042
青藏,46616.0,44069.0,13522,1397294,4658
