8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-指标名称,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-1月份,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-2月份,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-3月份,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-4月份,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-5月份,8-3 分月份居民消费价格指数-（以2022年同月份价位为100）-6月份
居民消费价格总指数,100,100,101,102,101,102
食品烟酒,98,99,100,102,101,103
粮食,103,103,104,106,109,107
鲜菜,95,101,122,127,107,94
畜肉,75,75,74,80,88,95
水产品,114,106,106,98,90,89
蛋类,104,105,110,114,116,108
鲜果,114,116,120,136,129,141
衣着,101,99,99,99,100,100
居住,100,100,100,100,98,100
生活用品及服务,99,100,100,101,101,102
交通和通信,105,105,105,106,106,108
教育文化和娱乐,102,101,102,101,101,101
医疗保健,100,100,100,100,100,100
其他用品和服务,102,100,102,103,103,102
,,,,,,
8-3续,8-3续,8-3续,8-3续,8-3续,8-3续,8-3续
指标名称,7月份,8月份,9月份,10月份,11月份,12月份
居民消费价格总指数,103,102,103,103,102,103
食品烟酒,106,105,106,107,106,107
粮食,108,103,105,102,104,102
鲜菜,111,100,113,101,86,97
畜肉,108,113,118,123,118,115
水产品,93,95,98,98,106,106
蛋类,108,105,105,108,108,112
鲜果,138,129,112,114,117,117
衣着,101,100,100,101,103,102
居住,100,100,100,100,100,100
生活用品及服务,101,102,101,102,102,102
交通和通信,106,105,104,102,101,102
教育文化和娱乐,101,101,101,101,101,101
医疗保健,100,100,100,100,100,100
其他用品和服务,101,102,101,102,102,102
