HomeRenovationBudgetTemplate-Budget,HomeRenovationBudgetTemplate-ActualTotal,HomeRenovationBudgetTemplate-Number,HomeRenovationBudgetTemplate-BudgetCategory,HomeRenovationBudgetTemplate-RenovationSteps(NumbersRepresenttheOrder),HomeRenovationBudgetTemplate-UnitPrice(Yuan),HomeRenovationBudgetTemplate-Discount,HomeRenovationBudgetTemplate-DiscountedPrice(Yuan),HomeRenovationBudgetTemplate-Quantity,HomeRenovationBudgetTemplate-Unit,HomeRenovationBudgetTemplate-Subtotal(Yuan)
Budget,Actual Total,Number,Budget Category,Renovation Steps (Numbers Represent the Order),"Unit Price
(Yuan)",Discount,"Discounted Price
(Yuan)",Quantity,Unit,"Subtotal
(Yuan)"
"￥10,000","￥10,600",1,Basic renovation labor force,"1 Handle the commencement procedures (gas modification)  
2 Self-measurement 3 Preliminary design 4 Main structure demolition and renovation",,,,,,
,,Main Structure Demolition and Renovation,Interior Design,Preliminary Design,100,1,100,100,item,10000
,,Main Structure Demolition and Renovation,Enclosed Balcony,,100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Mason,"Wall building (living room, balcony), tile laying, stone processing, bathroom waterproofing",100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Carpentry,Balcony Wall Cabinet,100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Oil worker,Balcony Wall Cabinet,100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Water and electricity,Water and electricity renovation,100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Big White,,100,1,100,1,item,100
,,Main Structure Demolition and Renovation,Gas modification,,,1,0,1,item,0
,,Main Structure Demolition and Renovation,Subtotal,,,,,,,10600
"￥5,000","￥4,050",2,Sliding Door for Wooden Door,5 Manufacturer's on-site measurement,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door
,,Door Manufacturer Measurement,Wooden door,"3 bedroom doors (including door frames, hinges, and locks)",100,1,90,3,Boring,270
,,Door Manufacturer Measurement,Glass door,Two bathroom doors,100,1,90,2,Boring,180
,,Door Manufacturer Measurement,door frame molding,"Combined with sliding doors, entrance door frame",100,1,90,10,Linear meter,900
,,Door Manufacturer Measurement,Window Sill Trim,Window Molding (Excluding Sanitary Ware),100,1,100,8,Linear meter,800
,,Door Manufacturer Measurement,Sliding door,,100,1,100,1,Linear meter,100
,,Door Manufacturer Measurement,windowsill,Quartz Stone Countertop,100,1,100,18,Linear meter,1800
