山东省1978-2023年人民币对主要外币年平均汇价(中间价)-AverageExchangeRateofRMBYuanAgainstMainConvertibleCurrenciesfrom1978to2023(MiddleRate),山东省1978-2023年人民币对主要外币年平均汇价(中间价)-AverageExchangeRateofRMBYuanAgainstMainConvertibleCurrenciesfrom1978to2023(MiddleRate).1,山东省1978-2023年人民币对主要外币年平均汇价(中间价)-AverageExchangeRateofRMBYuanAgainstMainConvertibleCurrenciesfrom1978to2023(MiddleRate).2,山东省1978-2023年人民币对主要外币年平均汇价(中间价)-AverageExchangeRateofRMBYuanAgainstMainConvertibleCurrenciesfrom1978to2023(MiddleRate).3,山东省1978-2023年人民币对主要外币年平均汇价(中间价)-AverageExchangeRateofRMBYuanAgainstMainConvertibleCurrenciesfrom1978to2023(MiddleRate).4
,,,,
单位:人民币元,,,,(RMB yuan)
"年  份
Year","100美元
100 US Dollars","100日元
100 Japanese Yen","100港元
100 Hong Kong Dollars","100欧元 
100Euros"
"年  份
Year","100美元
100 US Dollars","100日元
100 Japanese Yen","100港元
100 Hong Kong Dollars","100欧元 
100Euros"
"年  份
Year","100美元
100 US Dollars","100日元
100 Japanese Yen","100港元
100 Hong Kong Dollars","100欧元 
100Euros"
,,,,
1978,168,1,36,
1979,155,1,31,
1980,150,1,30,
1981,171,1,30,
1982,189,1,31,
1983,198,1,27,
1984,233,1,30,
1985,294,1,38,
1986,345,2,44,
1987,372,3,48,
1988,372,3,48,
1989,377,3,48,
1990,478,3,61,
1991,532,4,68,
1992,551,4,71,
1993,576,5,74,
1994,862,8,112,
1995,835,9,108,
1996,831,8,108,
1997,829,7,107,
1998,828,6,107,
1999,828,7,107,
2000,828,8,106,
2001,828,7,106,
2002,828,7,106,801
2003,828,7,106,936
2004,828,8,106,1029
2005,819,7,105,1020
2006,797,7,103,1002
2007,760,6,97,1042
2008,695,7,89,1022
2009,683,7,88,953
2010,677,8,87,897
2011,646,8,83,900
2012,631,8,81,811
2013,619,6,80,822
2014,614,6,79,817
2015,623,5,80,691
2016,664,6,86,734
2017,675,6,87,763
2018,662,6,84,780
2019,690,6,88,773
2020,690,6,89,788
2021,645,6,83,763
2022,673,5,86,707
2023,705,5,90,764
