表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-地区别,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-15-64岁妇女人数,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-存活0个,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-存活1个,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-存活2个,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-存活3个,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-存活4个,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-单位：人-存活5个及以上,表8-5湖南省各地区按存活子女数分的15-64岁妇女人数-单位：人-平均每个妇女存活子女数
湖南省,221839,47619,61255,70051,29410,9991,3513,2
长沙市,23807,6056,8738,6022,2142,641,208,1
株洲市,13307,2869,4206,4074,1526,475,157,1
湘潭市,11453,2324,4066,3438,1230,313,82,1
衡阳市,23288,4961,5213,8750,3233,900,231,2
邵阳市,23527,5495,4762,7789,3680,1333,468,2
岳阳市,17779,3731,5154,5601,2192,777,324,2
常德市,18578,2873,7869,5332,1690,604,210,1
张家界市,5052,906,1302,1997,628,169,50,2
益阳市,14170,2812,3706,5046,1802,591,213,2
郴州市,17643,4162,4139,5166,2747,1004,425,2
永州市,15935,3611,3358,5160,2616,899,291,2
怀化市,16280,3507,4288,5138,2201,842,304,2
娄底市,12784,2791,3087,3900,2034,720,252,2
湘西土家族苗族自治州,8236,1521,1367,2638,1689,723,298,2
