地区,英文州名,累计确诊,治愈,死亡
阿肯色州,Arkansas,534590,518236,8776
阿拉斯加州,Alaska,147103,117486,853
爱达荷州,Idaho,310010,135021,3995
爱荷华州,Iowa,570581,486466,7445
北达科他州,North Dakota,165375,160456,1928
北卡罗来纳州,North Carolina,1555216,1503247,18880
宾夕法尼亚州,Pennsylvania,1791030,1756923,34107
波多黎各,Puerto Rico,188904,150013,3274
得克萨斯州,Texas,4361383,4231854,74686
俄亥俄州,Ohio,1743801,1594843,27011
俄克拉何马州,Oklahoma,675733,653699,11272
俄勒冈州,Oregon,397421,353384,5299
弗吉尼亚州,Virginia,985296,970498,14798
佛罗里达州,Florida,3751247,3585019,61789
佛蒙特州,Vermont,53431,43123,419
华盛顿哥伦比亚特区,District of Columbia,67996,66799,1197
华盛顿州,Washington,789394,331418,9522
怀俄明州,Wyoming,112368,109550,1472
加利福尼亚州,California,5004337,4929126,75211
堪萨斯州,Kansas,477789,429250,6743
康涅狄格州,Connecticut,432675,395309,8909
科罗拉多州,Colorado,846892,623031,9755
肯塔基州,Kentucky,802417,791069,11348
路易斯安那州,Louisiana,774181,759337,14844
罗得岛州,Rhode island,198036,195087,2949
马里兰州,Maryland,592679,581424,11255
马萨诸塞州,Massachusetts,951969,932402,19567
蒙大拿州,Montana,193005,186962,2777
密苏里州,Missouri,926310,769499,15535
密西西比州,Mississippi,517138,501212,10306
密歇根州,Michigan,1535147,1126184,26239
缅因州,Maine,124098,122750,1348
明尼苏达州,Minnesota,934423,899486,9823
南达科他州,South dakota,169789,159767,2375
南卡罗来纳州,South carolina,925629,860505,14318
内布拉斯加州,Nebraska,317450,314248,3202
内华达州,Nevada,475460,434632,8126
纽约州,New York,2886449,2386604,58467
特拉华州,Delaware,157175,144013,2203
田纳西州,Tennessee,1329496,1293753,17650
威斯康星州,Wisconsin,997688,987554,10134
西弗吉尼亚州,West Virginia,302120,288850,5021
新罕布什尔州,New hampshire,170080,158999,1757
新墨西哥州,New mexico,325272,274839,5430
新泽西州,New jersey,1279667,1147763,28494
亚拉巴马州,Alabama,849409,833210,16199
亚利桑那州,Arizona,1298091,1172894,22761
伊利诺伊州,Illinois,1861254,1676694,29710
印第安纳州,Indiana,1134898,1025797,17829
犹他州,Utah,606531,573227,3606
佐治亚州,Georgia,1673082,1468405,30724
