表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-年龄-年龄,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-合计,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-合计,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女数占活产子女数的百分比-存活子女数占活产子女数的百分比,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人，%-妇女平均活产子女数-妇女平均活产子女数,表8-6湖南省按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人，%-妇女平均存活子女数-妇女平均存活子女数
总计,221839,357591,190118,167473,348020,184838,163182,97,2,2
15-19,27040,92,54,38,92,54,38,100,0,0
15,7256,0,0,0,0,0,0,0,0,0
16,6495,2,0,2,2,0,2,100,0,0
17,5187,6,2,4,6,2,4,100,0,0
18,4721,30,21,9,30,21,9,100,0,0
19,3381,54,31,23,54,31,23,100,0,0
20-24,18199,5703,3167,2536,5641,3129,2512,99,0,0
20,3230,270,156,114,266,153,113,99,0,0
21,3374,639,343,296,634,342,292,99,0,0
22,3608,1132,629,503,1114,616,498,98,0,0
23,4454,1815,1011,804,1800,1000,800,99,0,0
24,3533,1847,1028,819,1827,1018,809,99,1,1
25-29,18037,16713,9194,7519,16522,9090,7432,99,1,1
25,3440,2330,1304,1026,2303,1290,1013,99,1,1
26,3686,2985,1639,1346,2950,1621,1329,99,1,1
27,3477,3203,1751,1452,3172,1734,1438,99,1,1
28,3363,3483,1915,1568,3442,1892,1550,99,1,1
29,4071,4712,2585,2127,4655,2553,2102,99,1,1
30-34,25365,34502,19109,15393,34062,18861,15201,99,1,1
30,4602,5648,3086,2562,5579,3048,2531,99,1,1
31,5151,6698,3722,2976,6608,3670,2938,99,1,1
32,5001,6866,3825,3041,6786,3781,3005,99,1,1
33,5328,7529,4161,3368,7439,4111,3328,99,1,1
34,5283,7761,4315,3446,7650,4251,3399,99,1,1
35-39,31979,52778,28406,24372,51963,27964,23999,98,2,2
35,6437,9752,5381,4371,9597,5288,4309,98,2,1
36,6326,10054,5494,4560,9904,5403,4501,99,2,2
37,7483,12257,6578,5679,12070,6486,5584,98,2,2
38,5478,9432,4985,4447,9299,4916,4383,99,2,2
39,6255,11283,5968,5315,11093,5871,5222,98,2,2
40-44,28326,55561,29020,26541,54577,28466,26111,98,2,2
40,6737,12619,6648,5971,12400,6527,5873,98,2,2
41,6454,12617,6558,6059,12409,6443,5966,98,2,2
42,7638,15149,7970,7179,14883,7811,7072,98,2,2
43,5485,11185,5801,5384,10966,5679,5287,98,2,2
44,2012,3991,2043,1948,3919,2006,1913,98,2,2
45-49,20328,43589,22743,20846,42621,22219,20402,98,2,2
45,3307,6693,3513,3180,6545,3435,3110,98,2,2
46,2938,6169,3238,2931,6027,3158,2869,98,2,2
47,4268,9232,4775,4457,9035,4677,4358,98,2,2
48,5130,11154,5801,5353,10908,5665,5243,98,2,2
49,4685,10341,5416,4925,10106,5284,4822,98,2,2
50-54,23156,56558,29807,26751,54788,28834,25954,97,2,2
50,4786,10969,5724,5245,10682,5562,5120,97,2,2
51,4883,11547,5973,5574,11184,5788,5396,97,2,2
52,4777,11678,6173,5505,11283,5957,5326,97,2,2
53,4881,12332,6640,5692,11960,6423,5537,97,3,2
54,3829,10032,5297,4735,9679,5104,4575,96,3,3
55-59,17437,50905,26924,23981,48818,25767,23051,96,3,3
55,3928,10512,5643,4869,10159,5441,4718,97,3,3
56,3917,11209,5917,5292,10717,5645,5072,96,3,3
57,3391,10115,5334,4781,9685,5103,4582,96,3,3
58,3352,10126,5277,4849,9706,5051,4655,96,3,3
59,2849,8943,4753,4190,8551,4527,4024,96,3,3
60-64,11972,41190,21694,19496,38936,20454,18482,95,3,3
60,2535,8323,4458,3865,7920,4255,3665,95,3,3
61,2528,8622,4505,4117,8192,4264,3928,95,3,3
62,2386,8181,4327,3854,7726,4070,3656,94,3,3
63,2225,7932,4091,3841,7465,3825,3640,94,4,3
64,2298,8132,4313,3819,7633,4040,3593,94,4,3
