表6-1湖南省分年龄、性别、婚姻状况的人口-年龄别-年龄别,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-男,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-女,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-男,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-女,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-女,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-女,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-男,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-女,表6-1湖南省分年龄、性别、婚姻状况的人口-丧偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-单位：人-丧偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-单位：人-丧偶-女
总计,511341,257049,254292,102403,61553,40850,359004,176253,182751,11990.0,5421.0,6569.0,4974.0,3216.0,1758.0,32970.0,10606.0,22364.0
15-19,57276,30236,27040,57090,30209,26881,180,22,158,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0
15,15242,7986,7256,15240,7984,7256,1,1,0,,,,,,,1.0,1.0,0.0
16,13666,7171,6495,13664,7171,6493,2,0,2,,,,,,,,,
17,11062,5875,5187,11042,5869,5173,19,5,14,,,,1.0,1.0,0.0,,,
18,10070,5349,4721,10009,5341,4668,58,6,52,2.0,1.0,1.0,,,,1.0,1.0,0.0
19,7236,3855,3381,7135,3844,3291,100,10,90,,,,,,,1.0,1.0,0.0
20-24,35047,16848,18199,25434,14750,10684,9541,2080,7461,27.0,1.0,26.0,33.0,15.0,18.0,12.0,2.0,10.0
20,6507,3277,3230,5973,3235,2738,532,41,491,,,,1.0,1.0,0.0,1.0,0.0,1.0
21,6595,3221,3374,5518,3145,2373,1068,72,996,2.0,0.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0
22,6844,3236,3608,5063,2937,2126,1767,296,1471,6.0,1.0,5.0,6.0,2.0,4.0,2.0,0.0,2.0
23,8377,3923,4454,5318,3190,2128,3041,728,2313,5.0,0.0,5.0,9.0,4.0,5.0,4.0,1.0,3.0
24,6724,3191,3533,3562,2243,1319,3133,943,2190,14.0,0.0,14.0,12.0,5.0,7.0,3.0,0.0,3.0
25-29,34864,16827,18037,9014,6617,2397,25401,10038,15363,166.0,41.0,125.0,238.0,120.0,118.0,45.0,11.0,34.0
25,6579,3139,3440,2768,1904,864,3769,1222,2547,15.0,4.0,11.0,24.0,9.0,15.0,3.0,0.0,3.0
26,7044,3358,3686,2223,1580,643,4757,1755,3002,25.0,6.0,19.0,33.0,16.0,17.0,6.0,1.0,5.0
27,6748,3271,3477,1639,1217,422,5033,2025,3008,23.0,9.0,14.0,43.0,19.0,24.0,10.0,1.0,9.0
28,6572,3209,3363,1291,1022,269,5186,2154,3032,36.0,5.0,31.0,48.0,24.0,24.0,11.0,4.0,7.0
29,7921,3850,4071,1093,894,199,6656,2882,3774,67.0,17.0,50.0,90.0,52.0,38.0,15.0,5.0,10.0
30-34,50028,24663,25365,3913,3394,519,44597,20591,24006,709.0,230.0,479.0,613.0,371.0,242.0,196.0,77.0,119.0
30,9052,4450,4602,1025,859,166,7819,3499,4320,87.0,30.0,57.0,93.0,52.0,41.0,28.0,10.0,18.0
31,10025,4874,5151,918,781,137,8846,3979,4867,113.0,40.0,73.0,109.0,60.0,49.0,39.0,14.0,25.0
32,9937,4936,5001,753,659,94,8886,4145,4741,146.0,44.0,102.0,114.0,75.0,39.0,38.0,13.0,25.0
33,10388,5060,5328,650,583,67,9405,4340,5065,169.0,49.0,120.0,130.0,74.0,56.0,34.0,14.0,20.0
34,10626,5343,5283,567,512,55,9641,4628,5013,194.0,67.0,127.0,167.0,110.0,57.0,57.0,26.0,31.0
35-39,63214,31235,31979,2035,1887,148,58082,27889,30193,1542.0,589.0,953.0,1020.0,656.0,364.0,535.0,214.0,321.0
35,12579,6142,6437,547,497,50,11499,5395,6104,257.0,83.0,174.0,204.0,137.0,67.0,72.0,30.0,42.0
36,12365,6039,6326,405,381,24,11388,5391,5997,279.0,102.0,177.0,196.0,120.0,76.0,97.0,45.0,52.0
37,14868,7385,7483,456,423,33,13676,6617,7059,380.0,144.0,236.0,247.0,158.0,89.0,109.0,43.0,66.0
38,10872,5394,5478,298,284,14,10021,4865,5156,273.0,102.0,171.0,171.0,109.0,62.0,109.0,34.0,75.0
39,12530,6275,6255,329,302,27,11498,5621,5877,353.0,158.0,195.0,202.0,132.0,70.0,148.0,62.0,86.0
40-44,56653,28327,28326,1107,1036,71,52065,25673,26392,1686.0,704.0,982.0,989.0,603.0,386.0,806.0,311.0,495.0
