日期,开始时间,结束时间,站点名,线路名,进站量,出站量
45065,45065,45065,环球度假区,1&八通线,2.0,0.0
45065,45065,45065,九棵树,1&八通线,0.0,15.0
45065,45065,45065,通州北苑,1&八通线,4.0,25.0
45065,45065,45065,八里桥,1&八通线,2.0,0.0
45065,45065,45065,传媒大学,1&八通线,0.0,0.0
45065,45065,45065,四惠东,1&八通线,0.0,36.0
45065,45065,45065,四惠,1&八通线,0.0,6.0
45065,45065,45065,国贸,1&八通线,7.0,4.0
45065,45065,45065,建国门,1&八通线,6.0,4.0
45065,45065,45065,东单,1&八通线,0.0,0.0
45065,45065,45065,王府井,1&八通线,0.0,0.0
45065,45065,45065,天安门东,1&八通线,1.0,1.0
45065,45065,45065,西单,1&八通线,1.0,2.0
45065,45065,45065,复兴门,1&八通线,0.0,0.0
45065,45065,45065,南礼士路,1&八通线,5.0,3.0
45065,45065,45065,公主坟,1&八通线,2.0,3.0
45065,45065,45065,万寿路,1&八通线,0.0,3.0
45065,45065,45065,五棵松,1&八通线,5.0,8.0
45065,45065,45065,玉泉路,1&八通线,3.0,6.0
45065,45065,45065,八宝山,1&八通线,0.0,18.0
45065,45065,45065,鼓楼大街,2号线,0.0,3.0
45065,45065,45065,安定门,2号线,2.0,0.0
45065,45065,45065,雍和宫,2号线,0.0,3.0
45065,45065,45065,东直门,2号线,0.0,3.0
45065,45065,45065,东四十条,2号线,0.0,0.0
45065,45065,45065,建国门,2号线,0.0,1.0
45065,45065,45065,北京站,2号线,0.0,0.0
45065,45065,45065,崇文门,2号线,0.0,0.0
45065,45065,45065,前门,2号线,0.0,0.0
45065,45065,45065,和平门,2号线,2.0,2.0
45065,45065,45065,复兴门,2号线,0.0,0.0
45065,45065,45065,车公庄,2号线,1.0,0.0
45065,45065,45065,西直门,2号线,0.0,3.0
45065,45065,45065,天通苑北,5号线,2.0,19.0
45065,45065,45065,天通苑,5号线,0.0,23.0
45065,45065,45065,立水桥,5号线,3.0,6.0
45065,45065,45065,立水桥南,5号线,0.0,0.0
45065,45065,45065,北苑路北,5号线,0.0,0.0
45065,45065,45065,大屯路东,5号线,0.0,0.0
45065,45065,45065,惠新西街南口,5号线,1.0,8.0
45065,45065,45065,和平西桥,5号线,0.0,3.0
45065,45065,45065,和平里北街,5号线,0.0,3.0
45065,45065,45065,雍和宫,5号线,3.0,0.0
45065,45065,45065,北新桥,5号线,0.0,1.0
45065,45065,45065,东四,5号线,0.0,0.0
45065,45065,45065,东单,5号线,1.0,0.0
45065,45065,45065,崇文门,5号线,1.0,0.0
45065,45065,45065,蒲黄榆,5号线,0.0,0.0
45065,45065,45065,刘家窑,5号线,2.0,0.0
45065,45065,45065,潞城,6号线,0.0,0.0
45065,45065,45065,东夏园,6号线,1.0,0.0
45065,45065,45065,郝家府,6号线,0.0,1.0
45065,45065,45065,北运河西,6号线,0.0,0.0
45065,45065,45065,通州北关,6号线,3.0,3.0
45065,45065,45065,黄渠,6号线,1.0,17.0
45065,45065,45065,褡裢坡,6号线,2.0,14.0
45065,45065,45065,十里堡,6号线,0.0,9.0
45065,45065,45065,金台路,6号线,4.0,6.0
45065,45065,45065,东四,6号线,1.0,6.0
45065,45065,45065,南锣鼓巷,6号线,5.0,7.0
45065,45065,45065,北海北,6号线,1.0,3.0
45065,45065,45065,平安里,6号线,0.0,8.0
45065,45065,45065,车公庄,6号线,1.0,7.0
45065,45065,45065,白石桥南,6号线,0.0,1.0
45065,45065,45065,廖公庄,6号线,0.0,7.0
45065,45065,45065,环球度假区,7号线,0.0,0.0
45065,45065,45065,群芳,7号线,1.0,8.0
45065,45065,45065,郎辛庄,7号线,1.0,6.0
45065,45065,45065,双合,7号线,0.0,1.0
45065,45065,45065,欢乐谷景区,7号线,0.0,1.0
45065,45065,45065,大郊亭,7号线,1.0,0.0
45065,45065,45065,广渠门外,7号线,0.0,0.0
45065,45065,45065,广渠门内,7号线,0.0,3.0
45065,45065,45065,桥湾,7号线,1.0,2.0
45065,45065,45065,珠市口,7号线,3.0,2.0
45065,45065,45065,虎坊桥,7号线,0.0,2.0
45065,45065,45065,广安门内,7号线,0.0,5.0
45065,45065,45065,达官营,7号线,0.0,8.0
45065,45065,45065,北京西站,7号线,1.0,3.0
45065,45065,45065,平西府,8号线,2.0,25.0
45065,45065,45065,回龙观东大街,8号线,0.0,26.0
45065,45065,45065,育新,8号线,0.0,21.0
45065,45065,45065,西小口,8号线,5.0,13.0
45065,45065,45065,永泰庄,8号线,2.0,7.0
45065,45065,45065,森林公园南门,8号线,0.0,4.0
45065,45065,45065,奥林匹克公园,8号线,0.0,8.0
45065,45065,45065,北土城,8号线,0.0,0.0
45065,45065,45065,安华桥,8号线,3.0,0.0
45065,45065,45065,鼓楼大街,8号线,1.0,0.0
45065,45065,45065,什刹海,8号线,0.0,3.0
45065,45065,45065,南锣鼓巷,8号线,1.0,1.0
45065,45065,45065,中国美术馆,8号线,0.0,3.0
45065,45065,45065,金鱼胡同,8号线,0.0,0.0
45065,45065,45065,王府井,8号线,0.0,1.0
45065,45065,45065,前门,8号线,3.0,2.0
45065,45065,45065,珠市口,8号线,1.0,0.0
45065,45065,45065,天桥,8号线,0.0,2.0
45065,45065,45065,永定门外,8号线,0.0,0.0
45065,45065,45065,和义,8号线,0.0,2.0
45065,45065,45065,东高地,8号线,,0.0
45065,45065,45065,火箭万源,8号线,1.0,4.0
45065,45065,45065,瀛海,8号线,0.0,6.0
45065,45065,45065,国家图书馆,9&房山线,2.0,0.0
45065,45065,45065,白石桥南,9&房山线,0.0,2.0
45065,45065,45065,北京西站,9&房山线,0.0,2.0
45065,45065,45065,六里桥东,9&房山线,0.0,2.0
45065,45065,45065,丰台东大街,9&房山线,0.0,2.0
45065,45065,45065,丰台南路,9&房山线,1.0,3.0
45065,45065,45065,海淀黄庄,10号线,4.0,7.0
45065,45065,45065,西土城,10号线,0.0,8.0
45065,45065,45065,牡丹园,10号线,0.0,7.0
45065,45065,45065,健德门,10号线,0.0,2.0
45065,45065,45065,北土城,10号线,0.0,1.0
45065,45065,45065,惠新西街南口,10号线,3.0,3.0
45065,45065,45065,三元桥,10号线,3.0,2.0
45065,45065,45065,亮马桥,10号线,2.0,2.0
45065,45065,45065,农业展览馆,10号线,0.0,0.0
45065,45065,45065,团结湖,10号线,0.0,2.0
45065,45065,45065,金台夕照,10号线,1.0,0.0
45065,45065,45065,国贸,10号线,0.0,0.0
45065,45065,45065,十里河,10号线,1.0,0.0
45065,45065,45065,分钟寺,10号线,0.0,2.0
45065,45065,45065,成寿寺,10号线,0.0,0.0
45065,45065,45065,大红门,10号线,3.0,0.0
45065,45065,45065,角门东,10号线,1.0,0.0
45065,45065,45065,角门西,10号线,2.0,3.0
45065,45065,45065,纪家庙,10号线,1.0,0.0
45065,45065,45065,首经贸,10号线,3.0,0.0
45065,45065,45065,泥洼,10号线,3.0,1.0
45065,45065,45065,公主坟,10号线,0.0,0.0
45065,45065,45065,西钓鱼台,10号线,0.0,3.0
45065,45065,45065,车道沟,10号线,2.0,14.0
45065,45065,45065,巴沟,10号线,2.0,10.0
45065,45065,45065,西直门,13号线,2.0,2.0
45065,45065,45065,大钟寺,13号线,1.0,1.0
45065,45065,45065,清河,13号线,1.0,13.0
45065,45065,45065,西二旗,13号线,3.0,0.0
45065,45065,45065,回龙观,13号线,5.0,32.0
45065,45065,45065,立水桥,13号线,0.0,3.0
45065,45065,45065,望京西,13号线,0.0,3.0
45065,45065,45065,光熙门,13号线,3.0,2.0
45065,45065,45065,东直门,13号线,0.0,1.0
45065,45065,45065,俸伯,15号线,0.0,30.0
45065,45065,45065,南法信,15号线,0.0,21.0
45065,45065,45065,后沙峪,15号线,0.0,18.0
45065,45065,45065,国展,15号线,1.0,2.0
45065,45065,45065,马泉营,15号线,0.0,3.0
45065,45065,45065,崔各庄,15号线,1.0,2.0
45065,45065,45065,望京东,15号线,1.0,0.0
45065,45065,45065,望京,15号线,2.0,2.0
45065,45065,45065,望京西,15号线,0.0,1.0
45065,45065,45065,大屯路东,15号线,0.0,0.0
45065,45065,45065,奥林匹克公园,15号线,0.0,0.0
45065,45065,45065,北沙滩,15号线,1.0,3.0
45065,45065,45065,六道口,15号线,2.0,0.0
45065,45065,45065,清华东路西口,15号线,3.0,2.0
45065,45065,45065,昌平西山口,昌平线,4.0,17.0
