山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment-单位:%,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.1,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.2,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.3,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.4,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.5,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment.6,山东全省经济和社会发展结构指标-CompositionIndicatorsonNationalEconomicandSocialDevelopment-(%)
项      目,Item,2015.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
,,,,,,,,
一、地区生产总值比例,Structure of Gross Domestic Product,,,,,,,
第一产业,Primary Industry,9.0,7.0,7.0,7.0,7.0,7.0,7.0
第二产业,Secondary Industry,45.0,41.0,40.0,39.0,40.0,40.0,39.0
第三产业,Tertiary Industry,46.0,51.0,53.0,54.0,53.0,53.0,54.0
二、常住人口比例,Structure of Population,,,,,,,
按性别分,Sexual Structure,,,,,,,
男,Male,51.0,50.0,50.0,51.0,51.0,51.0,51.0
女,Female,49.0,50.0,50.0,49.0,49.0,49.0,49.0
按年龄分,Age,,,,,,,
0-14岁,Aged 0-14,17.0,18.0,18.0,19.0,18.0,18.0,17.0
15-64岁,Aged 15-64,71.0,67.0,66.0,66.0,66.0,65.0,65.0
65岁及以上,Aged 65 and Over,12.0,15.0,16.0,15.0,16.0,17.0,17.0
按农村城镇分,Agricultural and Non-agricultural Structure,,,,,,,
农村人口,Agricultural Structure,43.0,39.0,38.0,37.0,36.0,35.0,34.0
城镇人口,Non-agricultural Structure,57.0,61.0,62.0,63.0,64.0,65.0,66.0
三、社会就业人员比例,Structure of Employment,,,,,,,
第一产业,Primary Industry,31.0,27.0,26.0,25.0,24.0,24.0,24.0
第二产业,Secondary Industry,33.0,33.0,33.0,33.0,34.0,34.0,34.0
第三产业,Tertiary Industry,36.0,39.0,41.0,42.0,42.0,42.0,43.0
四、农林牧渔业总产值比例,Structure of Gross Output Value of Agriculture,,,,,,,
农  业,Farming,50.0,50.0,51.0,51.0,51.0,51.0,52.0
林  业,Forestry,2.0,2.0,2.0,2.0,2.0,2.0,2.0
牧  业,Animal Husbandry,28.0,26.0,25.0,25.0,25.0,25.0,24.0
渔  业,Fishery,16.0,15.0,14.0,14.0,14.0,14.0,14.0
农林牧渔专业及辅助性活动,"Farming,Forestry,Animal Husbandry and Fishery",5.0,7.0,8.0,8.0,8.0,8.0,8.0
,professions and auxiliary activities,,,,,,,
五、全社会固定资产投资比例,Structure of Investment in Fixed Assets,,,,,,,
国有经济,State-owned Units,13.0,20.0,24.0,20.0,20.0,21.0,21.0
集体经济,Collective-owned Units,7.0,1.0,1.0,0.0,1.0,1.0,0.0
个体经济,Self-employed Units,42.0,39.0,30.0,30.0,33.0,31.0,30.0
其他经济,Others,39.0,40.0,45.0,49.0,47.0,47.0,48.0
六、社会消费品零售总额比例,Structure of Total Retail Sales of Consumer Goods,,,,,,,
城镇,Urban,80.0,80.0,79.0,82.0,83.0,84.0,84.0
乡村,Rural,20.0,20.0,21.0,18.0,17.0,16.0,16.0
七、人民生活,People’s Livelihood,,,,,,,
城乡居民收入比,Urban and Rural Income Ratio(Rural Income as 1),2.0,2.0,2.0,2.0,2.0,2.0,2.0
(农村居民收入为1),,,,,,,,
城镇居民人均消费支出,Of Per Capita Consumption Expenditure of Urban,,,,,,,
,Households,,,,,,,
食品烟酒,"Food, Tobacco and Liquor",28.0,26.0,26.0,27.0,26.0,27.0,27.0
交通通信,Transport and Communications,14.0,15.0,14.0,14.0,15.0,14.0,15.0
教育文化娱乐,"Education, Cultural and Recreation",11.0,12.0,12.0,12.0,13.0,12.0,12.0
医疗保健,Health Care and Medical Services,7.0,8.0,8.0,8.0,8.0,8.0,9.0
农村居民人均消费支出,Of Per Capita Consumption Expenditure of Rural,,,,,,,
,Households,,,,,,,
食品烟酒,"Food, Tobacco and Liquor",30.0,28.0,28.0,29.0,30.0,30.0,30.0
交通通信,Transport and Communications,16.0,17.0,16.0,17.0,17.0,17.0,17.0
教育文化娱乐,"Education, Cultural and Recreation",10.0,11.0,12.0,10.0,10.0,10.0,11.0
医疗保健,Health Care and Medical Services,11.0,11.0,11.0,11.0,11.0,11.0,11.0
八、一般公共预算收入与地区,Proportion of  General Public Budget Revenue,10.0,10.0,9.0,9.0,9.0,8.0,8.0
生产总值之比,to GDP,,,,,,,
九、一般公共预算收入比例,Of General Public Budget Revenue,,,,,,,
税收收入,Tax Revenue,76.0,76.0,74.0,73.0,75.0,68.0,70.0
#国内增值税,Domestic Value-added Tax,11.0,29.0,30.0,28.0,28.0,20.0,27.0
企业所得税,Corporate Income Tax,9.0,10.0,11.0,10.0,12.0,12.0,10.0
个人所得税,Individual Income Tax,3.0,3.0,2.0,3.0,3.0,4.0,3.0
十、一般公共预算支出比例,Of of General Public Budget Expenditure,,,,,,,
一般公共服务支出,Expenditure for General Public Service,9.0,9.0,10.0,10.0,10.0,10.0,9.0
科学技术支出,Expenditure for Science and Technology,2.0,2.0,3.0,3.0,3.0,3.0,3.0
教育支出,Expenditure for Education,20.0,20.0,20.0,20.0,21.0,22.0,22.0
社会保障和就业支出,Expenditure for Social Safety Net and Employment,11.0,12.0,13.0,15.0,16.0,16.0,17.0
,Effort,,,,,,,
十一、交通运输,Structure of Transport,,,,,,,
货运量比例,Structure of Freight Traffic,,,,,,,
铁路,Railways,6.0,5.0,7.0,8.0,7.0,8.0,8.0
公路,Highways,88.0,90.0,87.0,87.0,87.0,86.0,85.0
水运,Waterways,6.0,5.0,6.0,6.0,6.0,7.0,8.0
十二、邮电通信业,Postal and Telecommunication Services,,,,,,,
电话普及率(含移动电话),Popularization Rate of Telephone,107.0,113.0,118.0,118.0,121.0,126.0,129.0
(部/百人),(Include Mobile Telephone)             (set/100 persons),,,,,,,
移动电话普及率(部/百人),Popularization Rate of Mobile Telephone,95.0,105.0,107.0,107.0,111.0,115.0,119.0
,(set/100 persons),,,,,,,
十三、R&D经费支出比例,Structure of R&D Expenditure,,,,,,,
#基础研究,Basic Research,2.0,3.0,4.0,3.0,4.0,4.0,4.0
应用研究,Applied Research,5.0,7.0,7.0,7.0,6.0,8.0,7.0
试验发展,Experimental Development,92.0,90.0,90.0,90.0,90.0,88.0,88.0
#政府资金,Government Funds,8.0,8.0,10.0,9.0,9.0,9.0,8.0
企业资金,Enterprises Funds,90.0,89.0,89.0,90.0,90.0,90.0,90.0
十四、卫生,Public Health,,,,,,,
卫生技术人员,Structure of Medical Technical Personnel,,,,,,,
#执业(助理)医师,Licensed (Assistant) Doctors,38.0,39.0,40.0,40.0,40.0,40.0,40.0
注册护士,Registered Nurses,41.0,44.0,44.0,44.0,44.0,44.0,45.0
每万人口执业(助理),Number of Licensed (Assistant) Doctors per,24.0,29.0,31.0,32.0,34.0,34.0,37.0
医师数           (人),10 000 Population                                          (person),,,,,,,
每万人口医疗卫生机构,Number of Beds of Hospitals and Health Centers,53.0,60.0,62.0,64.0,66.0,68.0,73.0
床位数           (张),per 10 000 Population                                        (bed),,,,,,,
,,,,,,,,
,,,,,,,,
注：表中2015-2019年常住人口比例、就业人员比例根据第七次人口普查结果进行了修订。,,,,,,,,
"a) According to the Seventh National Census, the data of Structure of Population and Employment between 2015 to 2019 have been revised.",,,,,,,,
