规模以上工业企业主要经济效益指标（按行业分）-行业名称-行业名称,规模以上工业企业主要经济效益指标（按行业分）-2025年-营业收入-1-2月,规模以上工业企业主要经济效益指标（按行业分）-2月-营业收入-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分）-利润总额-1-2月,规模以上工业企业主要经济效益指标（按行业分）-利润总额-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分）-税金总额-1-2月,规模以上工业企业主要经济效益指标（按行业分）-单位：亿元-税金总额-比去年同期增长（%）
规模以上工业合计,6756,0,385,26,495,6
石油和天然气开采业,30,17,16,32,4,5
农副食品加工业,80,7,3,(6),1,(3)
食品制造业,181,1,23,5,7,10
酒、饮料和精制茶制造业,21,1,2,23,1,(1)
烟草制品业,471,1,120,7,351,1
纺织业,24,(3),1,(57),1,47
纺织服装、服饰业,39,5,1,95,0,(12)
皮革、毛皮、羽毛及其制品和制鞋业,6,(58),(2),--,0,(30)
木材加工和木、竹、藤、棕、草制品业,5,(20),(0),--,0,40
家具制造业,53,19,3,59,2,93
造纸和纸制品业,40,(7),2,(45),1,(15)
印刷和记录媒介复制业,32,(3),2,25,1,(8)
文教、工美、体育和娱乐用品制造业,170,(28),9,(34),8,1.0倍
石油、煤炭及其他燃料加工业,229,(4),2,(26),43,28
化学原料和化学制品制造业,542,2,41,16,11,1
医药制造业,173,(2),27,(14),9,2
化学纤维制造业,3,22,1,4.7倍,0,(6)
橡胶和塑料制品业,151,1,10,29,4,6
非金属矿物制品业,118,(22),5,(33),3,(28)
黑色金属冶炼和压延加工业,229,(14),8,45,1,(5)
有色金属冶炼和压延加工业,73,(11),3,27,1,4.6倍
金属制品业,183,(4),5,7,4,28
通用设备制造业,526,5,26,16,12,41
专用设备制造业,246,(2),4,(21),5,34
汽车制造业,1159,(2),22,--,7,--
铁路、船舶、航空航天和其他运输设备制造业,126,(1),4,--,3,(52)
电气机械和器材制造业,488,3,13,(12),2,(61)
计算机、通信和其他电子设备制造业,806,28,12,--,1,(89)
仪器仪表制造业,77,5,6,98,2,19
其他制造业,11,1,1,1.1倍,0,16
废弃资源综合利用业,16,(5),(1),--,0,(61)
金属制品、机械和设备修理业,68,4,3,(4),2,0
电力、热力生产和供应业,259,(5),12,(18),8,2.4倍
燃气生产和供应业,101,(17),3,(20),0,(71)
水的生产和供应业,20,7,0,(28),1,7
,,,,,,
工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释
一、统计范围,,,,,,
本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。
二、采集渠道,,,,,,
规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。
