日期,监测点位,二氧化硫,二氧化氮,可吸入颗粒物,一氧化碳,臭氧,细颗粒物,空气质量指数,首要污染物,AQI指数级别,AQI指数类别
2024-06-21,汉口江滩,5,22,18,13,39,16,39,--,一级,优
2024-06-20,汉口江滩,5,28,19,16,39,18,39,--,一级,优
2024-06-19,汉口江滩,5,20,8,15,28,9,28,--,一级,优
2024-06-18,汉口江滩,8,19,30,15,85,22,85,O3_8h,二级,良
2024-06-17,汉口江滩,8,22,38,15,133,32,133,O3_8h,三级,轻度污染
2024-06-16,汉口江滩,8,25,43,17,125,32,125,O3_8h,三级,轻度污染
2024-06-15,汉口江滩,8,38,42,19,122,29,122,O3_8h,三级,轻度污染
2024-06-15,汉口江滩,8,38,42,19,122,29,122,O3_8h,三级,轻度污染
2024-06-14,汉口江滩,9,39,41,16,130,32,130,O3_8h,三级,轻度污染
2024-06-14,汉口江滩,9,39,41,16,130,32,130,O3_8h,三级,轻度污染
2024-06-13,汉口江滩,0,0,0,0,114,0,114,O3_8h,三级,轻度污染
2024-06-13,汉口江滩,7,48,37,0,114,32,114,O3_8h,三级,轻度污染
2024-06-12,汉口江滩,7,57,31,16,90,29,90,O3_8h,二级,良
2024-06-12,汉口江滩,7,57,31,16,90,29,90,O3_8h,二级,良
2024-06-11,汉口江滩,6,55,21,17,62,20,62,O3_8h,二级,良
2024-06-11,汉口江滩,6,55,21,17,62,20,62,O3_8h,二级,良
2024-06-10,汉口江滩,6,28,19,18,43,20,43,--,一级,优
2024-06-10,汉口江滩,6,28,19,18,43,20,43,--,一级,优
2024-06-09,汉口江滩,6,42,22,16,64,19,64,O3_8h,二级,良
2024-06-09,汉口江滩,6,42,22,16,64,19,64,O3_8h,二级,良
2024-06-08,汉口江滩,7,69,46,21,115,39,115,O3_8h,三级,轻度污染
2024-06-08,汉口江滩,7,69,46,21,115,39,115,O3_8h,三级,轻度污染
2024-06-07,汉口江滩,8,42,35,18,90,32,90,O3_8h,二级,良
2024-06-07,汉口江滩,8,42,35,18,90,32,90,O3_8h,二级,良
2024-06-06,汉口江滩,7,27,40,17,122,45,122,O3_8h,三级,轻度污染
2024-06-06,汉口江滩,7,27,40,17,122,45,122,O3_8h,三级,轻度污染
2024-06-05,汉口江滩,7,23,26,17,83,40,83,O3_8h,二级,良
2024-06-05,汉口江滩,7,23,26,17,83,39,83,O3_8h,二级,良
2024-06-04,汉口江滩,7,29,25,13,79,26,79,O3_8h,二级,良
2024-06-04,汉口江滩,7,29,25,13,79,26,79,O3_8h,二级,良
2024-06-03,汉口江滩,7,33,30,15,93,32,93,O3_8h,二级,良
2024-06-03,汉口江滩,7,33,30,15,93,32,93,O3_8h,二级,良
2024-06-02,汉口江滩,8,38,37,17,100,45,100,O3_8h,二级,良
2024-06-02,汉口江滩,8,38,37,17,100,45,100,O3_8h,二级,良
2024-06-01,汉口江滩,10,35,38,22,90,39,90,O3_8h,二级,良
2024-06-01,汉口江滩,10,35,38,22,90,39,90,O3_8h,二级,良
2024-05-31,汉口江滩,7,34,58,19,94,68,94,O3_8h,二级,良
2024-05-31,汉口江滩,7,34,58,19,94,68,94,O3_8h,二级,良
2024-05-30,汉口江滩,6,22,65,18,61,127,127,PM2.5,三级,轻度污染
2024-05-30,汉口江滩,6,22,65,18,61,127,127,PM2.5,三级,轻度污染
2024-05-29,汉口江滩,9,27,30,15,126,32,126,O3_8h,三级,轻度污染
2024-05-29,汉口江滩,9,27,26,15,126,32,126,O3_8h,三级,轻度污染
2024-05-28,汉口江滩,8,32,21,15,120,20,120,O3_8h,三级,轻度污染
2024-05-28,汉口江滩,8,32,21,15,120,20,120,O3_8h,三级,轻度污染
2024-05-27,汉口江滩,6,12,27,17,75,19,75,O3_8h,二级,良
2024-05-27,汉口江滩,6,12,27,17,75,19,75,O3_8h,二级,良
2024-05-26,汉口江滩,7,38,37,20,59,54,59,O3_8h,二级,良
2024-05-26,汉口江滩,7,38,37,20,59,54,59,O3_8h,二级,良
2024-05-25,汉口江滩,8,44,39,20,82,46,82,O3_8h,二级,良
2024-05-25,汉口江滩,8,44,39,20,82,46,82,O3_8h,二级,良
2024-05-24,汉口江滩,8,73,37,21,83,46,83,O3_8h,二级,良
2024-05-24,汉口江滩,8,73,37,21,83,46,83,O3_8h,二级,良
2024-05-23,汉口江滩,6,55,25,17,53,32,55,NO2,二级,良
2024-05-23,汉口江滩,6,55,25,17,53,32,55,NO2,二级,良
2024-05-22,汉口江滩,6,28,27,20,52,30,52,O3_8h,二级,良
2024-05-22,汉口江滩,6,28,28,20,52,30,52,O3_8h,二级,良
2024-05-21,汉口江滩,6,34,44,19,69,35,69,O3_8h,二级,良
2024-05-21,汉口江滩,6,34,44,19,69,35,69,O3_8h,二级,良
2024-05-20,汉口江滩,6,40,50,20,58,38,58,O3_8h,二级,良
2024-05-20,汉口江滩,6,40,50,20,58,38,58,O3_8h,二级,良
2024-05-19,汉口江滩,9,47,65,24,106,57,106,O3_8h,三级,轻度污染
2024-05-19,汉口江滩,9,47,65,24,106,57,106,O3_8h,三级,轻度污染
2024-05-18,汉口江滩,8,43,54,19,95,46,95,O3_8h,二级,良
2024-05-18,汉口江滩,8,43,54,19,95,46,95,O3_8h,二级,良
2024-05-17,汉口江滩,8,54,56,18,93,45,93,O3_8h,二级,良
2024-05-17,汉口江滩,8,54,56,18,93,45,93,O3_8h,二级,良
2024-05-16,汉口江滩,9,34,53,17,117,38,117,O3_8h,三级,轻度污染
2024-05-16,汉口江滩,9,34,53,17,117,38,117,O3_8h,三级,轻度污染
2024-05-15,汉口江滩,10,52,64,21,110,46,110,O3_8h,三级,轻度污染
2024-05-15,汉口江滩,10,52,64,21,110,46,110,O3_8h,三级,轻度污染
2024-05-14,汉口江滩,10,49,60,19,115,45,115,O3_8h,三级,轻度污染
2024-05-14,汉口江滩,10,49,60,18,115,43,115,O3_8h,三级,轻度污染
2024-05-13,汉口江滩,10,40,77,14,120,49,120,O3_8h,三级,轻度污染
2024-05-13,汉口江滩,10,40,77,14,120,49,120,O3_8h,三级,轻度污染
2024-05-12,汉口江滩,8,42,100,13,95,50,100,PM10,二级,良
2024-05-12,汉口江滩,8,42,100,13,95,50,100,PM10,二级,良
2024-05-11,汉口江滩,6,34,64,20,40,46,64,PM10,二级,良
2024-05-11,汉口江滩,6,34,64,20,40,46,64,PM10,二级,良
2024-05-10,汉口江滩,8,40,55,17,75,58,75,O3_8h,二级,良
2024-05-10,汉口江滩,8,40,55,17,75,58,75,O3_8h,二级,良
2024-05-09,汉口江滩,9,48,50,16,117,39,117,O3_8h,三级,轻度污染
2024-05-09,汉口江滩,9,48,50,16,117,39,117,O3_8h,三级,轻度污染
2024-05-08,汉口江滩,7,35,38,13,104,30,104,O3_8h,三级,轻度污染
2024-05-08,汉口江滩,7,35,38,13,104,30,104,O3_8h,三级,轻度污染
2024-05-07,汉口江滩,8,69,53,24,75,39,75,O3_8h,二级,良
2024-05-07,汉口江滩,8,69,52,24,75,39,75,O3_8h,二级,良
2024-05-06,汉口江滩,8,60,35,18,58,29,60,NO2,二级,良
2024-05-06,汉口江滩,8,60,35,18,58,29,60,NO2,二级,良
2024-05-05,汉口江滩,6,35,35,15,49,29,49,--,一级,优
2024-05-05,汉口江滩,6,35,35,15,49,29,49,--,一级,优
2024-05-04,汉口江滩,6,20,19,15,37,26,37,--,一级,优
2024-05-04,汉口江滩,6,20,19,15,37,26,37,--,一级,优
2024-05-03,汉口江滩,8,30,25,17,55,23,55,O3_8h,二级,良
2024-05-03,汉口江滩,8,30,25,17,55,23,55,O3_8h,二级,良
2024-05-02,汉口江滩,8,33,33,17,66,26,66,O3_8h,二级,良
2024-05-02,汉口江滩,8,33,33,17,66,26,66,O3_8h,二级,良
2024-05-01,汉口江滩,6,25,42,19,47,35,47,--,一级,优
2024-05-01,汉口江滩,6,25,42,19,47,35,47,--,一级,优
2024-04-30,汉口江滩,6,18,29,15,45,23,45,--,一级,优
2024-04-30,汉口江滩,6,18,29,15,45,23,45,--,一级,优
2024-04-29,汉口江滩,6,20,25,15,43,20,43,--,一级,优
2024-04-29,汉口江滩,6,20,25,15,43,20,43,--,一级,优
2024-04-28,汉口江滩,6,39,48,18,43,30,48,--,一级,优
2024-04-28,汉口江滩,6,39,48,18,43,30,48,--,一级,优
2024-04-27,汉口江滩,9,64,52,23,95,42,95,O3_8h,二级,良
2024-04-27,汉口江滩,9,64,52,23,95,42,95,O3_8h,二级,良
2024-04-26,汉口江滩,9,102,78,30,110,78,110,O3_8h,三级,轻度污染
2024-04-26,汉口江滩,9,102,78,30,110,78,110,O3_8h,三级,轻度污染
2024-04-25,汉口江滩,11,77,95,27,65,83,95,PM10,二级,良
2024-04-25,汉口江滩,11,77,95,27,65,83,95,PM10,二级,良
2024-04-24,汉口江滩,9,50,97,15,82,54,97,PM10,二级,良
2024-04-24,汉口江滩,9,50,97,15,82,54,97,PM10,二级,良
2024-04-23,汉口江滩,6,27,54,11,87,33,87,O3_8h,二级,良
2024-04-23,汉口江滩,6,27,54,11,87,33,87,O3_8h,二级,良
2024-04-22,汉口江滩,8,47,55,21,114,42,114,O3_8h,三级,轻度污染
2024-04-22,汉口江滩,8,47,55,21,114,42,114,O3_8h,三级,轻度污染
2024-04-21,汉口江滩,0,0,0,0,0,0,0,--,--,--
2024-04-21,汉口江滩,9,47,70,21,83,63,83,O3_8h,二级,良
2024-04-20,汉口江滩,7,35,53,16,75,42,75,O3_8h,二级,良
2024-04-20,汉口江滩,7,35,53,16,75,42,75,O3_8h,二级,良
2024-04-19,汉口江滩,7,25,25,20,42,25,42,--,一级,优
2024-04-19,汉口江滩,7,25,25,20,42,25,42,--,一级,优
2024-04-18,汉口江滩,7,30,44,18,75,39,75,O3_8h,二级,良
2024-04-18,汉口江滩,7,30,44,18,75,39,75,O3_8h,二级,良
