1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-名称-名称,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-合计-合计,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-在本村内-在本村内,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-村外乡内-村外乡内,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-乡外县内-乡外县内,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-县外(地)市内-县外(地)市内,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-市外省内-市外省内,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-外省-外省,1-1-47全国按经营耕地规模和户籍所在地分的家庭户农业从业人员数量-单位：人-其他-其他
,,,,,,,,
合  计,341414555.0,336507865.0,1520136.0,1156292.0,533123.0,582742.0,1010082.0,104315.0
0亩,6647062.0,6050055.0,167694.0,151953.0,84565.0,86197.0,102915.0,3683.0
0.1-0.9亩,9386614.0,9124563.0,99754.0,69704.0,32309.0,23417.0,33154.0,3713.0
1-1.9亩,27771777.0,27313518.0,157464.0,119177.0,52341.0,44148.0,75607.0,9522.0
2-2.9亩,40008253.0,39480674.0,165973.0,128126.0,55648.0,58726.0,107291.0,11815.0
3-3.9亩,42242852.0,41747497.0,146191.0,113186.0,48267.0,56399.0,119728.0,11584.0
4-4.9亩,38761732.0,38358254.0,117944.0,89916.0,38790.0,46707.0,99813.0,10308.0
5-5.9亩,30999795.0,30685579.0,91511.0,71179.0,30968.0,37294.0,74902.0,8362.0
6-6.9亩,26402265.0,26148019.0,76344.0,57988.0,25348.0,29660.0,57759.0,7147.0
7-7.9亩,19446377.0,19265664.0,54733.0,40859.0,18179.0,21470.0,40219.0,5253.0
8-8.9亩,16020736.0,15863569.0,47451.0,35650.0,16440.0,18438.0,34609.0,4579.0
9-9.9亩,11853926.0,11742754.0,34124.0,25521.0,11366.0,13047.0,23807.0,3307.0
10-10.9亩,10520392.0,10386486.0,41588.0,30821.0,14696.0,16620.0,26881.0,3300.0
11-11.9亩,6868906.0,6801059.0,20521.0,15907.0,7087.0,7908.0,14149.0,2275.0
12-12.9亩,6778592.0,6702002.0,25055.0,17115.0,7748.0,9120.0,15320.0,2232.0
13-13.9亩,4812813.0,4760222.0,16338.0,12048.0,5671.0,6385.0,10546.0,1603.0
14-14.9亩,4160914.0,4114594.0,14867.0,10496.0,5064.0,5496.0,8998.0,1399.0
15-15.9亩,3991665.0,3929904.0,20906.0,13524.0,6595.0,8003.0,11383.0,1350.0
16-16.9亩,3156480.0,3116636.0,12763.0,9312.0,4200.0,4881.0,7674.0,1014.0
17-17.9亩,2384176.0,2355095.0,9282.0,6638.0,3097.0,3533.0,5742.0,789.0
18-18.9亩,2539537.0,2504132.0,12077.0,8083.0,3583.0,4231.0,6568.0,863.0
19-19.9亩,1764127.0,1742290.0,7144.0,4905.0,2289.0,2608.0,4170.0,721.0
20-24.9亩,7578155.0,7448901.0,43288.0,28837.0,13331.0,15936.0,25134.0,2728.0
25-29.9亩,4302077.0,4233170.0,22156.0,15470.0,7078.0,8608.0,14110.0,1485.0
30-34.9亩,3211104.0,3138173.0,24569.0,16319.0,7489.0,9313.0,14072.0,1169.0
35-39.9亩,2029119.0,1990590.0,12750.0,8063.0,3819.0,4884.0,8353.0,660.0
40-44.9亩,1640391.0,1599530.0,12572.0,8562.0,4170.0,4781.0,10154.0,622.0
45-49.9亩,1152455.0,1123880.0,8995.0,6200.0,2713.0,4005.0,6271.0,391.0
50-59.9亩,1546463.0,1501908.0,13292.0,9185.0,4196.0,5856.0,11417.0,609.0
60-99.9亩,2346496.0,2263394.0,24675.0,16106.0,7811.0,12027.0,21455.0,1028.0
100亩以上,1089304.0,1015753.0,18115.0,15442.0,8265.0,13044.0,17881.0,804.0
