Unnamed: 0,H04 (Electrical Communication Technology),H01 (Electrical Components),"H02 (Power Generation, Transformation, or Distribution)",H05 (Electrical Technology Not Covered in Other Categories),G08 (Signaling Devices),H03 (Electronic Circuits),G16 (Information and Communication Technologies [ICT] Particularly Suitable for Specific Application Fields),G11 (Information Storage),H10 (Semiconductor devices; electric solid-state devices not otherwise provided for [2023.01])
Complexity Reduction,15971,22134,15653,6523,4552,3229,846,330,157
Convenience Improvement,15081,15562,16054,7963,6384,1012,1028,363,31
Efficiency improvement,14801,15549,12418,5424,3550,1210,1676,197,156
Cost Reduction,12050,15743,11048,4407,3613,1906,769,182,136
Safety Improvement,12785,10429,13331,4341,5478,699,608,188,28
Stability Improvement,7513,14930,13006,5204,2537,2269,290,181,134
Speed improvement,9398,7642,7150,3570,2879,1264,888,164,52
Reliability Improvement,8318,8033,8198,2464,2750,1227,497,107,30
Accuracy Improvement,6619,1658,2154,804,3092,597,1475,71,6
Accuracy Improvement,4414,2637,2140,753,1443,1335,606,29,14
