1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-名称-名称-名称,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-机耕面积比重-机耕面积比重,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-机电灌溉面积比重-机电灌溉面积比重,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-喷灌面积比重-喷灌面积比重,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-滴灌渗灌面积比重-滴灌渗灌面积比重,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占播种面积比重-机播面积比重-机播面积比重,1-2-8全国按乡村类型分的农业生产经营户农业技术措施应用情况-单位：%-占播种面积比重-机收面积比重-机收面积比重
,,,,,,
合        计,59.0,27.0,2.0,1.0,31.0,23.0
一、按社区类型分,,,,,,
村委会,58.0,26.0,2.0,0.0,30.0,23.0
居委会,61.0,32.0,2.0,0.0,23.0,33.0
农场,90.0,33.0,2.0,21.0,73.0,34.0
二、按地势分,,,,,,
平原,85.0,47.0,3.0,1.0,50.0,36.0
丘陵,46.0,14.0,1.0,1.0,16.0,16.0
山区,20.0,3.0,0.0,0.0,8.0,5.0
三、按贫困村类型分,,,,,,
非贫困村,62.0,31.0,2.0,1.0,32.0,25.0
贫困村,44.0,13.0,1.0,0.0,26.0,16.0
省定贫困村,47.0,13.0,1.0,0.0,29.0,17.0
省以下定贫困村,39.0,12.0,1.0,0.0,20.0,13.0
四、按是否少数民族聚居村分,,,,,,
是,40.0,8.0,1.0,0.0,25.0,8.0
否,61.0,29.0,2.0,1.0,32.0,25.0
五、按所在乡镇类型分,,,,,,
乡,56.0,23.0,1.0,0.0,34.0,21.0
镇,59.0,28.0,2.0,0.0,28.0,24.0
街道,63.0,42.0,2.0,0.0,30.0,26.0
农场,89.0,33.0,2.0,19.0,67.0,35.0
六、按所在乡镇是否县政府驻地分,,,,,,
是,58.0,27.0,1.0,0.0,30.0,22.0
否,59.0,27.0,2.0,1.0,31.0,23.0
七、按所在乡镇是否民族乡镇分,,,,,,
是,50.0,11.0,1.0,1.0,33.0,10.0
否,59.0,28.0,2.0,1.0,31.0,24.0
八、按所在乡镇是否老区分,,,,,,
是,50.0,28.0,1.0,0.0,21.0,24.0
否,61.0,26.0,2.0,1.0,34.0,23.0
九、按所在乡镇是否边区分,,,,,,
是,48.0,9.0,1.0,1.0,29.0,21.0
否,59.0,28.0,2.0,1.0,31.0,23.0
十、无对应乡表的分组,65.0,24.0,1.0,34.0,46.0,8.0
十一、无对应村表的分组,62.0,23.0,2.0,6.0,33.0,23.0
