SalaryCategory-SalaryCategory,LevelDesign-LevelDesign,GradeDesign-GradeDesign,RelatedPosition-RelatedPosition,Definition-Definition,Position-basedsalary-Position-basedsalary,EligibilityCriteria-Educationlevel,EligibilityCriteria-WorkExperience,EligibilityCriteria-Procurementexperience,EligibilityCriteria-PerformanceEvaluation,AssessmentElements-ProfessionalSkills,AssessmentElements-BehaviorStandards,AssessmentElements-Weight,AssessmentElements-Performance
Financial Management Category,4,High-level,,Experts Category,8500.0,Bachelor's degree,6.0,6.0,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",1. Organize and periodically revise the budget preparation,,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Comprehensively develop the group company's budget plan,10%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management","Comprehensively organize the preparation of annual budget, quarterly budget, and monthly budget.",10%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Compile the annual budget summary,10%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Organize the preparation of the annual final accounts and prepare a comprehensive final accounts report,10%,Independent operation and comprehensive analysis
Financial Management Category,4,Medium,,Experts Category,7500.0,Bachelor's degree,5.0,5.0,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management","Comprehensively review and analyze the execution status and effectiveness of the budget, and organize the revision of the budget",10%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",2. Review budget reports and convene monthly analysis meetings,,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Review the budget reports of each company and organize monthly analysis meetings,20%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",3. Internal guidance,,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management","Coordinate the balance of budget and final accounts, and conduct review and supervision for the person in charge.",5%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Regularly organize budget training to improve the accuracy of the budget,10%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",4. Document Management,,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Compile and archive reviewed budget reports,5%,Independent operation and comprehensive analysis
Financial Management Category,4,,,Experts Category,,,,,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management","Organize and preserve the preparation of annual budget, quarterly budget, and monthly budget.",5%,Independent operation and comprehensive analysis
Financial Management Category,4,Elementary,,Experts Category,6500.0,Bachelor's degree,5.0,5.0,,"1. Organize and periodically revise the budget preparation  
2. Review budget reports and convene monthly analysis meetings  
3. Provide internal guidance  
4. Document management",Organize and archive budget plans,5%,Independent operation and comprehensive analysis
Financial Management Category,3,High-level,,Managerial Category,6000.0,Bachelor's degree,4.0,4.0,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",1. Data Analysis,,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",Prepare a report on budget deviations,20%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",Analyze the execution of the budget,20%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",2. Communicate with departments of each branch company,,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",Coordinate various departments of each branch company to balance the budget,20%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",3. Internal guidance,,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis","Coordinate the balance between budget and final accounts, and supervise and review subordinates.",20%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",4. Proficient in system operations,,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis","Proficient in using office software, Excel, Word, MSN, etc.",5%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",5. Document Management,,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",Compile and archive reviewed budget reports and monthly/annual analyses,5%,Independent operation and partial analysis
Financial Management Category,3,,,Managerial Category,,,,,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",6. Draft budget reports and monthly/annual analysis,,Independent operation and partial analysis
Financial Management Category,3,Medium,,Managerial Category,5000.0,Bachelor's degree,3.0,3.0,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis",Draft budget reports and monthly/annual analysis,5%,Independent operation and partial analysis
Financial Management Category,3,Elementary,,Managerial Category,4500.0,Bachelor's degree,3.0,3.0,,"1. Data analysis  
2. Communication with departments and branches  
3. Internal guidance  
4. Proficient in system operation  
5. Document management  
6. Drafting budget reports and monthly/annual analysis","Correct budget deviations, prepare variance analysis reports, and adjust the budget",5%,Independent operation and partial analysis
