Name,Model,Unit,Value
Square Hollow Section Steel,□25×1.2,kg/m,0.8669
Square Hollow Section Steel,□25×1.5,kg/m,1.0609
Square Hollow Section Steel,□25×1.75,kg/m,1.215
Square Hollow Section Steel,□25×2.0,kg/m,1.363
Square Hollow Section Steel,□30×2.5,kg/m,2.032
Square Hollow Section Steel,□30×3.0,kg/m,2.361
Square Hollow Section Steel,□40×2.5,kg/m,2.817
Square Hollow Section Steel,□40×3.0,kg/m,3.3029
Square Hollow Section Steel,□40×4.0,kg/m,4.198
Square Hollow Section Steel,□50×2.5,kg/m,3.6019
Square Hollow Section Steel,□50×3.0,kg/m,4.245
Square Hollow Section Steel,□50×4.0,kg/m,5.4539
Square Hollow Section Steel,□60×2.5,kg/m,4.3869
Square Hollow Section Steel,□60×3.0,kg/m,5.187
Square Hollow Section Steel,□60×4.0,kg/m,6.71
Square Hollow Section Steel,□60×5.0,kg/m,8.1289
Square Hollow Section Steel,□70×3.0,kg/m,6.1289
Square Hollow Section Steel,□70×4.0,kg/m,7.966
Square Hollow Section Steel,□70×5.0,kg/m,9.6989
Square Hollow Section Steel,□80×3.0,kg/m,7.0709
Square Hollow Section Steel,□80×4.0,kg/m,9.2219
Square Hollow Section Steel,□80×5.0,kg/m,11.269
Square Hollow Section Steel,□90×3.0,kg/m,8.0129
Square Hollow Section Steel,□90×4.0,kg/m,10.478
Square Hollow Section Steel,□90×5.0,kg/m,10.839
Square Hollow Section Steel,□90×6.0,kg/m,15.097
Square Hollow Section Steel,□100×4.0,kg/m,11.734
Square Hollow Section Steel,□100×5.0,kg/m,14.409
Square Hollow Section Steel,□100×6.0,kg/m,16.981
Square Hollow Section Steel,□120×4.0,kg/m,14.246
Square Hollow Section Steel,□120×5.0,kg/m,17.548
Square Hollow Section Steel,□120×6.0,kg/m,20.748
Square Hollow Section Steel,□120×8.0,kg/m,26.84
Square Hollow Section Steel,□140×4.0,kg/m,16.757
Square Hollow Section Steel,□140×5.0,kg/m,20.689
Square Hollow Section Steel,□140×6.0,kg/m,24.516
Square Hollow Section Steel,□140×8.0,kg/m,31.864
Square Hollow Section Steel,□160×4.0,kg/m,19.27
Square Hollow Section Steel,□160×5.0,kg/m,23.829
Square Hollow Section Steel,□160×6.0,kg/m,28.285
Square Hollow Section Steel,□160×8.0,kg/m,36.887
