Name,Model,Unit,Value
Cold-formed Z-section steel,Z80×40×2.5,kg/m,2.947
Cold-formed Z-section steel,Z80×40×3.0,kg/m,3.491
Cold-formed Z-section steel,Z100×50×2.5,kg/m,3.732
Cold-formed Z-section steel,Z100×50×3.0,kg/m,4.432
Cold-formed lipped Z-section steel,Z100×40×20×2.0,kg/m,3.208
Cold-formed lipped Z-section steel,Z100×40×20×2.5,kg/m,3.932
Cold-formed lipped Z-section steel,Z120×50×20×2.0,kg/m,3.835
Cold-formed lipped Z-section steel,Z120×50×20×2.5,kg/m,4.718
Cold-formed lipped Z-section steel,Z120×50×20×3.0,kg/m,5.569
Cold-formed lipped Z-section steel,Z140×50×20×2.5,kg/m,5.11
Cold-formed lipped Z-section steel,Z140×50×20×3.0,kg/m,6.04
Cold-formed lipped Z-section steel,Z160×60×20×2.5,kg/m,5.895
Cold-formed lipped Z-section steel,Z160×60×20×3.0,kg/m,6.982
Cold-formed lipped Z-section steel,Z160×70×20×2.5,kg/m,6.288
Cold-formed lipped Z-section steel,Z160×70×20×3.0,kg/m,7.453
Cold-formed lipped Z-section steel,Z180×70×20×2.5,kg/m,6.679
Cold-formed lipped Z-section steel,Z180×70×20×3.0,kg/m,7.924
Cold-formed lipped Z-section steel,Z200×70×20×2.5,kg/m,7.073
Cold-formed lipped Z-section steel,Z200×70×20×3.0,kg/m,8.394
Cold-formed lipped Z-section steel,Z230×75×25×3.0,kg/m,9.573
Cold-formed lipped Z-section steel,Z230×75×25×4.0,kg/m,12.51
Cold-formed lipped Z-section steel,Z250×75×25×3.0,kg/m,10.04
Cold-formed lipped Z-section steel,Z250×75×25×4.0,kg/m,13.14
