Name,Model,Unit,Value
Cold-formed unequal steel channel,[30×20×10×3.0,kg/m,1.18
Cold-formed unequal steel channel,[40×32×20×3.0,kg/m,1.934
Cold-formed unequal steel channel,[50×32×20×2.5,kg/m,1.84
Cold-formed unequal steel channel,[50×32×20×3.0,kg/m,2.169
Cold-formed unequal steel channel,[50×50×32×2.5,kg/m,2.429
Cold-formed unequal steel channel,[60×32×25×2.5,kg/m,2.134
Cold-formed unequal steel channel,[60×32×25×3.0,kg/m,2.523
Cold-formed unequal steel channel,[75×30×15×2.5,kg/m,2.193
Cold-formed unequal steel channel,[75×30×15×3.0,kg/m,2.593
Cold-formed unequal steel channel,[70×45×15×3.0,kg/m,2.829
Cold-formed unequal steel channel,[70×65×35×2.5,kg/m,3.174
Cold-formed unequal steel channel,[80×40×20×2.5,kg/m,2.586
Cold-formed unequal steel channel,[80×40×20×3.0,kg/m,3.064
Cold-formed unequal steel channel,[100×60×30×3.0,kg/m,4.242
Cold-formed unequal steel channel,[150×60×50×3.0,kg/m,5.89
Cold-formed channel steel with inner curled flange,[40×40×9×2.5,kg/m,2.323
Cold-formed channel steel with inner curled flange,[60×30×10×2.5,kg/m,2.363
Cold-formed channel steel with inner curled flange,[60×30×10×3.0,kg/m,2.743
Cold-formed channel steel with inner curled flange,[60×30×15×2.5,kg/m,2.559
Cold-formed channel steel with inner curled flange,[60×30×15×3.0,kg/m,2.979
Cold-formed channel steel with inner curled flange,[80×40×15×2.5,kg/m,3.344
Cold-formed channel steel with inner curled flange,[80×40×15×3.0,kg/m,3.921
Cold-formed channel steel with inner curled flange,[80×50×25×2.5,kg/m,4.129
Cold-formed channel steel with inner curled flange,[80×50×25×3.0,kg/m,4.863
Cold-formed channel steel with inner curled flange,[100×50×20×2.5,kg/m,4.325
Cold-formed channel steel with inner curled flange,[100×50×20×3.0,kg/m,5.098
Cold-formed channel steel with inner curled flange,[100×60×20×2.5,kg/m,4.718
Cold-formed channel steel with inner curled flange,[100×60×20×3.0,kg/m,5.569
Cold-formed channel steel with inner curled flange,[120×50×20×2.5,kg/m,4.718
Cold-formed channel steel with inner curled flange,[120×50×20×3.0,kg/m,5.569
Cold-formed channel steel with inner curled flange,[120×60×20×2.5,kg/m,5.11
Cold-formed channel steel with inner curled flange,[120×60×20×3.0,kg/m,6.04
Cold-formed channel steel with inner curled flange,[140×50×20×3.0,kg/m,5.11
Cold-formed channel steel with inner curled flange,[140×50×20×3.0,kg/m,6.04
Cold-formed channel steel with inner curled flange,[140×60×20×2.5,kg/m,5.503
Cold-formed channel steel with inner curled flange,[140×60×20×3.0,kg/m,6.511
Cold-formed channel steel with inner curled flange,[160×60×20×3.0,kg/m,6.982
Cold-formed channel steel with inner curled flange,[160×70×20×3.0,kg/m,7.453
Cold-formed channel steel with inner curled flange,[180×60×20×3.0,kg/m,7.453
Cold-formed channel steel with inner curled flange,[180×70×20×3.0,kg/m,7.924
Cold-formed channel steel with inner curled flange,[200×60×20×3.0,kg/m,7.924
Cold-formed channel steel with inner curled flange,[200×70×20×3.0,kg/m,8.395
Cold-formed channel steel with inner curled flange,[250×40×15×3.0,kg/m,7.924
Cold-formed channel steel with inner curled flange,[300×40×15×3.0,kg/m,9.102
Cold-formed channel steel with inner curled flange,[400×50×15×3.0,kg/m,11.928
Cold-formed unequal channel steel with external curled flange,[30×30×16×2.5,kg/m,2.009
Cold-formed unequal channel with external curled flange,[50×20×15×3.0,kg/m,2.272
Cold-formed unequal channel steel with external curled flange,[60×25×32×2.5,kg/m,3.03
Cold-formed unequal channel steel with external curled flange,[60×25×32×3.0,kg/m,3.544
Cold-formed unequal channel steel with external curled flange,[80×40×20×4.0,kg/m,5.296
Cold-formed unequal channel steel with external curled flange,100×30×15×3.0,kg/m,3.921
