"Eleven,UndergroundConstructionMachinery-Number-Number-Number-Number-Number","Eleven,UndergroundConstructionMachinery-MachineName-MachineName-MachineName-MachineName-MachineName","Eleven,UndergroundConstructionMachinery-MachineName-MachineName-MachineName-MachineName-MachineName.1","Eleven,UndergroundConstructionMachinery-MachineType-MachineType-MachineType-MachineType-MachineType","Eleven,UndergroundConstructionMachinery-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel","Eleven,UndergroundConstructionMachinery-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel.1","Eleven,UndergroundConstructionMachinery-ServiceLifeforDepreciation-ServiceLifeforDepreciation-ServiceLifeforDepreciation-ServiceLifeforDepreciation-Quota","Eleven,UndergroundConstructionMachinery-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-DepreciationCost-DepreciationCost-Quota-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Majorrepaircost-Majorrepaircost-Majorrepaircost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-FrequentRepairCost-FrequentRepairCost-FrequentRepairCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-AssemblyandDisassemblyFeeandFieldTransportationFee-AssemblyandDisassemblyFeeandFieldTransportationFee-AssemblyandDisassemblyFeeandFieldTransportationFee-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-FuelandPowerCost-FuelandPowerCost-FuelandPowerCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-gasoline-5.65-kg","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Diesel-6.85-kg","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Coal-t","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Electricity-0.9-kw·h","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Water-1.0-m3","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-firewood-kg","Eleven,UndergroundConstructionMachinery-CostComposition-LaborCost-LaborCost-LaborCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-人工=Labor-man-day","Eleven,UndergroundConstructionMachinery-CostComposition-RoadMaintenanceFeeandVehicleandVesselUsageTax-RoadMaintenanceFeeandVehicleandVesselUsageTax-RoadMaintenanceFeeandVehicleandVesselUsageTax-Yuan"
11-1,Dry soil excavation shield boring machine,Dry soil excavation shield boring machine,Special,Diameter (mm),φ3500,8,,973.54,140.04,242.27,,,,,,,,,,,
11-2,Dry soil excavation shield boring machine,Dry soil excavation shield boring machine,Special,Diameter (mm),φ5000,8,,1456.67,209.54,362.51,,,,,,,,,,,
11-3,Dry soil excavation shield boring machine,Dry soil excavation shield boring machine,Special,Diameter (mm),φ7000,8,,1936.8,278.61,481.99,,,,,,,,,,,
11-4,Dry soil excavation shield boring machine,Dry soil excavation shield boring machine,Special,Diameter (mm),φ10000,8,,1998.1,287.74,693.46,,,,,,,,,,,
11-5,Dry soil excavation shield boring machine,Dry soil excavation shield boring machine,Special,Diameter (mm),φ12000,8,,2850.73,410.53,989.38,,,,,,,,,,,
11-6,Hydraulic soil discharge shield boring machine,Hydraulic soil discharge shield boring machine,Special,Diameter (mm),φ3500,8,,1106.73,143.28,243.58,,,,,,,,,,,
11-7,Hydraulic soil discharge shield boring machine,Hydraulic soil discharge shield boring machine,Special,Diameter (mm),φ5000,8,,1566.38,202.79,344.74,,,,,,,,,,,
11-8,Hydraulic soil discharge shield boring machine,Hydraulic soil discharge shield boring machine,Special,Diameter (mm),φ7000,8,,2070.0,267.99,455.58,,,,,,,,,,,
11-9,Hydraulic soil discharge shield boring machine,Hydraulic soil discharge shield boring machine,Special,Diameter (mm),φ10000,8,,2204.8,285.76,885.86,,,,,,,,,,,
11-10,Hydraulic soil discharge shield boring machine,Hydraulic soil discharge shield boring machine,Special,Diameter (mm),φ12000,8,,3134.95,406.32,1259.58,,,,,,,,,,,
11-11,Air Pressure Balanced Shield Tunneling Machine,Air Pressure Balanced Shield Tunneling Machine,Special,Diameter (mm),φ3500,10,,1985.06,269.12,411.76,,,,,,,,,,,
11-12,Air Pressure Balanced Shield Tunneling Machine,Air Pressure Balanced Shield Tunneling Machine,Special,Diameter (mm),φ5000,10,,2493.01,337.99,517.12,,,,,,,,,,,
11-13,Air Pressure Balanced Shield Tunneling Machine,Air Pressure Balanced Shield Tunneling Machine,Special,Diameter (mm),φ7000,10,,3258.75,441.8,675.96,,,,,,,,,,,
11-14,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Special,Pipe Diameter (mm),φ3500,10,,1695.99,229.93,397.79,,,,,,,,,,,
11-15,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Special,Pipe Diameter (mm),φ5000,10,,2537.54,344.03,595.17,,,,,,,,,,,
11-16,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Cutter Head Dry Soil Excavation Earth Pressure Balanced Shield Tunneling Machine,Special,Pipe Diameter (mm),φ7000,10,,3374.04,457.44,791.36,,,,,,,,,,,
11-17,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Special,Pipe Diameter (mm),φ3500,10,,1812.59,221.17,375.98,,,,,,,,,,,
11-18,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Special,Pipe Diameter (mm),φ5000,10,,2712.07,330.92,562.56,,,,,,,,,,,
11-19,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Cutter Head Hydraulic Soil Discharge Slurry Balance Shield Boring Machine,Special,Pipe Diameter (mm),φ7000,10,,3615.34,441.13,749.93,,,,,,,,,,,
11-20,Shield Machine Synchronous Grouting Pump,Shield Machine Synchronous Grouting Pump,Large,φ2.1m×7m,φ2.1m×7m,8,,394.13,42.88,50.17,26.24,,,,,52.1,,,,1.25,
11-21,Medical Gate Equipment,Medical Gate Equipment,Mid,φ2.1m×7m,φ2.1m×7m,11,,125.95,12.85,28.39,18.37,,,,,38.41,,,,1.25,
11-22,Vertical Jacking Equipment,Vertical Jacking Equipment,Mid,,,10,,329.12,37.58,73.66,24.49,,,,,590.6,,,,6.25,
11-23,Tracked Rope Grab Trenching Machine,Tracked Rope Grab Trenching Machine,Special,550A-50  MHL-630,550A-50  MHL-630,12,,1059.77,158.08,222.89,,,,110.64,,,,,,5.0,
11-24,Tracked Hydraulic Grab Slotting Machine,Tracked Hydraulic Grab Slotting Machine,Special,KH180  MHL-800,KH180  MHL-800,12,,1608.14,239.88,338.24,,,,138.3,,,,,,5.0,
11-25,Tracked Hydraulic Grab Slotting Machine,Tracked Hydraulic Grab Slotting Machine,Special,KH180  MHL-1200,KH180  MHL-1200,12,,2588.25,386.09,544.38,,,,197.08,,,,,,5.0,
11-26,Hydraulic Grab Slotting Machine with Guide Rod,Hydraulic Grab Slotting Machine with Guide Rod,Special,E50  KRC2/45  K2502,E50  KRC2/45  K2502,12,,2992.08,296.83,418.52,,,,163.39,,,,,,5.0,
11-27,Jib-mounted hydraulic grab trenching machine,Jib-mounted hydraulic grab trenching machine,Large,,,12,,187.5,27.97,137.05,,,,,,277.1,,,,5.0,
11-28,Reverse Circulation Drilling Rig,Reverse Circulation Drilling Rig,Special,60P45A,60P45A,12,,1617.19,174.95,306.17,,,,52.0,,,,,,2.5,
11-29,Multi-head drilling trenching machine,Multi-head drilling trenching machine,Special,BW,BW,10,,2820.92,323.34,1008.81,,,,,,499.6,,,,3.75,
11-30,Ultrasonic Wall Thickness Gauge,Ultrasonic Wall Thickness Gauge,Small,,,6,,52.1,11.68,19.28,1.99,,,,,36.85,,,,1.25,
11-31,Slurry Production and Circulation Equipment,Slurry Production and Circulation Equipment,Large,,,10,,971.62,44.67,67.46,63.39,,,,,503.9,,,,6.25,
11-32,Locking Pipe Jacking Machine,Locking Pipe Jacking Machine,Mid,,,10,,75.53,6.98,30.65,1.99,,,,,64.0,,,,2.5,
11-33,Sinking Well Drilling and Suction Unit,Sinking Well Drilling and Suction Unit,Large,KH180-2 with GZQ1250A,KH180-2 with GZQ1250A,13,,1286.76,297.0,403.92,,,,67.8,,1181.2,,,,6.25,
11-34,Submersible Electric Drill,Submersible Electric Drill,Mid,75 type,75 type,8,,44.36,10.53,24.42,9.86,,,,,99.4,,,,,
11-35,Submersible Electric Drill,Submersible Electric Drill,Mid,80 type,80 type,8,,58.52,13.89,32.22,9.86,,,,,99.4,,,,,
11-36,Hydraulic Drilling Rig,Hydraulic Drilling Rig,Mid,G-2A,G-2A,7,,56.05,11.71,12.53,4.93,,,30.8,,,,,,2.5,
11-37,Double Hydraulic Grout Pump,Double Hydraulic Grout Pump,Mid,PH2×5,PH2×5,9,,151.65,23.26,22.33,8.22,,,,,31.26,,,,1.25,
11-38,Hydraulic Grout Pump,Hydraulic Grout Pump,Mid,HYB50/50-1 Type,HYB50/50-1 Type,9,,61.74,12.0,11.52,8.22,,,,,15.63,,,,1.25,
11-39,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1650,10,,509.17,59.18,108.89,16.33,,,,,362.96,,,,,
11-40,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1800,10,,677.9,72.77,133.89,16.33,,,,,392.0,,,,,
11-41,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ2200,10,,805.1,86.35,158.89,16.33,,,,,423.36,,,,,
11-42,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ2460,10,,1536.47,164.48,302.64,16.33,,,,,522.14,,,,,
11-43,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ2800,10,,1688.57,180.73,332.54,16.33,,,,,563.91,,,,,
11-44,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Cutter Head Soil Pressure Balanced Pipe Jacking Machine,Special,Pipe Diameter (mm),φ3000,10,,1821.43,194.92,358.65,16.33,,,,,609.02,,,,,
11-45,Manual Soil Excavation Pipe Jacking Equipment,Manual Soil Excavation Pipe Jacking Equipment,Small,Pipe Diameter (mm),φ1200,10,,15.04,2.19,9.54,1.33,,,,,149.86,,,,,
11-46,Manual Soil Excavation Pipe Jacking Equipment,Manual Soil Excavation Pipe Jacking Equipment,Small,Pipe Diameter (mm),φ1650,10,,17.6,2.31,10.06,1.33,,,,,200.26,,,,,
11-47,Manual Soil Excavation Pipe Jacking Equipment,Manual Soil Excavation Pipe Jacking Equipment,Small,Pipe Diameter (mm),φ2000,10,,19.52,2.86,12.48,1.33,,,,,250.66,,,,,
11-48,Manual Soil Excavation Pipe Jacking Equipment,Manual Soil Excavation Pipe Jacking Equipment,Mid,Pipe Diameter (mm),φ2460,10,,21.09,3.1,13.51,1.33,,,,,250.66,,,,,
11-49,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1000,10,,27.86,3.99,15.16,1.33,,,,,149.86,,,,,
