7-18 能源消费弹性系数（1990-2015年）, 7-18 能源消费弹性系数（1990-2015年）, 7-18 能源消费弹性系数（1990-2015年）.1, 7-18 能源消费弹性系数（1990-2015年）.2, 7-18 能源消费弹性系数（1990-2015年）.3, 7-18 能源消费弹性系数（1990-2015年）.4, 7-18 能源消费弹性系数（1990-2015年）.5, 7-18 能源消费弹性系数（1990-2015年）.6, 7-18 能源消费弹性系数（1990-2015年）.7
年份,年份,"全省能源
消费量
(万吨标准煤)","全省电力
消费量
(亿千瓦小时)","能源消费比
上年增长
(%)","电力消费比
上年增长
(%)","生产总值比
上年增长
(%)","能源消费
弹性系数","电力消费
弹性系数"
1990,1990,2733,230,,,4,,
1991,1991,3123,263,14,14,18,1,1
1992,1992,3484,303,12,15,19,1,1
1993,1993,4044,347,16,14,22,1,1
1994,1994,4497,397,11,14,20,1,1
1995,1995,4851,440,8,11,17,0,1
1996,1996,5165,479,6,9,13,1,1
1997,1997,5447,511,5,7,11,0,1
1998,1998,5657,548,4,7,10,0,1
1999,1999,5960,612,5,12,10,1,1
2000,2000,6560,743,10,21,11,1,2
2001,2001,7253,855,11,15,11,1,1
2002,2002,8280,1016,14,19,13,1,1
2003,2003,9523,1240,15,22,15,1,2
2004,2004,10825,1420,14,14,14,1,1
2005,2005,12032,1642,11,16,13,1,1
2006,2006,13219,1909,10,16,14,1,1
2007,2007,14524,2189,10,15,15,1,1
2008,2008,15107,2323,4,6,10,0,1
2009,2009,15567,2471,3,6,9,0,1
2010,2010,16865,2821,8,14,12,1,1
2011,2011,17827,3117,6,10,9,1,1
2012,2012,18076,3211,1,3,8,0,0
2013,2013,18640,3453,4,8,8,1,1
2014,2014,18826,3506,1,2,8,0,0
2015,2015,19610,3554,4,1,8,1,0
