1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-名称-名称,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-合计-合计,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-国有-国有,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-集体-集体,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资私营-内资私营,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资合作、合资-内资合作、合资,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-港澳台独资-港澳台独资,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与港澳台合资,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-外商独资,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与外商合资-与外商合资,1-1-77全国按九大农区和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-未回答-未回答
,,,,,,,,,,
合  计,266518.0,99190.0,45600.0,35683.0,59468.0,498.0,151.0,412.0,387.0,25129.0
东北,19976.0,12162.0,1667.0,2751.0,2339.0,7.0,11.0,45.0,45.0,949.0
长城沿线,10275.0,4186.0,2527.0,957.0,1481.0,4.0,2.0,7.0,16.0,1095.0
黄淮海,36391.0,11050.0,8296.0,6542.0,7232.0,37.0,18.0,113.0,95.0,3008.0
黄土高原,12139.0,6239.0,1788.0,2169.0,1324.0,2.0,2.0,4.0,6.0,605.0
长江中下游,106734.0,24705.0,20069.0,14074.0,34770.0,154.0,54.0,95.0,112.0,12701.0
西南,37930.0,22007.0,5488.0,4149.0,4115.0,36.0,6.0,32.0,21.0,2076.0
华南,28812.0,8643.0,4925.0,4033.0,6522.0,256.0,58.0,109.0,87.0,4179.0
甘新,12050.0,8320.0,760.0,940.0,1574.0,2.0,,7.0,5.0,442.0
青藏,2211.0,1878.0,80.0,68.0,111.0,,,,,74.0
