1-2-17全国按农户生产经营情况分的农业生产经营户农用薄膜、化肥、农药使用情况-名称,地膜覆盖面积(公顷),中小棚覆盖面积(公顷),化肥购买量(吨),农药购买量(吨)
,,,,
,,,,
合        计,7366855.0,211896.0,97610751.0,1546268.0
一、按住户收入和经营兼业情况分,,,,
纯农户,6732658.0,191231.0,84821745.0,1327136.0
农业兼业户,407171.0,10699.0,5602287.0,95631.0
非农业兼业户,227026.0,9966.0,7186719.0,123501.0
二、按农业生产经营户经营主要农业行业分,,,,
农作物种植业,7114413.0,203981.0,92290456.0,1457649.0
林业,17567.0,1056.0,693593.0,17766.0
畜牧业,210017.0,6138.0,3704096.0,54122.0
渔业,10670.0,386.0,690376.0,13126.0
农林牧渔服务业,14186.0,335.0,232192.0,3604.0
