表9-2湖南省分年龄、性别、身体健康状况的老年人口-年龄别-年龄别,表9-2湖南省分年龄、性别、身体健康状况的老年人口-60岁及以上人口-小计,表9-2湖南省分年龄、性别、身体健康状况的老年人口-60岁及以上人口-男,表9-2湖南省分年龄、性别、身体健康状况的老年人口-60岁及以上人口-女,表9-2湖南省分年龄、性别、身体健康状况的老年人口-身体健康-小计,表9-2湖南省分年龄、性别、身体健康状况的老年人口-身体健康-男,表9-2湖南省分年龄、性别、身体健康状况的老年人口-身体健康-女,表9-2湖南省分年龄、性别、身体健康状况的老年人口-基本能保证正常的工作生活-小计,表9-2湖南省分年龄、性别、身体健康状况的老年人口-基本能保证正常的工作生活-男,表9-2湖南省分年龄、性别、身体健康状况的老年人口-基本能保证正常的工作生活-女,表9-2湖南省分年龄、性别、身体健康状况的老年人口-不能正常工作或生活不能自理-小计,表9-2湖南省分年龄、性别、身体健康状况的老年人口-不能正常工作或生活不能自理-男,表9-2湖南省分年龄、性别、身体健康状况的老年人口-不能正常工作或生活不能自理-女,表9-2湖南省分年龄、性别、身体健康状况的老年人口-说不准-小计,表9-2湖南省分年龄、性别、身体健康状况的老年人口-单位：人-说不准-男,表9-2湖南省分年龄、性别、身体健康状况的老年人口-说不准-女
总计,16495,8103,8392,9395.0,5001.0,4394.0,5229,2328,2901,1511,620,891,360.0,154.0,206.0
60-64,4729,2420,2309,3589.0,1921.0,1668.0,962,416,546,135,68,67,43.0,15.0,28.0
60,953,501,452,772.0,410.0,362.0,149,74,75,25,14,11,7.0,3.0,4.0
61,999,497,502,764.0,398.0,366.0,193,82,111,33,14,19,9.0,3.0,6.0
62,945,468,477,716.0,374.0,342.0,187,73,114,34,18,16,8.0,3.0,5.0
63,911,474,437,678.0,376.0,302.0,204,84,120,19,10,9,10.0,4.0,6.0
64,921,480,441,659.0,363.0,296.0,229,103,126,24,12,12,9.0,2.0,7.0
65-69,4558,2275,2283,2844.0,1522.0,1322.0,1380,596,784,264,125,139,70.0,32.0,38.0
65,956,456,500,652.0,328.0,324.0,251,100,151,44,24,20,9.0,4.0,5.0
66,829,409,420,531.0,275.0,256.0,241,107,134,42,19,23,15.0,8.0,7.0
67,1028,505,523,634.0,337.0,297.0,307,126,181,69,32,37,18.0,10.0,8.0
68,886,457,429,539.0,309.0,230.0,278,123,155,51,20,31,18.0,5.0,13.0
69,859,448,411,488.0,273.0,215.0,303,140,163,58,30,28,10.0,5.0,5.0
70-74,3482,1743,1739,1663.0,907.0,756.0,1372,647,725,363,152,211,84.0,37.0,47.0
70,821,409,412,430.0,237.0,193.0,314,141,173,59,23,36,18.0,8.0,10.0
71,698,366,332,340.0,200.0,140.0,282,135,147,60,25,35,16.0,6.0,10.0
72,740,358,382,329.0,176.0,153.0,302,135,167,90,35,55,19.0,12.0,7.0
73,659,324,335,313.0,155.0,158.0,244,121,123,78,38,40,24.0,10.0,14.0
74,564,286,278,251.0,139.0,112.0,230,115,115,76,31,45,7.0,1.0,6.0
75-79,2168,1057,1111,857.0,453.0,404.0,886,418,468,344,150,194,81.0,36.0,45.0
75,584,311,273,255.0,145.0,110.0,235,125,110,77,33,44,17.0,8.0,9.0
76,443,217,226,194.0,102.0,92.0,185,83,102,55,28,27,9.0,4.0,5.0
77,441,208,233,170.0,84.0,86.0,185,85,100,64,31,33,22.0,8.0,14.0
78,414,187,227,149.0,73.0,76.0,165,73,92,80,31,49,20.0,10.0,10.0
79,286,134,152,89.0,49.0,40.0,116,52,64,68,27,41,13.0,6.0,7.0
80-84,1073,446,627,321.0,145.0,176.0,466,203,263,229,73,156,57.0,25.0,32.0
80,294,130,164,103.0,49.0,54.0,126,58,68,54,16,38,11.0,7.0,4.0
81,218,82,136,58.0,20.0,38.0,99,44,55,47,13,34,14.0,5.0,9.0
82,225,94,131,59.0,30.0,29.0,109,45,64,43,15,28,14.0,4.0,10.0
83,193,81,112,55.0,25.0,30.0,75,31,44,56,21,35,7.0,4.0,3.0
84,143,59,84,46.0,21.0,25.0,57,25,32,29,8,21,11.0,5.0,6.0
85-89,363,126,237,98.0,43.0,55.0,126,39,87,122,38,84,17.0,6.0,11.0
85,109,39,70,31.0,15.0,16.0,38,11,27,36,11,25,4.0,2.0,2.0
86,71,20,51,15.0,6.0,9.0,27,7,20,28,7,21,1.0,0.0,1.0
87,82,36,46,22.0,12.0,10.0,30,8,22,25,12,13,5.0,4.0,1.0
88,54,15,39,16.0,6.0,10.0,16,7,9,17,2,15,5.0,0.0,5.0
89,47,16,31,14.0,4.0,10.0,15,6,9,16,6,10,2.0,0.0,2.0
90-94,107,34,73,20.0,9.0,11.0,34,9,25,46,13,33,7.0,3.0,4.0
90,37,9,28,6.0,0.0,6.0,9,3,6,18,4,14,4.0,2.0,2.0
91,28,13,15,5.0,4.0,1.0,11,3,8,11,5,6,1.0,1.0,0.0
92,19,3,16,6.0,2.0,4.0,8,1,7,5,0,5,,,
93,16,5,11,,,,4,2,2,10,3,7,2.0,0.0,2.0
94,7,4,3,3.0,3.0,0.0,2,0,2,2,1,1,,,
95岁及以上,15,2,13,3.0,1.0,2.0,3,0,3,8,1,7,1.0,0.0,1.0
