Serial Number,Date,Dining,Snacks,Transportation,Entertainment,Communication,Credit Card,Housing,Learning and Education,Fuel,Other,Total,Total Expenditure
1,2018/01/01,1000,500,500,1100,900.0,1200.0,1500.0,2100.0,900.0,1600.0,11300,22600
2,2018/01/02,1000,600,1000,700,,,,,,,3300,6600
3,2018/01/03,1000,700,1500,300,901.0,1201.0,1501.0,2101.0,901.0,1601.0,11706,23412
4,2018/01/04,1000,800,2000,-100,,,,,,,3700,7400
5,2018/01/05,1000,900,2500,-500,902.0,1202.0,1502.0,2102.0,902.0,1602.0,12112,24224
6,2018/01/06,1000,1000,3000,-900,,,,,,,4100,8200
7,2018/01/07,1000,1100,3500,-1300,903.0,1203.0,1503.0,2103.0,903.0,1603.0,12518,25036
8,2018/01/08,1000,1200,4000,-1700,,,,,,,4500,9000
9,2018/01/09,1000,1300,4500,-2100,904.0,1204.0,1504.0,2104.0,904.0,1604.0,12924,25848
10,2018/01/10,1000,1400,5000,-2500,,,,,,,4900,9800
11,2018/01/11,1000,1500,5500,-2900,905.0,1205.0,1505.0,2105.0,905.0,1605.0,13330,26660
12,2018/01/12,1000,1600,6000,-3300,,,,,,,5300,10600
13,2018/01/13,1000,1700,6500,-3700,906.0,1206.0,1506.0,2106.0,906.0,1606.0,13736,27472
14,2018/01/14,1000,1800,7000,-4100,,,,,,,5700,11400
15,2018/01/15,1000,1900,7500,-4500,907.0,1207.0,1507.0,2107.0,907.0,1607.0,14142,28284
16,2018/01/16,1000,2000,8000,-4900,,,,,,,6100,12200
17,2018/01/17,1000,2100,8500,-5300,908.0,1208.0,1508.0,2108.0,908.0,1608.0,14548,29096
18,2018/01/18,1000,2200,9000,-5700,,,,,,,6500,13000
19,2018/01/19,1000,2300,9500,-6100,909.0,1209.0,1509.0,2109.0,909.0,1609.0,14954,29908
20,2018/01/20,1000,2400,10000,-6500,,,,,,,6900,13800
21,2018/01/21,1000,2500,10500,-6900,910.0,1210.0,1510.0,2110.0,910.0,1610.0,15360,30720
22,2018/01/22,1000,2600,11000,-7300,,,,,,,7300,14600
23,2018/01/23,1000,2700,11500,-7700,911.0,1211.0,1511.0,2111.0,911.0,1611.0,15766,31532
24,2018/01/24,1000,2800,12000,-8100,,,,,,,7700,15400
25,2018/01/25,1000,2900,12500,-8500,912.0,1212.0,1512.0,2112.0,912.0,1612.0,16172,32344
26,2018/01/26,1000,3000,13000,-8900,,,,,,,8100,16200
