1-15按地区、专业技术职称分组的法人单位从业人员数-地区,法人单位数(个),从业人员数(人),#具有高级技术职称人员,#具有中级技术职称人员,#具有初级技术职称人员
,,,,,
全    国,7098765.0,271537187.0,5141100.0,17440690.0,22896249.0
,,,,,
北  京,267869.0,7938702.0,339106.0,686577.0,762531.0
天  津,145411.0,4410393.0,122448.0,277196.0,340989.0
河  北,278581.0,11049947.0,205082.0,794081.0,973261.0
山  西,160748.0,6647248.0,124219.0,503583.0,657990.0
内蒙古,113568.0,4335440.0,107333.0,351271.0,367144.0
,,,,,
辽  宁,315408.0,10307797.0,286937.0,773693.0,715164.0
吉  林,124427.0,4714335.0,127865.0,363625.0,385673.0
黑龙江,150273.0,6441358.0,188404.0,534845.0,553723.0
,,,,,
上  海,360466.0,10412240.0,175087.0,559052.0,693270.0
江  苏,630836.0,27087242.0,334503.0,1225072.0,1759630.0
浙  江,560177.0,20790477.0,234607.0,903235.0,1475253.0
安  徽,205275.0,8331974.0,164939.0,635159.0,810384.0
福  建,232603.0,9539333.0,147804.0,502877.0,724491.0
江  西,147815.0,6155166.0,129321.0,421612.0,585163.0
山  东,603846.0,23902656.0,380585.0,1320154.0,1845154.0
,,,,,
河  南,351074.0,14904203.0,260913.0,984180.0,1237692.0
湖  北,293352.0,9637009.0,255109.0,818732.0,893177.0
湖  南,258434.0,9294830.0,198422.0,801005.0,1030327.0
广  东,617659.0,30993946.0,364268.0,1313110.0,1846368.0
广  西,154748.0,4885707.0,90435.0,477044.0,641001.0
海  南,29411.0,1162145.0,23987.0,83014.0,126823.0
,,,,,
重  庆,139074.0,5640513.0,108347.0,386765.0,568907.0
四  川,310270.0,11077015.0,236665.0,864052.0,1202569.0
贵  州,94296.0,3025165.0,59194.0,249849.0,444396.0
云  南,122667.0,4506052.0,106664.0,426131.0,636024.0
西  藏,15324.0,322627.0,5251.0,17406.0,26689.0
,,,,,
陕  西,178971.0,5991175.0,154497.0,474138.0,649578.0
甘  肃,94361.0,3222270.0,72593.0,261411.0,377574.0
青  海,24394.0,779915.0,23718.0,75057.0,85078.0
宁  夏,29312.0,887349.0,29978.0,92030.0,106517.0
新  疆,88115.0,3142958.0,82819.0,264734.0,373709.0
