表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-地区别-地区别,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-15岁及以上死亡人口-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-15岁及以上死亡人口-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-15岁及以上死亡人口-女,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-未婚-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-未婚-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-未婚-女,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-初婚有配偶-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-初婚有配偶-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-初婚有配偶-女,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-再婚有配偶-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-再婚有配偶-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-再婚有配偶-女,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-离婚-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-离婚-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-离婚-女,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-单位：人-丧偶-合计,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-单位：人-丧偶-男,表10-5各地区分性别、婚姻状况的15岁及以上死亡人口-单位：人-丧偶-女
湖南省,3766,2179,1587,301,186,115,2099,1377,722,194,124,70,58,46,12,1114,446,668
长沙市,333,191,142,21,15,6,181,124,57,19,9,10,8,8,0,104,35,69
株洲市,222,128,94,13,10,3,119,72,47,11,9,2,6,4,2,73,33,40
湘潭市,205,129,76,23,13,10,108,76,32,18,12,6,8,7,1,48,21,27
衡阳市,392,228,164,37,21,16,216,139,77,16,12,4,1,1,0,122,55,67
邵阳市,407,258,149,32,21,11,233,168,65,12,7,5,5,5,0,125,57,68
岳阳市,242,126,116,8,5,3,140,78,62,7,3,4,4,3,1,83,37,46
常德市,371,206,165,25,16,9,239,144,95,21,14,7,3,1,2,83,31,52
张家界市,95,54,41,11,6,5,51,32,19,5,4,1,1,1,0,27,11,16
益阳市,255,131,124,20,10,10,139,88,51,9,6,3,1,0,1,86,27,59
郴州市,247,146,101,21,13,8,141,97,44,7,4,3,6,4,2,72,28,44
永州市,343,193,150,27,17,10,172,116,56,20,10,10,6,6,0,118,44,74
怀化市,245,146,99,25,19,6,140,94,46,12,7,5,4,3,1,64,23,41
娄底市,250,147,103,22,13,9,139,88,51,25,19,6,3,2,1,61,25,36
湘西土家族苗族自治州,159,96,63,16,7,9,81,61,20,12,8,4,2,1,1,48,19,29
