1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-名称,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-从业6个月以上人员-合计-合计,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-本户劳动力-本户劳动力,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-女,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-雇工-雇工,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-女.1,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业总时间-本户劳动力(月),1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-雇工(天),1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-合计,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-本户劳动力,1-1-30全国按住户人口特征和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-雇工
,,,,,,,,,,
合    计,213765507.0,212210737.0,107098466.0,1554770.0,492971.0,908643834.0,274971118.0,91780954.0,90864383.0,916570.0
按住户居住时间分,,,,,,,,,,
1年以下,156059.0,103736.0,46310.0,52323.0,15703.0,1202585.0,8340615.0,148061.0,120259.0,27802.0
1-5年,1395044.0,1275416.0,612668.0,119628.0,42649.0,3780958.0,14127818.0,425189.0,378096.0,47093.0
5年以上,212214394.0,210831575.0,106439484.0,1382819.0,434619.0,903660291.0,252502685.0,91207705.0,90366029.0,841676.0
按登记人数分,,,,,,,,,,
1人户,3584981.0,3425474.0,987218.0,159507.0,51468.0,17927706.0,20858044.0,1862297.0,1792771.0,69527.0
2人户,17397436.0,17232128.0,7991243.0,165308.0,55854.0,86525442.0,31864326.0,8758759.0,8652544.0,106214.0
3人户,39062023.0,38737633.0,19253408.0,324390.0,97372.0,179375739.0,66241472.0,18158379.0,17937574.0,220805.0
4人户,61028084.0,60623584.0,31369018.0,404500.0,126932.0,257977111.0,76892630.0,26054020.0,25797711.0,256309.0
5人户,47241373.0,46980988.0,24311889.0,260385.0,84492.0,198782989.0,46199990.0,20032299.0,19878299.0,154000.0
6人及以上,45451610.0,45210930.0,23185690.0,240680.0,76853.0,168054847.0,32914656.0,16915200.0,16805485.0,109716.0
按住户户籍所在地分,,,,,,,,,,
本村户,211910929.0,210597429.0,106352143.0,1313500.0,410861.0,903296062.0,248049236.0,91156437.0,90329606.0,826831.0
村外乡内户,485509.0,434161.0,204513.0,51348.0,16342.0,2533344.0,8416228.0,281388.0,253334.0,28054.0
乡外县内户,379702.0,306924.0,138894.0,72778.0,24576.0,1204518.0,6757925.0,142978.0,120452.0,22526.0
县外(地)市内户,217079.0,170864.0,76696.0,46215.0,15429.0,471924.0,3322495.0,58267.0,47192.0,11075.0
市外省内户,295502.0,265277.0,123488.0,30225.0,10847.0,515271.0,3419424.0,62925.0,51527.0,11398.0
外省,462487.0,424751.0,197549.0,37736.0,13600.0,589224.0,4909077.0,75286.0,58922.0,16364.0
其他,14299.0,11331.0,5183.0,2968.0,1316.0,33491.0,96733.0,3672.0,3349.0,322.0
按户籍性质分,,,,,,,,,,
农业户籍户,204014378.0,202808783.0,101957320.0,1205595.0,391009.0,856411912.0,211716602.0,86346913.0,85641191.0,705722.0
混合户,7136078.0,7008344.0,3961779.0,127734.0,42005.0,39384774.0,16234232.0,3992592.0,3938477.0,54114.0
非农户籍户,2596710.0,2377053.0,1171618.0,219657.0,59008.0,12796102.0,46907964.0,1435970.0,1279610.0,156360.0
户籍待定户,18341.0,16557.0,7749.0,1784.0,949.0,51046.0,112320.0,5479.0,5105.0,374.0
按户主受教育程度分,,,,,,,,,,
文盲,13987649.0,13940053.0,6648211.0,47596.0,14059.0,55747151.0,12179551.0,5615314.0,5574715.0,40599.0
小学,91631088.0,91240644.0,44426459.0,390444.0,115516.0,334121029.0,82601352.0,33687441.0,33412103.0,275338.0
初中,95346177.0,94537196.0,49371283.0,808981.0,254500.0,457963755.0,143501068.0,46274712.0,45796376.0,478337.0
高中,12303317.0,12049357.0,6381987.0,253960.0,89494.0,57888058.0,30862424.0,5891681.0,5788806.0,102875.0
大学及以上,495190.0,441405.0,268961.0,53785.0,19400.0,2920989.0,5825741.0,311518.0,292099.0,19419.0
