12-1按行业划分的世界工业生产指数-WorldIndustrialProductionIndicesbyBranchesofIndustry-资料来源：联合国统计月报数据库。-Source:UNMonthlyBulletinofStatisticsDatabase.-2000年=100,(2000=100),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,权数,2005.0,2006.0,2007.0,2008.0
,,(%),,,,
,,Weight,,,,
,,(%),,,,
,,,,,,
世界,World,,,,,
工业,Industry,100,108.0,113.0,117.0,
采掘业,Mining,10,107.0,109.0,109.0,
煤炭,Coal,1,121.0,130.0,132.0,
原油、天然气,Crude Petroleum and Natrual Gas,8,106.0,108.0,107.0,
金属矿,Metals Ores,1,106.0,107.0,110.0,
制造业,Manufacturing,80,108.0,113.0,118.0,
食品、饮料烟草,"Food,Beverages Tobacco",9,110.0,113.0,117.0,
纺织,Textiles,2,90.0,91.0,91.0,
服装、皮革和制鞋,"Wearing Apparel,Leather and Footwear",2,75.0,77.0,77.0,
木制品,Wood and Wood Products,2,102.0,102.0,99.0,
造纸、出版、印刷及录音介质,"Paper,Printing,Publishing and Recorded Media",8,96.0,96.0,97.0,
化学、石油、塑料、橡胶制品,"Chemicals,Petroleum,Plastic and Rubber Products",13,113.0,117.0,121.0,
非金属矿制品,Non-Metallic Mineral Products,3,107.0,112.0,115.0,
基本金属,Basic Metals,4,109.0,115.0,119.0,
金属及机械制造,Fabricated Metal Products and Machinery,11,103.0,109.0,115.0,
办公机械、计算机、收音机、,"Office,Computing,Radio,TV and Other",13,118.0,132.0,143.0,
电视及其他电子设备,Electrical Equipment,,,,,
运输设备,Transport Equipment,8,115.0,118.0,124.0,
电、煤气和水,"Electricity,Gas and Water",10,114.0,116.0,119.0,
发达国家,Developed Countries,,,,,
工业,Industry,100,103.0,107.0,110.0,108.0
采掘业,Mining,6,94.0,94.0,94.0,93.0
煤炭,Coal,0,99.0,99.0,98.0,98.0
原油、天然气,Crude Petroleum and Natrual Gas,4,93.0,92.0,92.0,91.0
金属矿,Metals Ores,1,90.0,92.0,90.0,92.0
制造业,Manufacturing,85,103.0,107.0,111.0,108.0
食品、饮料和烟草,"Food,Beverages Tobacco",9,105.0,106.0,108.0,107.0
纺织,Texitiles,2,81.0,77.0,74.0,67.0
服装、皮革和制鞋,"Wearing Apparel,Leather and Footwear",2,61.0,59.0,58.0,55.0
木制品,Wood and Wood Products,2,102.0,103.0,97.0,86.0
造纸、出版、印刷及录音介质,"Paper,Printing,Publishing and Recorded Media",10,94.0,94.0,94.0,91.0
化学、石油、塑料和橡胶制品,"Chemicals,Petroleum,Plastic and Rubber Products",13,109.0,111.0,113.0,110.0
非金属矿制品,Non-Metallic Mineral Products,3,99.0,102.0,102.0,96.0
基本金属,Basic Metals,4,101.0,105.0,106.0,102.0
金属及机械制造,"Fabricated Metal Products and Machinery,n.e.c.",13,99.0,104.0,108.0,106.0
办公机械、计算机、收音机、,"Office,Computing,Radio,TV and Other",14,114.0,128.0,138.0,143.0
电视及其他电子设备,Electrical Equipment,,,,,
运输设备,Transport Equipment,10,110.0,112.0,116.0,109.0
电、煤气和水,"Electricity,Gas and Water",10,109.0,110.0,112.0,112.0
发展中国家,Developing Countries,,,,,
工业,Industry,100,121.0,128.0,134.0,
采掘业,Mining,22,115.0,119.0,119.0,
煤炭,Coal,2,136.0,151.0,155.0,
石油、天然气,Crude Petroleum and Natrual Gas,18,113.0,117.0,116.0,
金属矿,Metals Ores,1,129.0,128.0,138.0,
制造业,Manufacturing,69,122.0,131.0,140.0,
食品、饮料和烟草,"Food,Beverages Tobacco",12,120.0,127.0,134.0,
纺织,Texitiles,4,99.0,104.0,108.0,
服装、皮革和制鞋,"Wearing Apparel,Leather and Footwear",3,95.0,103.0,104.0,
木制品,Wood and Wood Products,1,104.0,102.0,103.0,
造纸、出版、印刷及录音介质,"Paper,Printing,Publishing and Recorded Media",3,112.0,118.0,123.0,
化学、石油、塑料和橡胶制品,"Chemicals,Petroleum,Plastic and Rubber Products",14,123.0,131.0,139.0,
非金属矿制品,Non-Metallic Mineral Products,4,121.0,133.0,142.0,
基本金属,Basic Metals,5,124.0,136.0,145.0,
金属及机械制造,"Fabricated Metal Products and Machinery,N.E.C.",7,121.0,132.0,145.0,
办公机械、计算机、收音机、,"Office,Computing,Radio,TV and Other",8,135.0,151.0,167.0,
电视及其他电子设备,Electrical Equipment,,,,,
运输设备,Transport Equipment,5,143.0,150.0,166.0,
电、煤气和水,"Electricity,Gas and Water",10,126.0,131.0,136.0,
