1-1-13  全国按乡村类型和从事农业时间分的家庭户中的常住从业人员数量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人
名        称,合计,"从事农业
1个月人数","从事农业
2-3个月人数","从事农业
4-6个月人数","从事农业
7-9个月人数","从事农业10个
月以上人数"
,,,,,,
,,,,,,
合        计,409119684,14051822,67837523,113357645,82941722,130930972
一、按社区类型分,,,,,,
村委会,396764068,13163572,64850447,110400244,81050307,127299498
居委会,9224065,742652,2534103,2276812,1133895,2536603
农场,2051216,36451,160021,450011,645376,759357
二、按地势分,,,,,,
平原,173874776,8219549,41195181,59220510,34042892,31196644
丘陵,129162005,3787856,17219779,32055758,25746439,50352173
山区,104909080,1934157,9123373,21838133,23020928,48992489
三、按贫困村类型分,,,,,,
非贫困村,330757916,12788991,60281507,93323829,65532534,98831055
贫困村,77187116,1152571,7256822,19790568,17277362,31709793
省定贫困村,51979040,647386,4799868,13955112,12138049,20438625
省以下定贫困村,25208076,505185,2456954,5835456,5139313,11271168
四、按是否少数民族聚居村分,,,,,,
是,48675198,564126,3126238,8552821,10172906,26259107
否,359269411,13377436,64412092,104561569,72636973,104281341
五、按所在乡镇类型分,,,,,,
乡,120921427,2325021,15983119,36079956,26926589,39606742
镇,268716882,10065930,46385360,72651153,53166334,86448105
街道,16332654,1510367,5031854,3946040,2020481,3823912
农场,3027510,143168,413415,653916,814435,1002576
六、按所在乡镇是否县政府驻地分,,,,,,
是,31286536,1787281,6708850,7812168,5231926,9746311
否,377711937,12257205,61104898,105518897,77695913,121135024
七、按所在乡镇是否民族乡镇分,,,,,,
是,21044149,307354,1650169,4588896,4878489,9619241
否,387954324,13737132,66163579,108742169,78049350,121262094
八、按所在乡镇是否老区分,,,,,,
是,91881372,2850905,13409514,24674430,18836897,32109626
否,317117101,11193581,54404234,88656635,64090942,98771709
九、按所在乡镇是否边区分,,,,,,
是,14989556,171577,1038784,3103967,3051216,7624012
否,394008917,13872909,66774964,110227098,79876623,123257323
十、无对应乡表的分组,121211,7336,23775,26580,13883,49637
十一、无对应村表的分组,1080335,109147,292952,230578,112144,335514
