表7-一般公共预算支出情况表-单位名称：盐田区纪委监委-预算单位,表7-一般公共预算支出情况表-单位名称：盐田区纪委监委-科目编码,表7-一般公共预算支出情况表-单位名称：盐田区纪委监委-科目名称,表7-一般公共预算支出情况表-单位名称：盐田区纪委监委-支出总计,表7-一般公共预算支出情况表-单位：万元-基本支出,表7-一般公共预算支出情况表-单位：万元-项目支出
盐田区纪委监委,,,2883,1584.0,1300.0
盐田区纪委监委,,,2883,1584.0,1300.0
,201.0,一般公共服务支出,2364,1064.0,1300.0
,20111.0,纪检监察事务,2364,1064.0,1300.0
,2011101.0,行政运行,1064,1064.0,
,2011102.0,一般行政管理事务,828,,828.0
,2011199.0,其他纪检监察事务支出,472,,472.0
,208.0,社会保障和就业支出,190,190.0,
,20805.0,行政事业单位养老支出,190,190.0,
,2080501.0,行政单位离退休,96,96.0,
,2080505.0,机关事业单位基本养老保险缴费支出,63,63.0,
,2080506.0,机关事业单位职业年金缴费支出,32,32.0,
,210.0,卫生健康支出,26,26.0,
,21011.0,行政事业单位医疗,26,26.0,
,2101101.0,行政单位医疗,26,26.0,
,221.0,住房保障支出,303,303.0,
,22102.0,住房改革支出,303,303.0,
,2210201.0,住房公积金,99,99.0,
,2210203.0,购房补贴,204,204.0,
