表9-4湖南省分年龄、性别、主要生活来源的老年人口-年龄别-年龄别,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-女
总计,89137,44712,44425,24029.0,16522.0,7507.0,13204,9083,4121,55.0,32.0,23.0,1742,907,835,60.0,30.0,30.0,45.0,35.0,10.0,211.0,101.0,110.0,48188,17137,31051,1603,865,738
60-64,25435,13463,11972,12244.0,8084.0,4160.0,4088,2724,1364,19.0,13.0,6.0,365,210,155,17.0,10.0,7.0,21.0,18.0,3.0,73.0,40.0,33.0,8223,2160,6063,385,204,181
60,5264,2729,2535,2790.0,1797.0,993.0,789,510,279,5.0,3.0,2.0,57,34,23,5.0,3.0,2.0,7.0,7.0,0.0,17.0,6.0,11.0,1519,339,1180,75,30,45
61,5399,2871,2528,2791.0,1812.0,979.0,794,535,259,3.0,2.0,1.0,75,43,32,3.0,1.0,2.0,4.0,4.0,0.0,18.0,10.0,8.0,1617,408,1209,94,56,38
62,5010,2624,2386,2402.0,1588.0,814.0,816,534,282,3.0,3.0,0.0,79,40,39,3.0,2.0,1.0,3.0,2.0,1.0,10.0,8.0,2.0,1627,410,1217,67,37,30
63,4743,2518,2225,2114.0,1417.0,697.0,845,563,282,5.0,3.0,2.0,80,49,31,2.0,2.0,0.0,4.0,3.0,1.0,16.0,8.0,8.0,1610,436,1174,67,37,30
64,5019,2721,2298,2147.0,1470.0,677.0,844,582,262,3.0,2.0,1.0,74,44,30,4.0,2.0,2.0,3.0,2.0,1.0,12.0,8.0,4.0,1850,567,1283,82,44,38
65-69,23941,12433,11508,7798.0,5525.0,2273.0,3927,2617,1310,15.0,8.0,7.0,416,256,160,16.0,8.0,8.0,9.0,7.0,2.0,48.0,26.0,22.0,11316,3752,7564,396,234,162
65,5124,2628,2496,1897.0,1290.0,607.0,908,582,326,5.0,3.0,2.0,90,58,32,4.0,2.0,2.0,1.0,1.0,0.0,6.0,2.0,4.0,2132,638,1494,81,52,29
66,4315,2221,2094,1558.0,1074.0,484.0,741,479,262,3.0,2.0,1.0,70,41,29,4.0,3.0,1.0,3.0,1.0,2.0,9.0,5.0,4.0,1867,579,1288,60,37,23
67,5309,2786,2523,1757.0,1288.0,469.0,881,577,304,2.0,1.0,1.0,88,53,35,4.0,1.0,3.0,2.0,2.0,0.0,13.0,7.0,6.0,2469,811,1658,93,46,47
