表7-3各地区家庭户中民族混合户户数-地区别-地区别,表7-3各地区家庭户中民族混合户户数-合计-合计,表7-3各地区家庭户中民族混合户户数-单一民族户-户数,表7-3各地区家庭户中民族混合户户数-单一民族户-占合计百分比,表7-3各地区家庭户中民族混合户户数-二个民族户-户数,表7-3各地区家庭户中民族混合户户数-二个民族户-占合计百分比,表7-3各地区家庭户中民族混合户户数-三个民族户-户数,表7-3各地区家庭户中民族混合户户数-三个民族户-占合计百分比,表7-3各地区家庭户中民族混合户户数-单位：户-四个及以上民族户-户数,表7-3各地区家庭户中民族混合户户数-单位：户-四个及以上民族户-占合计百分比
湖南省,197575,189736,96,7584,4,251,0,4,0
长沙市,19181,18935,99,245,1,1,0,0,0
株洲市,10993,10836,99,154,1,3,0,0,0
湘潭市,9911,9841,99,69,1,1,0,0,0
衡阳市,20616,20521,100,94,0,1,0,0,0
邵阳市,21048,20470,97,563,3,14,0,1,0
岳阳市,14910,14862,100,48,0,0,0,0,0
常德市,18844,18272,97,571,3,1,0,0,0
张家界市,4727,3770,80,920,19,37,1,0,0
益阳市,13034,12949,99,77,1,7,0,1,0
郴州市,15554,15334,99,220,1,0,0,0,0
永州市,14680,14147,96,529,4,4,0,0,0
怀化市,14476,12299,85,2112,15,64,0,1,0
娄底市,11640,11568,99,72,1,0,0,0,0
湘西土家族苗族自治州,7961,5932,75,1910,24,118,1,1,0
