2-1全国各民族人口及比重-民族-民族,2-1全国各民族人口及比重-人口数-人口数,2-1全国各民族人口及比重-男-男,2-1全国各民族人口及比重-女-女,2-1全国各民族人口及比重-单位：人、%-各民族人口占-总人口的比重
,,,,
总  计,1409778724.0,721416394.0,688362330.0,100.0
汉  族,1284446389.0,657368603.0,627077786.0,91.0
蒙古族,6290204.0,3141714.0,3148490.0,0.0
回  族,11377914.0,5753371.0,5624543.0,1.0
藏  族,7060731.0,3518532.0,3542199.0,1.0
维吾尔族,11774538.0,5928453.0,5846085.0,1.0
苗  族,11067929.0,5744282.0,5323647.0,1.0
彝  族,9830327.0,4991137.0,4839190.0,1.0
壮  族,19568546.0,10125270.0,9443276.0,1.0
布依族,3576752.0,1833800.0,1742952.0,0.0
朝鲜族,1702479.0,830107.0,872372.0,0.0
满  族,10423303.0,5352343.0,5070960.0,1.0
侗  族,3495993.0,1843875.0,1652118.0,0.0
瑶  族,3309341.0,1722586.0,1586755.0,0.0
白  族,2091543.0,1054892.0,1036651.0,0.0
土家族,9587732.0,4968899.0,4618833.0,1.0
哈尼族,1733166.0,892508.0,840658.0,0.0
哈萨克族,1562518.0,781750.0,780768.0,0.0
傣  族,1329985.0,659012.0,670973.0,0.0
黎  族,1602104.0,830734.0,771370.0,0.0
傈僳族,762996.0,382280.0,380716.0,0.0
佤  族,430977.0,216741.0,214236.0,0.0
畲  族,746385.0,403516.0,342869.0,0.0
高山族,3479.0,1835.0,1644.0,0.0
拉祜族,499167.0,251596.0,247571.0,0.0
水  族,495928.0,260442.0,235486.0,0.0
东乡族,774947.0,391337.0,383610.0,0.0
纳西族,323767.0,160471.0,163296.0,0.0
景颇族,160471.0,78234.0,82237.0,0.0
柯尔克孜族,204402.0,103112.0,101290.0,0.0
土  族,281928.0,144133.0,137795.0,0.0
达斡尔族,132299.0,64247.0,68052.0,0.0
仫佬族,277233.0,142063.0,135170.0,0.0
羌  族,312981.0,157600.0,155381.0,0.0
布朗族,127345.0,64603.0,62742.0,0.0
撒拉族,165159.0,83238.0,81921.0,0.0
毛南族,124092.0,64842.0,59250.0,0.0
仡佬族,677521.0,359222.0,318299.0,0.0
锡伯族,191911.0,98506.0,93405.0,0.0
阿昌族,43775.0,21840.0,21935.0,0.0
普米族,45012.0,22372.0,22640.0,0.0
塔吉克族,50896.0,25679.0,25217.0,0.0
怒  族,36575.0,18412.0,18163.0,0.0
乌孜别克族,12742.0,6744.0,5998.0,0.0
俄罗斯族,16136.0,7615.0,8521.0,0.0
鄂温克族,34617.0,16597.0,18020.0,0.0
德昂族,22354.0,11114.0,11240.0,0.0
保安族,24434.0,12329.0,12105.0,0.0
裕固族,14706.0,7343.0,7363.0,0.0
京  族,33112.0,17160.0,15952.0,0.0
塔塔尔族,3544.0,1863.0,1681.0,0.0
独龙族,7310.0,3562.0,3748.0,0.0
鄂伦春族,9168.0,4326.0,4842.0,0.0
赫哲族,5373.0,2558.0,2815.0,0.0
门巴族,11143.0,5548.0,5595.0,0.0
珞巴族,4237.0,2052.0,2185.0,0.0
基诺族,26025.0,13005.0,13020.0,0.0
未定族称人口,836488.0,439083.0,397405.0,0.0
入  籍,16595.0,7306.0,9289.0,0.0
