表11-7各地区家庭户按住房来源分的户数-地区别,表11-7各地区家庭户按住房来源分的户数-合计,表11-7各地区家庭户按住房来源分的户数-自建住房,表11-7各地区家庭户按住房来源分的户数-购买商品房,表11-7各地区家庭户按住房来源分的户数-购买经济适用房,表11-7各地区家庭户按住房来源分的户数-购买原公有住房,表11-7各地区家庭户按住房来源分的户数-租赁公有住房,表11-7各地区家庭户按住房来源分的户数-单位：户-租赁商品房,表11-7各地区家庭户按住房来源分的户数-其他
湖南省,196463,154411,6220,4022,13889,5200,5978,6743
长沙市,19079,11403,605,742,3326,1007,1457,539
株洲市,10964,8456,594,322,675,180,509,228
湘潭市,9850,6894,516,263,1038,680,111,348
衡阳市,20441,16518,966,241,1328,535,401,452
邵阳市,20918,17151,390,309,1009,400,666,993
岳阳市,14859,11290,577,317,1275,307,559,534
常德市,18791,14963,964,513,1431,297,261,362
张家界市,4710,4352,71,56,55,71,57,48
益阳市,12909,11364,160,146,228,354,315,342
郴州市,15472,11973,308,298,1228,377,476,812
永州市,14547,12557,348,159,331,140,279,733
怀化市,14409,12054,367,114,949,331,273,321
娄底市,11591,8759,257,390,764,394,441,586
湘西土家族苗族自治州,7923,6677,97,152,252,127,173,445
