表1-2     湖南省分性别、户口登记状况的人口,表1-2     湖南省分性别、户口登记状况的人口.1,表1-2     湖南省分性别、户口登记状况的人口.2,表1-2     湖南省分性别、户口登记状况的人口.3,表1-2     湖南省分性别、户口登记状况的人口.4,表1-2     湖南省分性别、户口登记状况的人口.5,表1-2     湖南省分性别、户口登记状况的人口.6,表1-2     湖南省分性别、户口登记状况的人口.7,表1-2     湖南省分性别、户口登记状况的人口.8,表1-2     湖南省分性别、户口登记状况的人口.9,表1-2     湖南省分性别、户口登记状况的人口.10,表1-2     湖南省分性别、户口登记状况的人口.11,表1-2     湖南省分性别、户口登记状况的人口.12,表1-2     湖南省分性别、户口登记状况的人口.13,表1-2     湖南省分性别、户口登记状况的人口.14,表1-2     湖南省分性别、户口登记状况的人口.15
,,,,,,,,,,,,,单位：人,,
地区别,合计,合计,合计,居住在本乡、镇、街道，户口在本乡、镇、街道,居住在本乡、镇、街道，户口在本乡、镇、街道,居住在本乡、镇、街道，户口在本乡、镇、街道,居住在本乡、镇、街道，户口登记地在外乡、镇、街道，离开户口登记地半年以上,居住在本乡、镇、街道，户口登记地在外乡、镇、街道，离开户口登记地半年以上,居住在本乡、镇、街道，户口登记地在外乡、镇、街道，离开户口登记地半年以上,居住本乡、镇、街道，户口待定,居住本乡、镇、街道，户口待定,居住本乡、镇、街道，户口待定,原住本乡、镇、街道，现在国外工作学习,原住本乡、镇、街道，现在国外工作学习,原住本乡、镇、街道，现在国外工作学习
地区别,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
湖南省,629054,321705,307349,583573,298450,285123,43764,22366,21398,1706,884,822,11,5,6
长沙市,62811,31707,31104,52583,26552,26031,10122,5107,5015,99,45,54,7,3,4
株洲市,36269,18386,17883,32979,16640,16339,3231,1715,1516,59,31,28,,,
湘潭市,31277,15861,15416,28888,14606,14282,2330,1225,1105,59,30,29,,,
衡阳市,67362,34747,32615,63107,32645,30462,4123,2030,2093,131,71,60,1,1,0
邵阳市,68969,35393,33576,62797,31995,30802,5939,3279,2660,233,119,114,,,
岳阳市,49053,25417,23636,46137,23935,22202,2816,1424,1392,100,58,42,,,
常德市,51515,25884,25631,48877,24612,24265,2556,1235,1321,82,37,45,,,
张家界市,14894,7519,7375,14347,7255,7092,481,227,254,66,37,29,,,
益阳市,40327,20587,19740,38549,19647,18902,1688,897,791,90,43,47,,,
郴州市,49845,25902,23943,46716,24283,22433,2923,1494,1429,206,125,81,,,
永州市,46512,24029,22483,44886,23259,21627,1531,726,805,95,44,51,,,
怀化市,46774,24050,22724,44493,22950,21543,2218,1069,1149,61,30,31,2,1,1
娄底市,36699,18682,18017,34189,17381,16808,2351,1208,1143,159,93,66,,,
湘西土家族苗族自治州,26747,13541,13206,25025,12690,12335,1455,730,725,266,121,145,1,0,1
