6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-地区-地区-地区,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-合计-合计,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男-男,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女-女,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-合计-合计,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男-男,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女-女,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-存活子女数-占活产子女-数的百分比,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-妇女平-均活产-子女数,6-11各地区15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女平-均存活-子女数
,,,,,,,,,,
全    国,46789337.0,61997759.0,33580566.0,28417193.0,60474058.0,32645604.0,27828454.0,98.0,1.0,1.0
,,,,,,,,,,
北    京,760654.0,673331.0,358764.0,314567.0,658663.0,350116.0,308547.0,98.0,1.0,1.0
天    津,426293.0,436304.0,233451.0,202853.0,429993.0,229544.0,200449.0,99.0,1.0,1.0
河    北,2428296.0,3481231.0,1856527.0,1624704.0,3409562.0,1811479.0,1598083.0,98.0,1.0,1.0
山    西,1197867.0,1662246.0,876003.0,786243.0,1630236.0,856234.0,774002.0,98.0,1.0,1.0
内 蒙 古,829079.0,1025776.0,539041.0,486735.0,997359.0,521998.0,475361.0,97.0,1.0,1.0
,,,,,,,,,,
辽    宁,1447638.0,1464385.0,774434.0,689951.0,1442062.0,760671.0,681391.0,98.0,1.0,1.0
吉    林,796338.0,866752.0,453454.0,413298.0,839872.0,437432.0,402440.0,97.0,1.0,1.0
黑 龙 江,1086210.0,1092291.0,581610.0,510681.0,1065449.0,565034.0,500415.0,98.0,1.0,1.0
,,,,,,,,,,
上    海,850596.0,798720.0,427325.0,371395.0,784376.0,419045.0,365331.0,98.0,1.0,1.0
江    苏,2785257.0,3237360.0,1774407.0,1462953.0,3170669.0,1733993.0,1436676.0,98.0,1.0,1.0
浙    江,2260256.0,2808053.0,1525869.0,1282184.0,2724942.0,1476554.0,1248388.0,97.0,1.0,1.0
安    徽,1981919.0,2794699.0,1513419.0,1281280.0,2732176.0,1475779.0,1256397.0,98.0,1.0,1.0
福    建,1334291.0,1956452.0,1068771.0,887681.0,1913761.0,1043030.0,870731.0,98.0,1.0,1.0
江    西,1584030.0,2392784.0,1332923.0,1059861.0,2333088.0,1295656.0,1037432.0,98.0,2.0,1.0
山    东,3327516.0,4379056.0,2372152.0,2006904.0,4289023.0,2314598.0,1974425.0,98.0,1.0,1.0
,,,,,,,,,,
河    南,3168785.0,4625084.0,2528556.0,2096528.0,4533377.0,2470320.0,2063057.0,98.0,1.0,1.0
湖    北,2076537.0,2623501.0,1441943.0,1181558.0,2573519.0,1410884.0,1162635.0,98.0,1.0,1.0
湖    南,2309191.0,3085162.0,1688955.0,1396207.0,3020453.0,1648866.0,1371587.0,98.0,1.0,1.0
广    东,4093241.0,5816861.0,3206333.0,2610528.0,5672935.0,3120382.0,2552553.0,98.0,1.0,1.0
广    西,1417812.0,2223683.0,1219231.0,1004452.0,2170364.0,1184982.0,985382.0,98.0,2.0,2.0
海    南,300902.0,466423.0,260372.0,206051.0,453896.0,252645.0,201251.0,97.0,2.0,2.0
,,,,,,,,,,
重    庆,1113834.0,1299270.0,695821.0,603449.0,1262166.0,673506.0,588660.0,97.0,1.0,1.0
四    川,3000864.0,3623723.0,1944721.0,1679002.0,3519754.0,1880142.0,1639612.0,97.0,1.0,1.0
贵    州,1142625.0,1865196.0,1008469.0,856727.0,1804252.0,970746.0,833506.0,97.0,2.0,2.0
云    南,1626720.0,2339178.0,1247936.0,1091242.0,2266704.0,1202697.0,1064007.0,97.0,1.0,1.0
西    藏,108979.0,164546.0,85581.0,78965.0,155867.0,80535.0,75332.0,95.0,2.0,1.0
,,,,,,,,,,
陕    西,1261651.0,1661693.0,904900.0,756793.0,1625331.0,882136.0,743195.0,98.0,1.0,1.0
甘    肃,802350.0,1226581.0,656690.0,569891.0,1192489.0,635543.0,556946.0,97.0,2.0,1.0
青    海,196522.0,276794.0,145510.0,131284.0,264256.0,138150.0,126106.0,95.0,1.0,1.0
宁    夏,243750.0,383118.0,200974.0,182144.0,370875.0,193633.0,177242.0,97.0,2.0,2.0
新    疆,829334.0,1247506.0,656424.0,591082.0,1166589.0,609274.0,557315.0,94.0,2.0,1.0
